N	2gram	Voloshinov	FransuaR
1	и в	3	367
2	и не	1	101
3	в его	1	98
4	не только	1	87
5	но и	1	84
6	и на	1	72
7	то же	1	66
8	и все	1	66
9	в то	1	63
10	же время	1	55
11	точки зрения	1	37
12	в ней	1	37
13	может быть	1	35
14	мы видим	1	35
15	для него	1	32
16	один из	2	30
17	связи с	1	29
18	не может	4	29
19	в особенности	1	29
20	с точки	1	20
21	конечно и	1	18
22	а не	1	17
23	из этих	1	15
24	несмотря на	1	14
25	бы в	1	13
26	вещей и	1	12
27	он в	1	12
28	в системе	1	11
29	к тому	1	10
30	во второй	1	10
31	вполне понятно	1	9
32	не менее	1	8
33	если бы	1	8
34	нет и	1	7
35	в центре	2	6
36	в языке	1	6
37	тех же	1	6
38	с другими	1	5
39	смысл и	1	5
40	литературного языка	1	5
41	его от	1	4
42	при анализе	1	4
43	в каждом	1	4
44	если в	2	4
45	влияния на	1	4
46	и больше	1	4
47	и заставляет	1	4
48	первая часть	1	4
49	истории но	1	4
50	по своим	1	3
51	себе все	1	3
52	тому что	1	3
53	не из	1	3
54	на нее	1	3
55	именно с	1	3
56	права и	1	3
57	без учета	1	2
58	произведения но	1	2
59	всех участников	1	2
60	или иными	1	2
61	подхода к	1	2
62	так называемая	1	2
63	с теми	1	2
64	может и	1	2
65	это направление	1	2
66	теми или	1	2
67	лежащие в	1	2
68	бы на	1	2
69	речь и	1	2
70	зрения их	1	1
71	к историческому	1	1
72	на примере	1	1
73	нуждаются в	1	1
74	о формах	1	1
75	книги о	1	1
76	значительное количество	1	1
77	литературного произведения	1	1
78	второй части	1	1
79	на месте	1	1
80	можно назвать	1	1
81	историческому становлению	1	1
82	в школе	1	1
83	становится особенно	1	1
84	категорий и	1	1
85	откликов на	1	1
86	и событий	1	1
87	почти с	1	1
88	лучше всего	1	1
89	художественного произведения	1	1
90	исходя из	1	1
91	в анализе	1	1
92	вероятнее всего	1	1
93	и истории	1	1
94	и должно	1	1
95	языка как	1	1
96	чужд и	1	1
97	ситуации и	1	1
98	не оказать	1	1
99	ставить в	1	1
100	не связанными	1	1
101	и откликов	1	1
102	самых первых	1	1
103	впадает в	1	1
104	еще большим	1	1
105	в выборе	1	1
106	грамматических категорий	1	1
107	и можно	1	1
108	превращается у	1	1
