N	4gram	Voloshinov	StatiiOP
1	дело в том что	1	9
2	во всяком случае не	1	3
3	совершенно так же как	1	2
4	одних и тех же	1	2
5	бы то ни было	1	2
6	и в этом смысле	2	2
7	мы на самом деле	1	1
8	до сих пор еще	1	1
9	каких бы то ни	1	1
10	в том смысле какой	1	1
11	с этой точки зрения	1	1
12	все что мог бы	1	1
13	в связи с этим	1	1
14	а на самом деле	1	1
15	нечего и говорить о	1	1
16	предположение о том что	1	1
17	и говорить о том	1	1
18	оставляет никаких сомнений в	1	1
19	то же самое и	1	1
20	вместе с ним и	1	1
21	не оставляет никаких сомнений	1	1
22	говорить о том что	1	1
23	так же как и	1	1
