N	2gram	Tiupa_Anal	NovoeSre
1	а не	16	17
2	не может	3	16
3	и в	36	16
4	совсем не	1	12
5	нового времени	4	12
6	и не	14	11
7	и есть	1	10
8	что в	15	9
9	в том	16	8
10	жизни и	2	8
11	он не	9	8
12	в этом	19	7
13	может быть	19	7
14	не будет	3	7
15	культуры и	1	7
16	как и	27	7
17	не знает	2	6
18	не в	9	6
19	лишь в	9	6
20	с его	15	6
21	но это	3	6
22	никогда не	7	6
23	и к	7	5
24	не только	40	5
25	в ней	2	5
26	истории в	2	5
27	все это	5	5
28	в жизни	2	5
29	в нем	3	5
30	с ее	3	5
31	и потому	3	4
32	по своему	3	4
33	быть может	1	4
34	не во	1	4
35	со всех	1	4
36	должно быть	1	4
37	потому что	1	4
38	это не	4	4
39	прежде всего	7	4
40	в них	4	4
41	то что	5	4
42	не было	3	4
43	есть лишь	1	4
44	и все	3	4
45	всех сторон	1	4
46	не менее	9	4
47	не имеет	1	4
48	и для	4	4
49	о том	9	4
50	к лицу	1	3
51	во всех	4	3
52	истории не	2	3
53	возвращение к	1	3
54	вопрос о	1	3
55	в наши	1	3
56	она не	3	3
57	тому как	3	3
58	в ее	5	3
59	что такое	1	3
60	в прошлом	2	3
61	лицом к	1	3
62	за пределы	3	3
63	дня и	1	3
64	стремится к	1	3
65	подобно тому	4	3
66	в истории	1	3
67	с другой	10	3
68	в основе	2	3
69	к ним	1	3
70	сказать что	2	3
71	с тем	2	3
72	к жизни	5	3
73	не есть	6	3
74	в своей	12	3
75	в мире	17	3
76	как в	9	3
77	жизни в	4	3
78	но и	26	3
79	это было	2	3
80	к ее	2	3
81	жизни не	1	3
82	к тому	10	3
83	человека и	2	3
84	еще не	7	3
85	с этим	4	2
86	все они	2	2
87	и от	3	2
88	и весь	1	2
89	это и	4	2
90	ни к	3	2
91	я уже	2	2
92	и что	2	2
93	не могли	1	2
94	что она	3	2
95	личность в	1	2
96	не имеют	1	2
97	борьба и	1	2
98	зависит от	1	2
99	и заключается	1	2
100	с одной	3	2
101	хотя бы	1	2
102	такого рода	11	2
103	мы не	4	2
104	того чтобы	1	2
105	хотя и	4	2
106	ли есть	1	2
107	так и	19	2
108	нашего времени	5	2
109	как это	7	2
110	но она	1	2
111	сама жизнь	1	2
112	одной стороны	3	2
113	не могла	2	2
114	можно было	2	2
115	и должно	1	2
116	ни одна	1	2
117	другой стороны	7	2
118	времени и	1	2
119	с их	3	2
120	этом смысле	1	2
121	у него	2	2
122	место в	4	2
123	свободы и	1	2
124	а в	17	2
125	когда мы	2	2
126	и даже	12	2
127	и формы	1	2
128	и с	1	2
129	на уровне	2	2
130	связана с	1	2
131	по существу	1	2
132	жизни как	4	2
133	для этого	1	2
134	и ночи	1	2
135	могут быть	4	2
136	в себе	7	2
137	том чтобы	2	2
138	и на	5	2
139	быть в	1	2
140	уже не	9	2
141	я не	3	2
142	что все	1	2
143	времени в	3	2
144	все эти	2	2
145	есть в	2	2
146	же как	1	2
147	такой же	2	2
148	вместе с	3	2
149	но я	1	2
150	который в	4	2
151	одна из	6	2
152	жизнью в	1	2
153	мира и	2	2
154	роль в	5	2
155	как будто	1	2
156	в категориях	1	2
157	но не	13	2
158	в то	8	2
159	должно было	1	2
160	в новом	5	2
161	том что	19	2
162	в мировой	2	2
163	ведь и	2	2
164	мир и	1	2
165	так же	1	2
166	в одну	3	2
167	себя в	6	2
168	к богу	1	2
169	но в	8	2
170	и т.п	7	2
171	мысли и	1	2
172	формы и	1	2
173	связаны с	2	2
174	к содержанию	3	2
175	войны и	1	2
176	в той	3	1
177	всех своих	1	1
178	своего рода	17	1
179	к внутренней	1	1
180	и мир	1	1
181	войне и	3	1
182	в самом	7	1
183	ближе к	2	1
184	во всем	5	1
185	к одному	2	1
186	всего они	1	1
187	особенно для	1	1
188	и пути	1	1
189	и того	4	1
190	до этого	2	1
191	во внешних	1	1
192	был и	1	1
193	шекспира и	4	1
194	может иметь	1	1
195	можно сказать	5	1
196	все что	2	1
197	человек как	1	1
198	человека в	3	1
199	творчества не	1	1
200	но оно	1	1
201	для всех	5	1
202	в более	1	1
203	до сих	1	1
204	вступить в	2	1
205	и более	1	1
206	бы он	1	1
207	характерная для	1	1
208	освобождения от	2	1
209	по природе	3	1
210	по преимуществу	3	1
211	и мира	1	1
212	значение в	2	1
213	и всех	1	1
214	ничем не	1	1
215	в статье	1	1
216	что этот	1	1
217	отличие от	5	1
218	и русской	1	1
219	глубине своей	2	1
220	от жизни	2	1
221	ни за	1	1
222	они не	2	1
223	из них	4	1
224	он стремится	1	1
225	к ней	1	1
226	есть нарушение	1	1
227	все еще	2	1
228	также что	1	1
229	и сейчас	1	1
230	который не	2	1
231	мы уже	2	1
232	нас и	1	1
233	жизни а	1	1
234	которая в	2	1
235	своей природе	1	1
236	уже давно	1	1
237	ее судьбы	1	1
238	уже в	5	1
239	к себе	1	1
240	в свою	9	1
241	в значительной	3	1
242	от мира	1	1
243	в состоянии	2	1
244	для себя	2	1
245	из этих	4	1
246	во всяком	6	1
247	не сознается	1	1
248	такой обособленности	1	1
249	есть бог	1	1
250	весь смысл	1	1
251	не должно	3	1
252	церковь а	1	1
253	одну из	3	1
254	природе своей	4	1
255	для того	1	1
256	не по	1	1
257	этой системе	2	1
258	не для	2	1
259	на всех	3	1
260	же мере	1	1
261	вступление в	1	1
262	власть над	2	1
263	лишь для	1	1
264	не всегда	4	1
265	в этот	1	1
266	имея в	1	1
267	это уже	1	1
268	потому оно	1	1
269	он и	4	1
270	или нет	1	1
271	было бы	6	1
272	мы должны	1	1
273	и из	1	1
274	в сущности	5	1
275	о самом	1	1
276	этом он	2	1
277	есть неотъемлемое	1	1
278	в его	12	1
279	особое место	1	1
280	значительной степени	3	1
281	в вечной	1	1
282	переходит от	1	1
283	к тем	1	1
284	но ведь	1	1
285	значение для	1	1
286	должны быть	1	1
287	могли не	1	1
288	и их	3	1
289	говорить о	6	1
290	не с	3	1
291	во времена	1	1
292	вступает в	5	1
293	одному из	1	1
294	есть и	1	1
295	не способен	1	1
296	но сам	2	1
297	у нас	1	1
298	не столько	4	1
299	в ночь	1	1
300	с другими	1	1
301	говорит что	1	1
302	за какие	1	1
303	вопроса о	2	1
304	в виду	1	1
305	или к	2	1
306	в мир	1	1
307	превращается в	3	1
308	и до	2	1
309	духовной культуры	1	1
310	только в	9	1
311	не на	1	1
312	не могут	2	1
313	под этим	1	1
314	по своей	5	1
315	в нее	1	1
316	он есть	1	1
317	от других	1	1
318	от своих	1	1
319	борьбе за	2	1
320	и означает	1	1
321	в зависимости	1	1
322	в большинстве	2	1
323	было и	1	1
324	оно не	2	1
325	роли какую	1	1
326	на смену	5	1
327	в средневековой	1	1
328	а на	2	1
329	но он	1	1
330	в которой	1	1
331	и героя	2	1
332	и а	4	1
333	века не	1	1
334	бытию не	1	1
335	в этой	10	1
336	жизни это	2	1
337	к чему	2	1
338	свободу от	3	1
339	внешнюю жизнь	1	1
340	человеческой жизни	2	1
341	а по	1	1
342	а также	5	1
343	и еще	1	1
344	жизнь в	2	1
345	как на	1	1
346	в отличие	5	1
347	будто бы	1	1
348	на нее	1	1
349	оно есть	1	1
350	о русском	1	1
351	себя а	1	1
352	что не	3	1
353	в глубине	3	1
354	оба они	1	1
355	во внешней	1	1
356	тем что	3	1
357	и во	1	1
358	к этой	2	1
359	менее чем	1	1
