N	2gram	Bakhtin_fo	OGranits
1	и в	84	13
2	и его	26	12
3	прежде всего	28	9
4	может быть	18	8
5	и не	19	8
6	не может	8	8
7	и пр	2	7
8	в его	19	7
9	и т.п	6	7
10	и их	11	7
11	точки зрения	14	7
12	таким образом	14	6
13	не только	16	6
14	мы должны	2	6
15	только в	12	6
16	то что	13	6
17	как бы	11	6
18	в поэзии	2	5
19	хотя бы	2	5
20	с точки	9	5
21	и т.д	2	5
22	в процессе	4	5
23	все же	12	5
24	и эта	2	5
25	и наконец	6	5
26	в каждом	2	4
27	мы можем	2	4
28	не является	4	4
29	только и	5	4
30	вполне понятно	4	4
31	мы не	4	4
32	то же	18	4
33	еще и	3	4
34	было бы	2	4
35	все это	10	4
36	лишь в	8	4
37	материала в	1	4
38	в своей	2	4
39	на фоне	3	4
40	в двух	1	4
41	но мы	1	4
42	но в	16	4
43	с этим	11	3
44	что в	9	3
45	понятно что	4	3
46	и то	5	3
47	связана с	1	3
48	ни один	2	3
49	в искусстве	1	3
50	и уже	4	3
51	так и	17	3
52	не как	2	3
53	говорить о	1	3
54	одно и	4	3
55	есть прежде	1	3
56	в одном	10	3
57	не столько	2	3
58	за пределы	1	3
59	отношению к	5	3
60	по отношению	3	3
61	слово в	1	3
62	поставить вопрос	1	3
63	в пределах	8	3
64	в их	9	3
65	при анализе	1	3
66	в ее	6	3
67	здесь мы	4	3
68	самом деле	2	3
69	не в	10	3
70	в которой	3	3
71	и все	10	3
72	но для	2	3
73	тела и	4	3
74	в себе	7	3
75	так как	12	3
76	все вопросы	1	3
77	да и	4	3
78	но и	14	3
79	и для	12	3
80	как и	15	3
81	точку зрения	3	3
82	никогда не	8	3
83	в области	1	2
84	своего рода	1	2
85	истории литературы	1	2
86	в самом	9	2
87	во всем	3	2
88	нет ничего	4	2
89	и к	4	2
90	что они	3	2
91	может иметь	1	2
92	форм и	1	2
93	и отчасти	1	2
94	мы видим	4	2
95	в данном	4	2
96	мы уже	17	2
97	и наиболее	1	2
98	а как	3	2
99	в своих	1	2
100	в этом	41	2
101	этой проблемы	2	2
102	в общем	1	2
103	в целях	1	2
104	данном случае	2	2
105	героя и	7	2
106	он только	2	2
107	которое мы	1	2
108	с одной	5	2
109	в произведении	1	2
110	в течение	2	2
111	входит в	3	2
112	для себя	8	2
113	наконец в	2	2
114	и при	1	2
115	одной стороны	3	2
116	и должно	2	2
117	роль в	12	2
118	в живую	1	2
119	в другом	2	2
120	при этом	8	2
121	несмотря на	1	2
122	между тем	1	2
123	в полном	2	2
124	для него	5	2
125	лишь путем	1	2
126	в этот	5	2
127	и помимо	1	2
128	и тем	1	2
129	с помощью	5	2
130	и может	2	2
131	смысле слова	4	2
132	те же	5	2
133	связанные с	5	2
134	ее в	2	2
135	в том	16	2
136	с этой	3	2
137	громадную роль	2	2
138	и является	2	2
139	в тех	1	2
140	в отношении	5	2
141	конечно в	1	2
142	другой стороны	1	2
143	во времени	6	2
144	не на	4	2
145	от этого	4	2
146	так же	7	2
147	в них	11	2
148	самого начала	3	2
149	а в	6	2
150	связанных с	3	2
151	если бы	6	2
152	мы понимаем	1	2
153	от всех	2	2
154	в ряд	8	2
155	а также	5	2
156	соответствии с	2	2
157	еще в	1	2
158	в ней	4	2
159	с самого	3	2
160	тем что	4	2
161	и др	13	2
162	могут быть	7	2
163	вовсе не	20	2
164	между собою	1	2
165	помимо этого	1	2
166	его на	3	2
167	учение о	1	2
168	в связи	13	2
169	имеет место	6	2
170	форм но	1	2
171	в зависимости	1	2
172	во всей	3	2
173	с ними	1	2
174	вне всякой	1	2
175	все эти	12	2
176	с другой	4	2
177	как в	10	2
178	и внутренняя	1	2
179	только ее	1	2
180	нуждается в	1	2
181	явлений и	3	2
182	не имеет	5	2
183	там где	4	2
184	можем поставить	1	2
185	том что	7	2
186	в нем	28	2
187	уже в	5	2
188	и следовательно	5	2
189	зависимости от	1	2
190	а не	7	2
191	в чем	3	2
192	с телом	2	2
193	в целом	2	2
194	и ее	4	2
195	тот же	4	2
196	к тому	6	2
197	есть не	4	2
198	слова и	4	2
199	не касаемся	2	2
200	бы в	1	2
201	более того	4	2
202	разумеется что	2	2
203	в дальнейшем	10	1
204	которые механически	1	1
205	в особенности	15	1
206	его к	2	1
207	касаемся здесь	2	1
208	самое слово	1	1
209	в некоторых	4	1
210	всего в	4	1
211	и существенного	2	1
212	себе в	1	1
213	этого и	1	1
214	в каждой	1	1
215	ориентируется на	1	1
216	переходим к	1	1
217	литературы в	3	1
218	обычно в	2	1
219	находятся в	1	1
220	страны все	1	1
221	то он	1	1
222	выражение в	3	1
223	не зная	2	1
224	ее и	1	1
225	важная проблема	1	1
226	уясняются и	1	1
227	для всех	3	1
228	своих руках	1	1
229	еще одну	1	1
230	быть сведены	1	1
231	только к	3	1
232	относятся и	1	1
233	в замкнутые	2	1
234	и других	5	1
235	вне этой	1	1
236	и он	3	1
237	обладает в	1	1
238	один из	5	1
239	как ни	1	1
240	и здесь	2	1
241	вообще в	1	1
242	явления как	1	1
243	выходит за	1	1
244	она и	1	1
245	отличие от	3	1
246	в последнем	3	1
247	вопрос о	2	1
248	что мы	2	1
249	на этом	2	1
250	этим путем	1	1
251	оказались бы	3	1
252	они не	4	1
253	которую мы	1	1
254	ведь в	1	1
255	человеческое тело	6	1
256	не имеют	4	1
257	само собой	2	1
258	тесно связана	1	1
259	внутри которых	1	1
260	или иная	1	1
261	эта особенность	2	1
262	ее на	1	1
263	как средство	1	1
264	или только	1	1
265	эта полнота	1	1
266	указать на	2	1
267	должно быть	6	1
268	на три	1	1
269	человеческого тела	10	1
270	там нет	1	1
271	моменты в	2	1
272	картины мира	2	1
273	отсюда и	3	1
274	которой он	3	1
275	точно не	1	1
276	необходимо чтобы	2	1
277	разных местах	1	1
278	и вот	2	1
279	на очень	1	1
280	на том	1	1
281	есть одно	1	1
282	и особенностями	2	1
283	эта своеобразная	1	1
284	внимание на	2	1
285	теперь мы	1	1
286	когда я	2	1
287	углубляться в	2	1
288	потому что	11	1
289	в значительной	3	1
290	должны быть	2	1
291	он всегда	2	1
292	того чтобы	11	1
293	не физическое	1	1
294	и место	1	1
295	же как	2	1
296	автора и	4	1
297	и более	3	1
298	но такая	1	1
299	мы имеем	2	1
300	и у	8	1
301	не должно	1	1
302	также и	6	1
303	ту же	4	1
304	в человеческом	2	1
305	и речи	6	1
306	для которой	2	1
307	это и	1	1
308	как свое	1	1
309	уже у	1	1
310	для того	12	1
311	явления природы	2	1
312	совсем не	4	1
313	тому что	1	1
314	узком смысле	1	1
315	все то	2	1
316	и дает	3	1
317	стиль в	1	1
318	xvii века	2	1
319	что всякий	1	1
320	и голос	1	1
321	он и	1	1
322	времени ничего	1	1
323	уже к	1	1
324	вне этого	1	1
325	ее жизни	1	1
326	его и	2	1
327	в своем	8	1
328	в разных	6	1
329	и тогда	1	1
330	явлений или	1	1
331	осмысления и	1	1
332	на самый	1	1
333	этот момент	2	1
334	особенностей и	1	1
335	значительной мере	2	1
336	этом отношении	5	1
337	однако этот	1	1
338	тем как	1	1
339	связей и	1	1
340	ни была	2	1
341	время в	7	1
342	в вечности	2	1
343	здесь для	1	1
344	здесь он	1	1
345	как это	2	1
346	вследствие этого	4	1
347	характер носит	3	1
348	и лучше	1	1
349	в свои	1	1
350	этот не	2	1
351	мы в	1	1
352	объединены в	1	1
353	только на	3	1
354	и через	1	1
355	из того	1	1
356	об этом	3	1
357	не имеем	1	1
358	борьбе с	4	1
359	вступает в	2	1
360	переходит в	1	1
361	остановиться на	1	1
362	не приходится	1	1
363	никто не	2	1
364	композиционные функции	1	1
365	в нескольких	1	1
366	и что	1	1
367	и определяет	1	1
368	на самом	1	1
369	для человека	1	1
370	в различных	2	1
371	для них	3	1
372	и тот	2	1
373	в этой	3	1
374	эпохи но	1	1
375	людей и	2	1
376	в широком	3	1
377	это слово	1	1
378	рядов и	3	1
379	сложность и	2	1
380	видели как	1	1
381	включается в	1	1
382	борьба с	3	1
383	его чисто	1	1
384	в начале	3	1
385	во все	4	1
386	в виду	5	1
387	одном ряду	1	1
388	к другому	2	1
389	и до	7	1
390	сводится к	1	1
391	нет никакого	1	1
392	дан как	1	1
393	с их	2	1
394	и есть	3	1
395	для своей	2	1
396	конечно не	7	1
397	уже видели	1	1
