N	4gram	Voloshinov	slovoVRo
1	в то же время	6	18
2	но в то же	3	7
3	и в то же	1	6
4	как мы уже сказали	1	4
5	не выходит за пределы	1	3
6	одно и то же	1	3
7	и не может быть	3	2
8	ни в чем не	4	2
9	то же время это	1	2
10	во всех его многообразных	1	2
11	и связанных с ними	2	2
12	или во всяком случае	1	2
13	до сих пор не	1	2
14	этой цели и служит	1	1
15	и связанное с ним	1	1
16	конечно не приходится однако	1	1
17	на самом же деле	2	1
18	мы имеем в виду	1	1
19	в виду по преимуществу	1	1
20	если бы он был	1	1
21	оставаясь в пределах одной	1	1
22	одни и те же	1	1
23	и ни в чем	1	1
24	не может быть конечно	1	1
25	в том что она	2	1
26	во всяком случае не	1	1
27	дело в том что	1	1
28	так и в отношении	1	1
29	в том что в	1	1
30	приходится сказать и о	1	1
31	но в отличие от	1	1
32	ни в какой степени	2	1
33	для того чтобы их	1	1
34	строится в направлении к	1	1
35	нет и не может	2	1
36	одной и той же	3	1
37	и потому не может	1	1
38	но во всяком случае	3	1
39	и связанная с ним	1	1
40	только с точки зрения	1	1
41	том что он не	1	1
42	но чаще всего они	1	1
43	у нас в руках	1	1
44	чем шире и глубже	1	1
45	нам уже приходилось говорить	1	1
46	в том что он	2	1
47	остановимся на нескольких примерах	1	1
48	в направлении к нему	1	1
49	обстоит дело и со	1	1
50	точек зрения оценок и	1	1
51	и не могут быть	1	1
52	бы то ни было	2	1
53	в узком смысле слова	2	1
54	друг с другом и	1	1
55	мы уже указывали что	1	1
56	в какой степени не	1	1
57	все снова и снова	2	1
