N	3gram	Propp_Isto	StatiiOP
1	в том что	4	47
2	и т д	36	32
3	о том что	5	29
4	для того чтобы	3	19
5	до сих пор	7	19
6	с точки зрения	1	14
7	с другой стороны	10	13
8	во всяком случае	1	13
9	то обстоятельство что	1	11
10	не может быть	6	11
11	в самом деле	1	9
12	то же время	1	9
13	вместе с тем	7	9
14	на то что	3	9
15	в то же	1	9
16	тем не менее	6	8
17	на самом деле	1	8
18	не только в	2	8
19	не в том	2	7
20	в данном случае	2	7
21	но все же	6	7
22	в то время	3	7
23	так же как	10	6
24	по отношению к	2	6
25	так и в	2	6
26	я думаю что	1	6
27	речь идет о	1	6
28	в том смысле	2	6
29	вопрос о том	1	6
30	что он не	1	5
31	то время как	3	5
32	с тем что	1	5
33	но и в	2	5
34	в том чтобы	2	5
35	в одной из	1	5
36	с самого начала	1	5
37	после того как	4	5
38	до того как	1	4
39	то что он	2	4
40	дело не в	1	4
41	обращает на себя	1	4
42	с одной стороны	7	4
43	ничего общего с	1	4
44	в связи с	6	4
45	но это не	2	4
46	в это время	2	4
47	говорит об этом	1	4
48	иметь в виду	1	4
49	и в том	1	4
50	что и в	3	4
51	он должен был	1	3
52	может быть это	1	3
53	каждого из них	1	3
54	только потому что	1	3
55	о том как	4	3
56	том смысле что	1	3
57	что в ней	1	3
58	в том как	1	3
59	можно сказать что	1	3
60	то или иное	1	3
61	в том числе	3	3
62	совершенно так же	3	3
63	потому что он	5	3
64	таким образом в	2	3
65	что у него	2	3
66	так как в	3	3
67	и тем не	2	3
68	как и вообще	1	3
69	а иногда и	2	3
70	только в том	1	3
71	состоит в том	1	3
72	во всех этих	2	3
73	в этом случае	13	3
74	т е в	6	3
75	но то что	1	2
76	у него есть	1	2
77	не потому ли	2	2
78	но вместе с	4	2
79	что в его	1	2
80	что мы знаем	1	2
81	такие выражения как	2	2
82	в иных случаях	1	2
83	в зависимости от	1	2
84	том числе и	2	2
85	если бы мы	3	2
86	и вместе с	3	2
87	точно так же	3	2
88	все же и	1	2
89	в отличие от	1	2
90	и в других	1	2
91	уже после того	2	2
92	только в виде	1	2
93	что в этом	1	2
94	если не считать	2	2
95	том что она	1	2
96	а не в	1	2
97	то же самое	1	2
98	то что у	1	2
99	только тогда когда	2	2
100	а также и	1	2
101	сам по себе	1	2
102	внимание на то	1	2
103	т д и	1	2
104	в свою очередь	1	2
105	вовсе не в	1	2
106	но и здесь	1	2
107	к тому времени	1	2
108	он не только	1	2
109	и что он	1	2
110	в одно целое	1	2
111	по большей части	1	2
112	что он уже	1	2
113	он не может	2	2
114	на этот вопрос	2	2
115	хотя бы на	1	2
116	как мы видели	2	2
117	объясняется тем что	1	2
118	мы имеем в	2	2
119	вне всякого сомнения	1	2
120	в этом месте	1	2
121	у меня в	1	2
122	возможно что в	1	2
123	и то что	3	2
124	что в нем	1	2
125	тем что он	3	2
126	как и в	4	2
127	может быть и	1	2
128	и только тогда	1	1
129	не в количестве	1	1
130	очень часто в	1	1
131	что там где	1	1
132	как будто бы	1	1
133	не менее вопрос	1	1
134	т е тот	1	1
135	и те же	1	1
136	показывает следующий случай	1	1
137	в ту же	1	1
138	на том что	3	1
139	что в одном	1	1
140	по сравнению с	1	1
141	в своих целях	2	1
142	потому что оно	1	1
143	его и т	1	1
144	того или другого	1	1
145	д и т	1	1
146	одни и те	1	1
147	и на этом	1	1
148	с этой точки	2	1
149	одним из таких	1	1
150	на той же	1	1
151	так что он	1	1
152	не представляет собой	1	1
153	потому что в	1	1
154	свидетельствует о том	1	1
155	и то же	2	1
156	только тем что	1	1
157	но и он	1	1
158	смысле в каком	1	1
159	совершенно очевидно что	1	1
160	нет может быть	1	1
161	во многих отношениях	1	1
162	некоторые уже были	1	1
163	что в жизни	1	1
164	т д в	1	1
165	не потому что	2	1
166	менее вопрос о	1	1
167	может быть не	1	1
168	с этой стороны	1	1
169	интересно что в	3	1
170	у него было	1	1
171	смысле этого слова	1	1
172	на камне в	1	1
