N	4gram	Vygotskiy_	SlovoVZh
1	дело в том что	2	4
2	бы то ни было	1	3
3	с одной стороны и	1	2
4	одно и то же	3	2
5	о ком идет речь	1	1
6	одна и та же	2	1
7	является то что оно	1	1
8	мы имеем дело с	1	1
9	ни в чем не	1	1
10	и проч и проч	1	1
11	какой бы то ни	1	1
12	и в этом смысле	1	1
13	в зависимости от того	3	1
14	одним и тем же	3	1
15	в том что в	2	1
16	так же как и	1	1
17	в то время как	4	1
18	можно было бы показать	1	1
19	до сих пор не	1	1
20	но то же самое	1	1
21	было бы показать что	1	1
22	что до сих пор	1	1
23	обстоит дело и с	1	1
24	в то же время	1	1
25	искусства и в частности	1	1
26	нам кажется что мы	1	1
27	один и тот же	1	1
