N	3gram	Bakhtin_Fr	OGranits
1	с точки зрения	5	5
2	не может быть	4	4
3	одно и то	1	3
4	вполне понятно что	1	3
5	по отношению к	1	3
6	и т.п и	1	3
7	в том что	8	2
8	то же слово	1	2
9	ничего общего с	1	2
10	не что иное	1	2
11	в зависимости от	1	2
12	в данном случае	4	2
13	и то же	1	2
14	есть не что	1	2
15	в самом деле	2	2
16	в г в	1	2
17	что иное как	1	2
18	с одной стороны	2	2
19	с другой стороны	2	2
20	с самого начала	3	2
21	тесно связана с	1	1
22	в узком смысле	1	1
23	громадную роль играет	1	1
24	на самом деле	4	1
25	важное значение имеет	1	1
26	в особенности в	1	1
27	здесь и там	1	1
28	так же точно	1	1
29	в течение всей	1	1
30	и закрепленное в	1	1
31	те же самые	1	1
32	и тот же	2	1
33	и как бы	2	1
34	все то что	5	1
35	между собою и	1	1
36	включает в себя	2	1
37	но в то	6	1
38	это конечно не	4	1
39	между тем как	2	1
40	подобно тому как	2	1
41	это единая и	1	1
42	и здесь и	2	1
43	в значительной мере	1	1
44	в конечном счете	1	1
45	так же как	4	1
46	для того чтобы	8	1
47	быть и речи	1	1
48	если только они	1	1
49	с этим словом	1	1
50	том что в	1	1
51	но там где	2	1
52	можно говорить о	2	1
53	он и не	1	1
54	но это конечно	1	1
55	она ориентируется на	1	1
56	в чем же	3	1
57	а не как	1	1
58	иной характер носит	1	1
59	это особенно ясно	1	1
60	что в основе	1	1
61	хотя бы в	2	1
62	этот момент как	1	1
63	существует как бы	1	1
64	в нем только	1	1
65	один и тот	1	1
66	от него не	1	1
67	в другом месте	3	1
68	в отличие от	3	1
69	нужно сказать что	4	1
70	нужно отметить что	3	1
71	как и в	1	1
72	в связи с	5	1
73	то же самое	3	1
74	теперь мы можем	1	1
75	то что в	1	1
76	течение всей своей	1	1
77	же время в	1	1
78	тем не менее	1	1
79	всегда связана с	1	1
80	только то что	1	1
81	в разных местах	2	1
82	нет и не	1	1
83	чем же объясняется	1	1
84	и к тому	1	1
85	так как все	1	1
86	в этом отношении	7	1
87	в одном случае	1	1
88	то же время	14	1
89	более или менее	2	1
90	в то же	14	1
91	в виду что	1	1
92	его и не	1	1
93	в изобразительных искусствах	1	1
94	в течение всего	1	1
95	можно было бы	2	1
96	мы не можем	1	1
97	и не может	1	1
98	потому что они	1	1
99	а также и	4	1
100	может быть и	1	1
