N	2gram	Propp_Russ	Mirosoze
1	и в	59	97
2	может быть	14	64
3	не только	28	63
4	в этом	18	55
5	но и	20	54
6	он не	1	53
7	а не	3	53
8	в нем	3	49
9	не может	6	49
10	у него	2	47
11	и не	6	39
12	никогда не	1	38
13	в ней	3	37
14	потому что	15	37
15	не было	3	36
16	не в	2	34
17	и есть	1	33
18	для него	1	31
19	но он	3	30
20	как и	19	29
21	прежде всего	2	29
22	и он	1	27
23	но в	5	27
24	человека и	1	26
25	в своей	1	25
26	он был	2	25
27	и это	2	25
28	и все	4	24
29	у нас	11	24
30	в своем	3	23
31	что в	35	23
32	что он	2	22
33	в себе	1	20
34	отношение к	1	20
35	в россии	4	19
36	как бы	18	19
37	до конца	5	19
38	в его	3	18
39	того что	6	17
40	и потому	3	17
41	том что	33	16
42	в том	33	16
43	на земле	3	16
44	то что	10	16
45	было бы	3	16
46	и его	2	16
47	быть может	1	15
48	в котором	2	15
49	не был	3	15
50	не знает	1	15
51	в этой	4	15
52	в конце	1	14
53	она не	4	14
54	те которые	1	14
55	так как	25	14
56	русский народ	1	13
57	на поверхности	1	13
58	та же	4	13
59	и на	14	13
60	друг друга	3	13
61	в русском	4	13
62	в них	10	12
63	к нему	3	12
64	и у	5	12
65	но не	7	12
66	это не	14	12
67	все это	12	12
68	и к	3	11
69	с тем	14	11
70	уже не	9	11
71	в которой	3	11
72	в русской	1	11
73	только в	4	11
74	как в	10	11
75	и там	2	11
76	но это	5	11
77	и для	3	11
78	жизни и	1	11
79	то же	6	10
80	так же	7	10
81	чем у	2	10
82	один из	10	10
83	должна быть	1	10
84	не могут	1	10
85	не имеет	9	10
86	это и	1	10
87	все что	2	9
88	из самых	2	9
89	к тому	4	9
90	должно быть	2	9
91	что и	8	9
92	не будет	1	9
93	он уже	1	9
94	то есть	3	9
95	с ним	2	9
96	русского народа	3	9
97	вместе с	16	9
98	в свою	3	9
99	и во	2	9
100	есть уже	1	9
101	есть и	2	9
102	а в	16	9
103	от него	1	8
104	христа в	2	8
105	в этих	3	8
106	и с	12	8
107	тем что	7	8
108	о том	14	8
109	вопрос о	4	8
110	т е	41	8
111	христа и	3	8
112	что не	1	8
113	жизнь в	1	8
114	что есть	2	8
115	не так	1	8
116	еще в	6	8
117	нет в	2	8
118	того чтобы	6	8
119	нет и	1	8
120	с его	1	8
121	ничего не	4	8
122	они не	1	8
123	уже в	2	8
124	для того	6	8
125	во всем	2	7
126	в духе	1	7
127	если он	1	7
128	в нашем	2	7
129	что все	2	7
130	точки зрения	3	7
131	все в	2	7
132	те же	1	7
133	чем в	4	7
134	что она	4	7
135	на этом	6	7
136	от нее	1	7
137	в жизни	2	7
138	себя и	2	7
139	он в	1	7
140	но если	2	7
141	должен быть	2	7
142	в народе	2	7
143	не могу	1	7
144	также и	1	7
145	как он	2	7
146	все еще	1	7
147	к другу	2	6
148	же и	1	6
149	с этой	2	6
150	не как	1	6
151	было в	1	6
152	увидим что	2	6
153	на пути	1	6
154	людей и	1	6
155	и те	3	6
156	что у	3	6
157	там и	2	6
158	его в	9	6
159	у них	2	6
160	совсем не	1	6
161	можно было	3	6
162	вера в	2	6
163	чтобы не	1	6
164	и от	2	6
165	и здесь	3	6
166	друг к	2	6
167	что это	4	6
168	его на	1	6
169	него нет	1	6
170	если бы	1	6
171	в которых	8	6
172	в образе	3	6
173	того как	6	6
174	о русском	1	6
175	должен был	3	6
176	и более	3	6
177	и свободы	1	6
178	на все	3	6
179	жизнь и	2	6
180	быть и	3	6
181	к ней	4	6
182	на то	2	6
183	не к	3	6
184	еще не	7	5
185	которые не	3	5
186	одно из	6	5
187	с собой	4	5
188	и как	2	5
189	с этим	4	5
190	во всяком	1	5
191	для этого	6	5
192	мы увидим	8	5
193	до того	3	5
194	сказать что	1	5
195	к которому	1	5
196	все время	1	5
197	по преимуществу	1	5
198	после того	3	5
199	от этого	2	5
200	до самой	1	5
201	должны быть	1	5
202	был в	1	5
203	в то	3	5
204	для чего	1	5
205	означает что	2	5
206	когда он	3	5
207	они и	2	5
208	у русских	12	5
209	интерес к	2	5
210	оно не	2	5
211	и мы	1	5
212	хотел бы	1	5
213	тот кто	2	5
214	его и	2	5
215	он же	4	5
216	в основе	1	5
217	жизни это	1	5
218	тот же	2	5
219	в более	2	5
220	так и	8	5
221	как у	2	5
222	западной европы	3	5
223	в их	5	5
224	связано с	3	5
225	думать что	3	5
226	на путь	1	5
227	к новому	2	5
228	как будто	6	5
229	в той	1	4
230	что было	1	4
231	к этой	1	4
232	в разных	3	4
233	нас в	2	4
234	в своих	3	4
235	и даже	1	4
236	к земле	5	4
237	в такой	1	4
238	было не	1	4
239	на природу	2	4
240	не всегда	4	4
241	в него	2	4
242	по отношению	1	4
243	не что	3	4
244	себе в	1	4
245	него не	1	4
246	что они	8	4
247	ее и	2	4
248	мы видим	2	4
249	что иное	3	4
250	землю и	2	4
251	в каждом	2	4
252	к себе	1	4
253	народной жизни	1	4
254	и через	2	4
255	и этим	1	4
256	не от	1	4
257	не была	1	4
258	будто бы	10	4
259	не раскрывает	2	4
260	тому что	4	4
261	время как	1	4
262	в свете	5	4
263	себе и	1	4
264	в чем	1	4
265	а с	6	4
266	земле и	4	4
267	так что	4	4
268	и что	8	4
269	и по	10	4
270	не случайно	2	4
271	его с	4	4
272	живет в	1	4
273	тогда когда	4	4
274	для них	5	4
275	ни в	1	4
276	но на	1	4
277	с ней	7	4
278	в начале	1	4
279	то время	3	4
280	как о	1	4
281	вряд ли	2	4
282	не знали	2	4
283	к другому	2	4
284	к свету	1	4
285	в середине	4	4
286	на землю	2	4
287	и до	3	4
288	в истории	1	4
289	и народ	1	4
290	только с	2	4
291	мы еще	1	4
292	они были	2	4
293	он должен	2	4
294	не знают	1	4
295	могут быть	3	4
296	может не	1	4
297	ни с	1	4
298	сам он	1	4
299	был еще	1	4
300	мы не	11	4
301	одна и	1	4
302	все эти	5	4
303	есть в	2	4
304	по своему	2	4
305	не все	4	4
306	значит что	2	4
307	и их	4	4
308	от того	1	4
309	отношению к	1	4
310	место в	2	4
311	любви и	1	4
312	иное как	3	4
313	народов европы	2	3
314	человек на	1	3
315	который должен	1	3
316	о чем	7	3
317	есть один	1	3
318	него в	1	3
319	в виду	3	3
320	не бывает	1	3
321	стоит в	3	3
322	принадлежат к	1	3
323	все же	7	3
324	но у	1	3
325	в иной	1	3
326	мир и	1	3
327	этого вопроса	1	3
328	то это	1	3
329	входит в	4	3
330	в этот	19	3
331	с трудом	1	3
332	в одном	4	3
333	приходит к	1	3
334	превращается в	1	3
335	не вполне	1	3
336	с другим	2	3
337	все русские	1	3
338	находится в	3	3
339	к этому	7	3
340	в европе	1	3
341	уходит в	1	3
342	он считал	1	3
343	и еще	2	3
344	на том	1	3
345	в состоянии	1	3
346	хотя и	3	3
347	и сама	1	3
348	и за	2	3
349	одним из	2	3
350	и жизнь	1	3
351	есть та	1	3
352	же как	5	3
353	на свободу	1	3
354	во всех	6	3
355	остается в	1	3
356	на смену	1	3
357	ту же	2	3
