N	3gram	Propp_Morf	Stilisti
1	в то же	1	9
2	для того чтобы	3	7
3	то же время	1	7
4	с точки зрения	6	5
5	одно и то	1	5
6	и то же	1	5
7	в свою очередь	1	4
8	той или иной	1	4
9	с самого начала	1	4
10	как мы уже	1	3
11	на самом деле	4	3
12	тех или иных	1	3
13	мы уже видели	2	3
14	которое может быть	2	3
15	в этом случае	10	3
16	но все же	4	3
17	как бы в	1	3
18	есть не что	1	2
19	к чему не	2	2
20	мы видим что	11	2
21	не может быть	9	2
22	по отношению к	7	2
23	о том что	3	2
24	мы увидим что	2	2
25	но об этом	1	2
26	можно сказать что	1	2
27	для наших целей	2	2
28	мы будем говорить	1	2
29	связи с этим	5	2
30	не что иное	2	2
31	в точном смысле	1	2
32	тех случаях когда	2	2
33	как мы увидим	5	2
34	на первый взгляд	3	2
35	в связи с	9	2
36	к тому что	4	2
37	что иное как	2	2
38	ни к чему	2	2
39	в этом отношении	2	2
40	в тех случаях	2	2
41	в том что	4	1
42	но то что	1	1
43	собственном смысле слова	3	1
44	целый ряд вопросов	1	1
45	таким образом мы	7	1
46	как же быть	1	1
47	но чаще всего	1	1
48	мы уже знаем	1	1
49	это будет видно	1	1
50	в большинстве случаев	3	1
51	это дает нам	1	1
52	мы увидим ниже	6	1
53	и ни к	1	1
54	том что такое	1	1
55	в собственном смысле	3	1
56	образом мы приходим	2	1
57	до наших дней	2	1
58	как и в	3	1
59	с другими формами	1	1
60	то для того	1	1
61	можно заметить что	2	1
62	тем не менее	6	1
63	может как бы	1	1
64	можно говорить лишь	1	1
65	только в том	1	1
66	в форме диалога	1	1
67	как таковое не	1	1
68	более или менее	2	1
69	независимо от того	4	1
70	но и его	1	1
71	в качестве примера	1	1
72	на этот вопрос	1	1
73	мы приходим к	3	1
74	дает нам возможность	1	1
75	до сих пор	1	1
76	же время и	1	1
77	иметь в виду	1	1
78	это еще не	2	1
79	двух точек зрения	1	1
80	бросается в глаза	1	1
81	в наши дни	1	1
82	мы имеем в	2	1
83	но если бы	1	1
84	задаваясь вопросом о	1	1
85	то что же	1	1
86	мы должны будем	1	1
87	в высшей степени	1	1
88	хотя бы только	1	1
89	нужно помнить что	1	1
90	между тем в	1	1
91	уже видели в	1	1
92	мы увидим дальше	1	1
93	с другой стороны	5	1
94	вопрос о том	2	1
95	более сложный случай	1	1
96	и этот момент	1	1
97	может иметь несколько	1	1
98	не задаваясь вопросом	1	1
99	уже не только	1	1
100	можно было бы	2	1
101	мы не можем	1	1
102	что несмотря на	1	1
103	если же он	1	1
104	ответ на него	1	1
105	но там оно	1	1
