N	2gram	Vygotskiy_	SlovoVZh
1	не может	23	16
2	может быть	20	14
3	точки зрения	39	14
4	как бы	13	13
5	и его	14	13
6	таким образом	38	12
7	и в	47	12
8	отношению к	9	11
9	по отношению	10	11
10	в нашем	6	11
11	и не	27	10
12	так как	25	9
13	если бы	8	9
14	прежде всего	9	8
15	для нас	4	7
16	сказать что	18	7
17	нашем примере	1	7
18	все время	3	6
19	в ней	5	6
20	слова и	10	6
21	с помощью	18	6
22	в том	38	6
23	в процессе	12	6
24	только в	24	6
25	в интонации	1	6
26	в нем	6	6
27	при этом	4	6
28	и др	1	5
29	можно сказать	9	5
30	что мы	14	5
31	то же	16	5
32	к предмету	6	5
33	а не	7	5
34	в виду	5	5
35	то что	40	5
36	мы ни	2	5
37	как и	19	5
38	как в	7	5
39	отнюдь не	2	5
40	том что	28	5
41	и следовательно	8	5
42	но в	9	5
43	никогда не	7	5
44	в самом	15	4
45	и к	11	4
46	в литературе	1	4
47	и на	4	4
48	свое выражение	8	4
49	не только	36	4
50	и является	5	4
51	на самом	3	4
52	за пределы	2	4
53	от того	6	4
54	его в	7	4
55	с другой	7	4
56	не в	7	4
57	дело в	1	4
58	отношение к	8	4
59	что не	2	4
60	так и	8	4
61	уже не	1	4
62	в этом	47	4
63	все же	7	4
64	зависимости от	6	4
65	к нему	5	4
66	как к	4	3
67	и с	5	3
68	находит свое	3	3
69	до сих	6	3
70	это как	1	3
71	и более	2	3
72	в котором	6	3
73	и по	6	3
74	и пр	1	3
75	мы не	10	3
76	между тем	2	3
77	для него	6	3
78	отношении к	4	3
79	с ним	5	3
80	того что	27	3
81	и уже	1	3
82	когда он	2	3
83	тем не	4	3
84	имеет в	4	3
85	все это	5	3
86	он должен	1	3
87	ни в	3	3
88	в пределах	3	3
89	конечно не	2	3
90	по себе	5	3
91	так же	26	3
92	в них	3	3
93	в каком	2	3
94	этой точки	4	3
95	самом деле	6	3
96	только на	5	3
97	но для	2	3
98	в себе	14	3
99	ясно что	4	3
100	все эти	7	3
101	о том	5	3
102	в своей	4	3
103	здесь не	1	3
104	не менее	6	3
105	из этого	4	3
106	в такой	6	3
