N	4gram	Tiupa_Anal	StatiiOP
1	в то же время	7	9
2	заключается в том что	1	6
3	той мере в какой	2	3
4	в том смысле что	1	3
5	в той мере в	2	3
6	обращает на себя внимание	3	3
7	не говоря уже о	1	3
8	и в самом деле	1	3
9	в том что он	2	3
10	одним и тем же	1	3
11	и в этом случае	1	2
12	состоит в том что	6	2
13	до тех пор пока	1	2
14	в том числе и	1	2
15	внимание на то что	1	2
16	и вместе с тем	1	2
17	но в то же	2	2
18	бы то ни было	3	2
19	в той или иной	3	2
20	и в этом смысле	1	2
21	мысль о том что	1	1
22	одни и те же	2	1
23	том виде в каком	1	1
24	в той же мере	1	1
25	обращены уже не к	1	1
26	то же время оно	1	1
27	сколько в том что	1	1
28	с этой точки зрения	2	1
29	тем не менее в	1	1
30	по его выражению не	1	1
31	в том что именно	1	1
32	только в том что	1	1
33	в самом деле не	1	1
34	не только в том	1	1
35	одной и той же	1	1
36	в самом деле в	1	1
37	ответ на этот вопрос	1	1
38	дело не только в	1	1
39	одно и то же	2	1
40	в ответ на вопрос	1	1
41	не в том чтобы	3	1
42	и та и другая	1	1
43	свидетельствует о том что	1	1
44	по его собственному признанию	1	1
45	вместе с ним и	1	1
46	в том же году	1	1
47	приводит к тому что	1	1
48	в том виде в	1	1
49	мы имеем дело с	4	1
50	мере в какой он	1	1
