N	2gram	Voloshinov	Dialekti
1	не есть	2	181
2	и не	14	120
3	по себе	1	79
4	а не	7	78
5	и в	42	77
6	точки зрения	11	72
7	может быть	13	71
8	не только	28	66
9	то что	9	59
10	и есть	1	55
11	ничего не	8	54
12	не может	13	53
13	и даже	3	47
14	с точки	5	46
15	что это	4	46
16	так как	8	46
17	потому что	7	45
18	не просто	4	44
19	как бы	30	43
20	и что	1	42
21	ни в	1	42
22	вовсе не	2	41
23	в том	3	40
24	в этом	10	39
25	то же	16	39
26	что такое	4	39
27	в себе	10	38
28	что он	2	37
29	том что	3	37
30	прежде всего	22	37
31	так что	1	36
32	это не	3	36
33	что в	1	34
34	в нем	6	34
35	и все	4	33
36	того что	4	33
37	но и	16	32
38	ясно что	2	31
39	все это	4	31
40	сказать что	3	30
41	отнюдь не	10	30
42	и как	10	30
43	было бы	7	29
44	так и	7	29
45	как и	12	28
46	никогда не	7	27
47	в виду	3	26
48	крайней мере	1	26
49	не в	6	26
50	по крайней	1	26
51	говорить о	1	25
52	и то	5	25
53	и пр	4	25
54	есть не	2	25
55	но это	2	24
56	если бы	4	24
57	таким образом	8	23
58	в то	9	23
59	это и	1	23
60	что оно	3	23
61	и вот	3	23
62	но что	3	22
63	или от	1	22
64	я не	1	22
65	в чем	1	21
66	допустим что	3	21
67	она не	1	21
68	и с	5	20
69	о том	4	20
70	что и	3	20
71	в таком	1	20
72	только в	7	20
73	в каком	2	20
74	совершенно не	3	20
75	только тогда	2	20
76	уже не	4	20
77	как раз	1	20
78	и вообще	2	20
79	в самом	5	19
80	не менее	1	19
81	не существует	4	19
82	в своем	1	19
83	как же	1	19
84	и это	8	19
85	как это	5	19
86	тогда когда	1	19
87	что мы	11	19
88	и его	7	19
89	же время	7	18
90	хотя бы	18	18
91	не что	4	18
92	с другой	1	18
93	что иное	2	18
94	ни на	3	18
95	что же	8	18
96	жизни и	3	18
97	иное как	2	18
98	в особенности	1	17
99	можно сказать	4	17
100	в сущности	1	17
101	той или	4	17
102	должно быть	2	17
103	в основе	3	17
104	но если	1	17
105	кроме того	2	16
106	одно и	6	16
107	к нему	2	16
108	только не	1	16
109	тем не	1	16
110	или не	1	16
111	само по	1	16
112	в своей	2	16
113	да и	4	16
114	нет ничего	2	16
115	конечно не	3	16
116	мы не	9	16
117	об этом	3	16
118	другими словами	7	16
119	же и	1	15
120	все же	9	15
121	так же	4	15
122	то в	1	15
123	несмотря на	3	15
124	мы уже	11	15
125	как таковой	3	15
126	не мешает	1	15
127	самом деле	5	15
128	хотя и	3	15
129	сознания и	1	15
130	в виде	1	15
131	также и	2	15
132	и о	1	15
133	на то	1	15
134	даже и	2	14
135	с ним	2	14
136	не было	2	14
137	и потому	2	14
138	и к	4	13
139	говорит о	1	13
140	другой стороны	1	13
141	что именно	4	13
142	не то	1	13
143	и следовательно	5	13
144	он не	2	13
145	и та	1	13
146	в силу	1	13
147	но в	5	13
148	в ней	8	13
149	собственно говоря	1	13
150	именно в	1	12
151	и нет	2	12
152	с этим	2	12
153	вопрос о	2	12
154	нет никакого	1	12
155	но как	2	12
156	но не	2	12
157	даже не	1	12
158	никак не	1	12
159	не могут	1	12
160	перед нами	3	12
161	еще не	3	12
162	и если	1	12
163	и тогда	2	12
164	все равно	1	12
165	все эти	3	12
166	тем более	1	12
167	и ни	2	12
168	а в	5	12
169	от всего	1	11
170	как только	4	11
171	только на	3	11
172	что я	1	11
173	быть в	1	11
174	не о	1	11
175	и тем	7	11
176	должны быть	1	11
177	из них	3	11
178	тех или	4	11
179	не значит	1	11
180	та же	3	11
181	себе не	1	11
182	от того	3	11
183	ничем не	2	11
184	мы имеем	2	11
185	или в	2	11
186	есть в	1	11
187	его не	2	11
188	мы должны	10	11
189	только то	1	11
190	в душе	2	10
191	с этой	1	10
192	одно из	1	10
193	в результате	1	10
194	в жизни	2	10
195	к тому	4	10
196	только как	1	10
197	для того	9	10
198	в меру	1	10
199	мы видим	4	10
200	это будет	1	10
201	то или	4	10
202	в ее	3	10
203	от этого	1	10
204	себе и	2	10
205	только потому	2	10
206	и для	3	10
207	если же	1	10
208	или иное	4	10
209	что для	1	10
210	чтобы не	1	10
211	содержит в	1	10
212	за пределы	1	10
213	времени и	2	10
214	если мы	4	10
215	только о	1	10
216	в его	6	10
217	в их	2	10
218	в частности	3	10
219	как мы	10	10
220	как будто	1	10
221	может и	1	10
222	и уже	3	10
223	история и	1	9
224	при этом	9	9
225	тому что	5	9
226	не как	1	9
227	быть может	3	9
228	в этих	2	9
229	и на	7	9
230	в котором	3	9
231	в противоположность	1	9
232	ничто не	1	9
233	в одном	4	9
234	и когда	2	9
235	превращается в	1	9
236	точка зрения	4	9
237	и он	2	9
238	мы можем	7	9
239	не нуждается	1	9
240	же как	1	9
241	бы в	6	9
242	на этом	1	9
243	иметь в	1	9
244	и по	1	9
245	утверждать что	1	9
246	была бы	1	9
247	с ними	1	9
248	той же	7	9
249	всех этих	1	9
250	и от	7	9
251	или иной	6	9
252	как он	1	9
253	в истории	1	9
254	та или	1	9
255	тому как	1	9
256	или других	1	8
257	даже в	1	8
258	вещи и	1	8
259	в разных	3	8
260	в отношении	2	8
261	но все	5	8
262	теперь мы	1	8
263	в дальнейшем	2	8
264	при условии	2	8
265	чего не	1	8
266	нет и	3	8
267	все время	5	8
268	себя в	4	8
269	ни от	1	8
270	это мы	1	8
271	или иная	1	8
272	не будет	3	8
273	что эта	1	8
274	в этой	6	8
275	в одной	1	8
276	один из	4	8
277	но вот	3	8
278	как не	2	8
279	когда мы	6	8
280	при помощи	1	8
281	одна и	1	8
282	у нас	4	8
283	на самом	3	8
284	бы и	2	8
285	как нечто	2	8
286	и без	4	8
287	того или	5	8
288	бы только	1	8
289	если она	1	8
290	все что	1	7
291	говоря уже	1	7
292	тем что	2	7
293	зависимости от	7	7
294	мира и	1	7
295	на первый	2	7
296	не всегда	2	7
297	грань между	1	7
298	это конечно	1	7
299	связи с	3	7
300	не знает	3	7
301	есть явление	1	7
302	во внимание	1	7
303	но для	3	7
