N	2gram	Tiupa_Anal	Sotsiolo
1	истории литературы	4	10
2	все это	2	7
3	в том	36	5
4	в этом	31	5
5	не только	30	3
6	не в	17	3
7	и в	30	3
8	и только	1	3
9	но ведь	1	3
10	более чем	4	3
11	в его	15	3
12	о литературе	3	3
13	для нас	1	3
14	литературы и	1	2
15	что в	7	2
16	ведь это	2	2
17	заключается что	1	2
18	то что	11	2
19	таким образом	5	2
20	том что	21	2
21	или даже	3	2
22	дело не	5	2
23	как бы	15	2
24	в результате	3	2
25	было бы	4	2
26	как будто	6	2
27	в литературоведении	2	2
28	историка литературы	1	2
29	очевидно что	1	2
30	в частности	32	2
31	по природе	4	2
32	но и	29	2
33	может быть	33	2
34	по существу	1	2
35	она может	3	2
36	и что	2	2
37	за пределы	6	2
38	по отношению	10	2
39	и заключается	2	2
40	в конце	4	2
41	отношению к	9	2
42	должна быть	1	2
43	далеко не	6	2
44	тем более	2	2
45	только в	8	2
46	то же	12	2
47	еще не	5	2
48	а в	11	1
49	что он	3	1
50	образом в	1	1
51	в конечном	6	1
52	столь же	7	1
53	литературы как	2	1
54	даже в	5	1
55	на что	1	1
56	науки о	2	1
57	быть не	3	1
58	автор остается	1	1
59	в таких	1	1
60	в целом	9	1
61	в силу	4	1
62	на этот	2	1
63	все эти	3	1
64	не было	1	1
65	представить себе	1	1
66	сказать и	1	1
67	остается в	2	1
68	а вот	1	1
69	у которых	1	1
70	связи с	2	1
71	положения в	1	1
72	целом все	1	1
73	к субъекту	1	1
74	не мешает	1	1
75	в своей	7	1
76	во всяком	1	1
77	в мире	14	1
78	и потому	2	1
79	все же	4	1
80	научной мысли	1	1
81	что это	1	1
82	или не	2	1
83	еще и	1	1
84	по крайней	4	1
85	с другой	7	1
86	ни на	1	1
87	мы должны	2	1
88	а тем	1	1
89	это как	2	1
90	данный человек	1	1
91	с ним	6	1
92	противном случае	1	1
93	между тем	7	1
94	собой не	2	1
95	как совокупность	2	1
96	и более	5	1
97	но как	1	1
98	в этой	12	1
99	из себя	1	1
100	и его	9	1
101	не должна	1	1
102	это по	1	1
103	ли не	1	1
104	всему этому	1	1
105	нашей работы	1	1
106	никак не	2	1
107	в данном	6	1
108	на все	2	1
109	исторической поэтики	2	1
110	только для	3	1
111	в области	4	1
112	и по	2	1
113	же самое	3	1
114	один из	4	1
115	так и	16	1
116	в противном	1	1
117	только тогда	1	1
118	в то	10	1
119	полагает что	1	1
120	может не	2	1
121	можно принять	1	1
122	ни одно	2	1
123	в котором	5	1
124	те же	3	1
125	между собой	2	1
126	произведение как	1	1
127	отнюдь не	22	1
128	и не	33	1
129	со своими	1	1
130	выходит за	1	1
131	объекта и	3	1
132	всяком случае	1	1
133	эти два	1	1
134	иначе говоря	17	1
135	хотелось бы	1	1
136	говоря иначе	1	1
137	том как	1	1
138	или нет	1	1
139	и о	3	1
140	и должны	1	1
141	вступает в	4	1
142	но не	13	1
143	может служить	3	1
144	литературный факт	1	1
145	они не	1	1
146	на точке	1	1
147	не способен	1	1
148	в него	1	1
149	она должна	1	1
150	для этого	2	1
151	прежде всего	8	1
152	тем что	2	1
153	что она	1	1
154	характера это	1	1
155	тем же	1	1
156	литературного развития	1	1
157	он по	2	1
158	связь между	1	1
159	и цельного	1	1
160	на тех	1	1
161	опирающаяся на	1	1
162	в чем	2	1
163	а с	3	1
164	может она	1	1
165	это происходит	1	1
166	а между	1	1
167	же не	3	1
168	и будет	1	1
169	в сущности	10	1
170	конечном счете	5	1
171	его в	2	1
172	не от	1	1
173	зависит от	1	1
174	представляется нам	1	1
175	крайней мере	4	1
176	в процессе	2	1
177	между собою	1	1
178	я и	8	1
179	вовсе не	4	1
180	даже не	2	1
181	не умея	1	1
182	с одной	7	1
183	и наконец	2	1
184	о том	11	1
185	мы не	1	1
186	тому что	2	1
187	том и	2	1
188	в этих	3	1
189	сама по	1	1
190	у него	5	1
191	по себе	6	1
192	на отдельные	1	1
193	на первый	1	1
194	могут оказаться	2	1
195	перед нами	1	1
196	из тех	1	1
197	бы он	1	1
198	в любой	1	1
199	отвечает требованиям	1	1
200	хотя бы	4	1
201	же время	7	1
202	наконец в	1	1
203	что на	3	1
204	это не	7	1
205	специфическую природу	1	1
206	одной стороны	6	1
207	в связи	2	1
208	бы в	3	1
209	и должно	1	1
210	стало быть	2	1
211	в виде	1	1
212	именно в	6	1
213	никогда не	4	1
214	и есть	3	1
215	не может	26	1
216	между ними	1	1
217	и как	6	1
218	что все	2	1
219	место в	3	1
220	как и	23	1
221	сколь и	1	1
222	ничего не	10	1
223	в них	1	1
