N	2gram	Bakhtin_Pr	formyVre
1	и в	38	148
2	в этом	15	73
3	то есть	46	70
4	в романе	4	58
5	в нем	15	51
6	прежде всего	13	46
7	и т	14	40
8	и не	42	37
9	в его	43	36
10	и его	16	36
11	вовсе не	2	35
12	но и	9	33
13	то же	5	32
14	т п	13	32
15	не только	9	32
16	но в	4	31
17	жизни и	1	31
18	так и	5	29
19	может быть	26	27
20	не в	7	26
21	как мы	7	26
22	как и	7	25
23	как бы	22	25
24	человеческой жизни	1	24
25	точки зрения	8	24
26	мы уже	1	24
27	только в	13	23
28	в то	4	23
29	человека в	2	23
30	в том	8	22
31	то что	8	22
32	связи с	2	21
33	во всех	11	21
34	жизни в	1	21
35	же время	3	21
36	все эти	5	21
37	в своем	5	19
38	и др	8	19
39	и на	3	19
40	и для	11	19
41	таким образом	10	18
42	и все	3	18
43	еще не	7	18
44	по существу	2	18
45	при этом	5	17
46	в особенности	2	17
47	в пределах	6	17
48	человека и	1	17
49	все же	6	16
50	в связи	2	16
51	в основе	5	16
52	и во	2	16
53	не может	27	16
54	в одном	1	15
55	в них	5	15
56	в дальнейшем	3	15
57	никогда не	5	15
58	с точки	6	15
59	с его	2	15
60	вместе с	1	15
61	лишь в	2	15
62	и как	8	14
63	и с	17	14
64	так же	1	14
65	всех этих	1	14
66	а не	5	14
67	все это	3	14
68	в самом	7	13
69	в котором	2	13
70	для того	2	13
71	с ним	5	13
72	как в	4	13
73	здесь в	2	13
74	в их	10	13
75	в частности	2	13
76	того чтобы	2	13
77	а в	6	13
78	конечно не	5	12
79	время в	1	12
80	не было	2	12
81	он не	3	12
82	значение и	1	12
83	отнюдь не	19	12
84	что в	7	12
85	с природой	1	12
86	в истории	2	12
87	ничего не	6	12
88	но не	12	12
89	и наконец	6	12
90	из них	1	11
91	хотя и	3	11
92	его в	9	11
93	между ними	4	11
94	и у	2	11
95	ни в	11	11
96	мира и	1	11
97	в ней	4	11
98	и другие	2	10
99	кроме того	3	10
100	уже не	1	10
101	входит в	8	10
102	в ее	4	10
103	сих пор	1	10
104	также и	3	10
105	до сих	1	10
106	на основе	6	10
107	и проч	28	10
108	здесь не	4	10
109	в большинстве	5	10
110	и даже	3	9
111	с другой	7	9
112	на протяжении	1	9
113	здесь нет	2	9
114	должно быть	5	9
115	к себе	2	9
116	и следовательно	1	9
117	и это	3	9
118	в других	4	9
119	могут быть	5	9
120	отношения к	6	9
121	оно не	3	9
122	том что	3	9
123	в самой	2	9
124	для него	1	9
125	есть в	1	9
126	и других	2	9
127	и к	3	8
128	в результате	1	8
129	в виду	4	8
130	в этих	2	8
131	время как	1	8
132	к тому	1	8
133	но эти	1	8
134	в некоторых	2	8
135	с одной	3	8
136	в произведении	4	8
137	что и	2	8
138	характер и	1	8
139	рядом с	5	8
140	в мире	3	8
141	здесь мы	2	8
142	здесь на	1	8
143	образ человека	1	8
144	со всеми	3	8
145	если бы	3	8
146	большинстве случаев	5	8
147	до конца	1	8
148	мы еще	1	8
149	значение в	1	8
150	это не	5	8
151	и прежде	5	8
152	а также	1	8
153	на фоне	3	8
154	и потому	4	8
155	отношение к	10	8
156	отношению к	19	8
157	или иной	2	8
158	себе самому	1	8
159	в целом	3	8
160	в той	1	7
161	для всех	1	7
162	еще более	1	7
163	не как	1	7
164	имеет место	5	7
165	широком смысле	1	7
166	к ним	1	7
167	к этому	2	7
168	в себе	4	7
169	но он	1	7
170	не знает	3	7
171	в которой	1	7
172	в себя	2	7
173	в форме	4	7
174	с ее	1	7
175	в процессе	1	7
176	например в	3	7
177	и он	2	7
178	то время	1	7
179	себя и	3	7
180	в главе	1	7
181	было бы	8	7
182	в отличие	5	7
183	том же	2	7
184	т д	1	7
185	того что	2	7
186	мир в	2	7
187	этом отношении	2	7
188	отличие от	5	7
189	место в	8	7
190	все что	3	6
191	с самим	2	6
192	именно в	1	6
193	с тем	1	6
194	на первый	2	6
195	о том	4	6
196	с помощью	7	6
197	сказать что	4	6
198	входят в	3	6
199	во всей	1	6
