N	2gram	Propp_Morf	FransuaR
1	и в	17	367
2	в этом	18	112
3	и не	16	101
4	таким образом	26	100
5	и его	3	99
6	в его	1	98
7	прежде всего	14	92
8	не только	8	87
9	мы уже	4	85
10	но и	9	84
11	как бы	6	82
12	все эти	5	79
13	вовсе не	6	77
14	как и	4	76
15	но в	4	75
16	и на	1	72
17	и др	12	72
18	в том	10	71
19	как мы	8	71
20	то же	10	66
21	и все	1	66
22	в них	1	65
23	в этой	3	65
24	так и	10	65
25	и с	1	64
26	в сущности	3	64
27	в то	4	63
28	во время	6	63
29	во всех	6	62
30	все это	2	62
31	же время	1	55
32	что в	10	52
33	только в	3	48
34	так как	20	46
35	и до	1	46
36	том что	7	45
37	то что	10	41
38	у него	2	40
39	точки зрения	7	37
40	с его	3	36
41	о том	6	35
42	он был	1	35
43	может быть	61	35
44	мы видим	15	35
45	сказать что	4	34
46	и даже	2	34
47	в себе	1	34
48	он не	5	32
49	для него	2	32
50	в своей	1	31
51	так же	4	30
52	но он	1	30
53	один из	7	30
54	потому что	7	30
55	в одном	2	29
56	еще не	4	29
57	связи с	12	29
58	в этих	17	29
59	что он	5	29
60	не может	19	29
61	в особенности	1	29
62	при этом	1	29
63	его в	4	29
64	не в	3	29
65	и к	4	28
66	из них	4	28
67	всех этих	1	28
68	также и	6	28
69	в той	1	28
70	в основе	2	28
71	и другие	6	27
72	сих пор	1	27
73	до сих	1	27
74	все же	9	27
75	на части	1	27
76	по своему	2	27
77	роль в	2	27
78	и их	3	27
79	кроме того	3	26
80	все они	1	26
81	на самом	4	25
82	в области	1	25
83	с помощью	1	25
84	но это	6	25
85	но не	8	24
86	например в	2	24
87	в ее	1	24
88	и у	3	24
89	как в	5	24
90	того чтобы	4	24
91	в частности	2	24
92	в большинстве	3	24
93	отношение к	1	24
94	большинстве случаев	3	23
95	и здесь	7	23
96	и для	4	23
97	в их	1	23
98	есть и	4	23
99	к нему	3	23
100	это не	6	23
101	еще и	1	23
102	даже в	1	22
103	а в	8	22
104	тем что	4	22
105	что и	10	22
106	там где	5	22
107	форм и	1	22
108	в своих	2	21
109	именно в	1	21
110	и как	6	21
111	есть в	1	21
112	в качестве	8	21
113	одним из	2	21
114	что это	3	21
115	ни в	3	21
116	и наконец	1	21
117	в виду	1	20
118	в связи	10	20
119	и это	1	20
120	одной из	2	20
121	этом отношении	2	20
122	с точки	6	20
123	как раз	1	20
124	в образе	6	20
125	а также	7	20
126	самом деле	4	20
127	во всем	1	19
128	их в	2	19
129	к этому	4	19
130	в эту	1	19
131	было бы	5	19
132	с ее	1	19
133	с другой	9	19
134	хотя и	5	19
135	в форме	6	19
136	далеко не	5	19
137	мы находим	1	18
138	со всеми	1	18
139	конечно и	1	18
140	это и	3	18
141	здесь не	3	18
142	одна из	5	18
143	но они	2	18
144	превращается в	2	18
145	на этом	4	18
146	связанные с	1	18
147	перед нами	14	18
148	для того	3	17
149	в результате	8	17
150	можно было	4	17
151	на его	5	17
152	в плане	1	17
153	такой же	1	17
154	но все	4	17
155	связана с	3	17
156	и вот	1	17
157	того что	3	17
158	а не	11	17
159	в другом	2	16
160	с одной	2	16
161	между ними	1	16
162	между тем	5	16
163	тот же	1	16
164	в начале	3	16
165	ничего не	5	16
166	они не	3	16
167	дело в	1	16
168	а затем	10	15
169	характерно что	1	15
170	в которой	3	15
171	никто не	4	15
172	из этих	2	15
173	мы еще	1	15
174	и вообще	1	15
175	одно из	1	15
176	как на	1	15
177	в нашем	6	15
178	в первой	1	15
179	еще в	1	15
180	в котором	1	14
181	в чем	2	14
182	и по	3	14
183	мы не	8	14
184	здесь только	2	14
185	все что	1	14
186	в данном	2	14
187	несмотря на	4	14
188	по существу	13	14
189	с этим	14	13
190	во все	1	13
191	что все	1	13
192	его к	1	13
193	на все	1	13
194	в одной	2	13
195	о чем	1	13
196	одновременно и	1	13
197	одной стороны	2	13
198	здесь нет	1	13
199	не знает	2	13
200	отличие от	1	13
201	в мире	1	13
202	в других	5	13
203	бы в	2	13
204	и есть	3	13
205	они и	5	13
206	только на	1	13
207	не на	2	13
208	или в	6	13
209	так в	1	13
210	это было	3	13
211	как он	1	13
212	другой стороны	5	12
213	во всей	1	12
214	те же	1	12
215	главным образом	5	12
216	и ее	5	12
217	та же	3	12
218	в новой	1	12
219	о нем	1	12
220	у нас	3	12
221	этот момент	5	12
222	только для	2	12
223	можно сказать	2	12
224	не могут	7	12
225	он в	1	12
226	но здесь	2	12
227	благодаря этому	3	12
228	право на	2	12
229	об этом	5	12
230	в пределах	3	12
231	из самых	1	11
232	на эту	1	11
233	так например	3	11
234	уже не	4	11
235	что они	5	11
236	той или	1	11
237	и что	3	11
238	того как	2	11
239	в течение	1	11
240	из этого	1	11
241	в свое	2	11
242	момент в	2	11
243	очень часто	6	11
244	это уже	3	11
245	с ними	1	11
246	и более	2	11
247	между собою	2	11
248	целый ряд	3	10
249	страха перед	1	10
250	по отношению	7	10
251	на котором	4	10
252	все остальные	1	10
253	до наших	2	10
254	но оно	2	10
255	в главе	1	10
256	в таких	3	10
257	данном случае	2	10
258	наших дней	2	10
259	или иной	1	10
260	для всех	1	10
261	там же	1	10
262	к тому	5	10
263	на этот	2	10
264	здесь как	1	10
265	ту же	2	10
266	в доме	2	10
267	образом и	1	10
268	со смертью	2	10
269	им в	1	10
270	хотя он	1	10
271	во второй	2	10
272	в целом	5	10
273	еще раз	1	9
274	здесь же	3	9
275	некоторые из	3	9
276	в основу	2	9
277	для этой	3	9
278	нашей работы	2	9
279	как это	7	9
280	в тех	8	9
281	значение и	3	9
282	весь этот	1	9
283	но на	1	9
284	в которых	2	9
285	о котором	1	9
286	именно на	1	9
287	до известной	1	9
288	как к	1	9
289	и со	1	9
290	же в	3	9
291	вплоть до	1	9
292	отношения к	1	9
293	но как	3	9
294	мы можем	5	9
295	не имеет	2	9
296	и были	1	9
297	в следующей	1	9
298	чем же	1	9
299	видим что	12	9
300	на землю	1	9
301	известной степени	1	9
302	и то	1	9
303	в формах	1	9
304	для нас	2	9
305	эти формы	2	9
306	конечно в	1	9
307	отношению к	7	9
308	что не	1	9
309	с этой	3	8
310	более или	2	8
311	не менее	7	8
312	через все	1	8
313	на первый	3	8
314	но эти	3	8
315	в этот	1	8
316	и те	1	8
317	в другое	1	8
318	или менее	2	8
319	всего в	1	8
320	переходим к	1	8
321	в него	1	8
322	и при	3	8
323	с тем	2	8
324	то время	3	8
325	в совершенно	2	8
326	сам он	3	8
327	он как	1	8
328	но эта	1	8
329	на одном	1	8
330	от него	2	8
331	как они	2	8
332	нельзя было	2	8
333	мы увидим	10	8
334	всего этого	1	8
335	после того	1	8
336	ко всему	1	8
337	и она	1	8
338	так что	1	8
339	здесь мы	3	8
340	и ни	1	8
341	в это	1	8
342	превращаются в	1	8
343	если бы	3	8
344	но с	2	8
345	с самого	1	8
346	дело не	2	8
347	ведь и	1	8
348	в эти	1	8
349	же и	1	7
350	не как	1	7
351	во всяком	2	7
352	и там	1	7
353	на него	4	7
354	мы говорили	1	7
355	и несколько	1	7
356	мы будем	3	7
357	в одну	2	7
358	большую роль	1	7
359	подобно тому	6	7
360	в последней	1	7
