N	2gram	Bakhtin_fo	VelikijI
1	и не	19	20
2	и в	84	16
3	так как	12	9
4	то что	13	9
5	в истории	6	8
6	от бога	1	8
7	еще не	8	8
8	и потому	4	7
9	что они	3	7
10	а не	7	7
11	на земле	2	7
12	человека и	15	6
13	что есть	1	5
14	хотя и	5	5
15	того что	5	5
16	все это	10	5
17	по пути	1	5
18	как бы	11	5
19	бога и	2	5
20	на себя	2	5
21	в мире	4	5
22	но и	14	5
23	все что	2	4
24	в котором	8	4
25	в этом	41	4
26	что мы	2	4
27	потому что	11	4
28	в его	19	4
29	в ней	4	4
30	так и	17	4
31	говорить о	1	4
32	и есть	3	4
33	и все	10	4
34	что не	3	4
35	в образе	8	4
36	что все	4	4
37	как и	15	4
38	что он	2	4
39	мира от	1	4
40	и я	1	4
41	в нем	28	4
42	во всех	13	3
43	что в	9	3
44	нет ничего	4	3
45	бы и	1	3
46	в конце	11	3
47	должно быть	6	3
48	этого мира	5	3
49	нас и	1	3
50	в первый	1	3
51	если не	3	3
52	хотя бы	2	3
53	в том	16	3
54	первый раз	1	3
55	тому что	1	3
56	личности и	2	3
57	не в	10	3
58	его во	1	3
59	и что	1	3
60	что и	5	3
61	ни в	9	3
62	в этих	6	3
63	в них	11	3
64	оно не	3	3
65	не было	8	3
66	лишь в	8	3
67	что ты	1	3
68	что во	1	3
69	в жизни	6	3
70	по этому	2	3
71	и они	4	3
72	как не	1	3
73	их в	6	3
74	в своей	2	3
75	должна быть	1	3
76	с его	10	3
77	от этого	4	3
78	не имеет	5	3
79	но это	1	3
80	и для	12	3
81	жизни и	12	3
82	в чем	3	3
83	все эти	12	3
84	тот же	4	3
85	но в	16	3
86	к тому	6	3
87	никогда не	8	3
88	что было	6	2
89	всего в	4	2
90	во всяком	5	2
91	от него	1	2
92	его и	2	2
93	государство не	1	2
94	уже на	3	2
95	ее и	1	2
96	над ними	2	2
97	что от	1	2
98	один из	5	2
99	мы и	4	2
100	не могли	3	2
101	в последнем	3	2
102	они и	1	2
103	в человека	2	2
104	самого себя	1	2
105	и люди	1	2
106	на том	1	2
107	не создает	1	2
108	когда я	2	2
109	того чтобы	11	2
110	это не	8	2
111	между тем	1	2
112	дороги и	3	2
113	не только	16	2
114	для него	5	2
115	человека как	1	2
116	их жизнь	1	2
117	и тогда	1	2
118	с ним	5	2
119	на этих	1	2
120	ее в	2	2
121	для нас	2	2
122	и то	5	2
123	и за	1	2
124	на нас	3	2
125	прежде всего	28	2
126	для них	3	2
127	в форме	5	2
128	людей и	2	2
129	и это	5	2
130	соединение в	1	2
131	мы не	4	2
132	конечно не	7	2
133	только в	12	2
134	все равно	1	2
135	а в	6	2
136	до того	1	2
137	в прошлом	3	2
138	люди не	1	2
139	и сам	2	2
140	нет и	4	2
141	это мы	1	2
142	от государства	1	2
143	но не	9	2
144	у людей	1	2
145	тем что	4	2
146	вера в	2	2
147	по которым	1	2
148	и во	13	2
149	могут быть	7	2
150	ничего и	1	2
151	мы это	2	2
152	высокие горы	1	2
153	с тем	5	2
154	и т	21	2
155	одна из	3	2
156	так для	1	2
157	во главе	1	2
158	от веры	1	2
159	его к	2	2
160	свободной и	1	2
161	не могут	4	2
162	т д	3	2
163	да и	4	2
164	и последнее	2	2
165	том что	7	2
166	мир и	2	2
167	так много	1	2
168	для их	1	2
169	для человека	1	2
170	но мы	1	2
171	в себя	3	2
172	нем нет	2	2
173	что их	1	2
174	уже не	5	2
175	мира в	6	2
176	не к	2	2
177	разные эпохи	1	1
178	я был	3	1
179	с радостью	1	1
180	целая философия	1	1
181	жизни но	7	1
182	и мир	1	1
183	в новом	1	1
184	в самом	9	1
185	который он	1	1
186	во всем	3	1
187	и каким	1	1
188	они принесли	1	1
189	мире и	3	1
190	перестает быть	1	1
191	были в	2	1
192	в образах	1	1
193	от труда	1	1
194	могли бы	1	1
195	и другие	6	1
196	то есть	42	1
197	достоинства и	1	1
198	и стало	1	1
199	с ложью	1	1
200	человека в	22	1
201	но как	1	1
202	все в	3	1
203	их же	1	1
204	мы видим	4	1
205	природе его	1	1
206	и самое	5	1
207	ее к	2	1
208	самой жизни	1	1
209	что оно	1	1
210	на котором	2	1
211	человек был	4	1
212	людей от	1	1
213	любви и	1	1
214	это тот	1	1
215	человеческой жизни	9	1
216	должно иметь	1	1
217	вообще в	1	1
218	мы скажем	1	1
219	сами же	2	1
220	тоже не	1	1
221	и на	13	1
222	ничем не	1	1
223	она и	1	1
224	вопрос о	2	1
225	далее и	1	1
226	жизни без	1	1
227	на этом	2	1
228	же и	2	1
229	может быть	18	1
230	они не	4	1
231	между собою	1	1
232	себя только	1	1
233	очень важное	1	1
234	к человеку	1	1
235	не имеют	4	1
236	и было	4	1
237	раз и	3	1
238	и свою	1	1
239	жив дух	1	1
240	должна раскрыться	1	1
241	свобода человека	1	1
242	человека не	1	1
243	если в	1	1
244	дел и	1	1
245	ее на	1	1
246	под землей	2	1
247	указать на	2	1
248	это как	1	1
249	мы увидим	2	1
250	и вообще	3	1
251	общественной жизни	1	1
252	от природы	3	1
253	конечно о	1	1
254	и вот	2	1
255	его с	2	1
256	с любовью	1	1
257	она не	2	1
258	но она	2	1
259	уже в	5	1
260	вечное и	1	1
261	человеческого бытия	1	1
262	есть прежде	1	1
263	в состоянии	1	1
264	для себя	8	1
265	у них	4	1
266	что уже	1	1
