N	3gram	Tiupa_Anal	Sovremen
1	с точки зрения	6	5
2	в зависимости от	1	4
3	не может быть	17	4
4	друг с другом	2	2
5	в свою очередь	1	2
6	то же самое	3	2
7	во всяком случае	1	2
8	тем не менее	3	2
9	в отличие от	8	2
10	он может быть	1	1
11	есть не что	4	1
12	еще аристотелем и	1	1
13	ничто не может	1	1
14	то ни было	3	1
15	в том что	13	1
16	ему принадлежит только	1	1
17	один и тот	1	1
18	и те же	2	1
19	не могут быть	2	1
20	как и во	1	1
21	до сих пор	1	1
22	одни и те	2	1
23	в свое время	3	1
24	сами по себе	3	1
25	ли он в	1	1
26	и тот же	2	1
27	не что иное	5	1
28	одна и та	1	1
29	и та же	1	1
30	в связи с	2	1
31	может иметь место	1	1
32	и все же	2	1
33	в обоих случаях	2	1
34	в самом деле	3	1
35	какой бы то	2	1
36	в такой же	1	1
37	в том случае	1	1
38	он в действительности	1	1
39	той или иной	8	1
40	вместе с ним	2	1
41	и во всех	1	1
42	что иное как	6	1
43	в данном случае	3	1
44	как мы это	1	1
45	все это делает	1	1
46	конечном счете только	1	1
47	равно как и	1	1
48	не подлежит никакому	1	1
49	принципиально не может	1	1
50	и той же	1	1
51	в конечном счете	5	1
52	с одной стороны	6	1
53	одной и той	1	1
54	в известном смысле	2	1
55	такой же мере	1	1
56	по аналогии с	1	1
57	то же время	7	1
58	не в том	3	1
59	а не только	2	1
60	по отношению к	9	1
61	в то же	9	1
62	оно может быть	1	1
63	бы то ни	3	1
64	в обратном порядке	1	1
65	на этот раз	1	1
66	на этот вопрос	1	1
67	но отнюдь не	2	1
68	и в этом	4	1
69	по крайней мере	4	1
70	в этом случае	4	1
71	же самое что	1	1
72	все эти три	1	1
73	можно было бы	1	1
74	как и вся	1	1
75	в этом смысле	3	1
76	в себе в	1	1
77	и не может	4	1
