N	2gram	Medvedev_V	Vvedenie
1	в том	2	38
2	в этом	1	35
3	и в	2	35
4	том что	2	30
5	потому что	1	18
6	только в	1	16
7	так как	1	15
8	в самом	1	13
9	и не	1	13
10	в их	1	12
11	то же	1	11
12	ясно что	1	11
13	именно в	1	8
14	а только	1	8
15	и то	1	7
16	самом деле	1	7
17	все это	1	6
18	в которых	1	6
19	хотя бы	1	6
20	и его	1	6
21	дело в	1	5
22	и т.д	1	5
23	да и	1	4
24	по крайней	1	4
25	и заключается	1	4
26	крайней мере	1	4
27	в конце	2	3
28	другое дело	1	3
29	в значительной	1	3
30	в другом	1	3
31	в частности	1	3
32	к этому	1	3
33	гораздо более	1	3
34	время в	1	2
35	ни к	1	2
36	для них	1	2
37	по существу	1	2
38	другом месте	1	2
39	материалов и	1	2
40	история языка	1	2
41	чем больше	1	2
42	от других	1	2
43	одно и	1	2
44	деле как	1	2
45	все время	1	2
46	том же	1	2
47	а отсюда	1	2
48	тем более	1	2
49	но это	1	2
50	конце концов	2	2
51	и составляет	1	1
52	других и	1	1
53	одном и	1	1
54	говорится в	1	1
55	совершенно ясно	1	1
56	как же	1	1
57	все то	1	1
58	или без	1	1
59	в пылу	1	1
60	что сами	1	1
61	не одно	1	1
62	теснейшим образом	1	1
63	впрочем не	1	1
64	о теории	1	1
65	далеко не	1	1
66	имеется в	1	1
67	по поводу	1	1
68	как говорили	1	1
69	значительной степени	1	1
70	стоит на	1	1
71	с большой	1	1
72	ведь это	1	1
73	главным образом	1	1
74	этом и	1	1
75	техники и	1	1
76	не даром	1	1
77	чем к	1	1
78	бы уже	1	1
79	и том	1	1
