N	2gram	Voloshinov	KulturaY
1	и в	3	84
2	не только	1	60
3	точки зрения	1	59
4	и не	1	52
5	может быть	1	47
6	с точки	1	36
7	а не	1	33
8	если бы	1	32
9	в его	1	30
10	не менее	1	28
11	в языке	1	26
12	не может	4	25
13	то же	1	23
14	но и	1	20
15	к тому	1	18
16	связи с	1	18
17	один из	2	15
18	и на	1	14
19	в ней	1	14
20	язык как	1	11
21	языка как	1	11
22	из этих	1	11
23	в особенности	1	10
24	несмотря на	1	10
25	бы в	1	10
26	в то	1	10
27	тех же	1	10
28	тому что	1	8
29	смысл и	1	8
30	и должно	1	7
31	именно с	1	6
32	же время	1	6
33	литературного языка	1	6
34	конечно и	1	5
35	на примере	1	5
36	бы на	1	5
37	в лингвистике	1	4
38	в каждом	1	4
39	и все	1	4
40	на месте	1	4
41	социального общения	2	4
42	можно и	1	3
43	по своим	1	3
44	общения и	2	3
45	в системе	1	3
46	если в	2	3
47	так называемая	1	3
48	культурной истории	1	3
49	нет и	1	3
50	он в	1	3
51	лучше всего	1	3
52	русского литературного	1	3
53	для него	1	3
54	истории русского	1	2
55	о формах	1	2
56	его от	1	2
57	достоевского и	2	2
58	изучение языка	1	2
59	которые определяют	1	2
60	с другими	1	2
61	русской литературы	1	2
62	первая часть	1	2
63	языка было	1	2
64	подхода к	1	2
65	и социальной	1	2
66	не из	1	2
67	ни один	1	2
68	речь и	1	2
69	может и	1	2
70	исходя из	1	1
71	зрения их	1	1
72	почти с	1	1
73	все права	1	1
74	в анализе	1	1
75	нуждаются в	1	1
76	себе все	1	1
77	социальной борьбы	1	1
78	от контекста	1	1
79	мы видим	1	1
80	и лингвистики	1	1
81	деятельности в	1	1
82	вещей и	1	1
83	художественной прозе	1	1
84	формального метода	1	1
85	в школе	1	1
86	удовлетворить не	1	1
87	этой проблемы	1	1
88	второй части	1	1
89	поэтики и	1	1
90	понятно не	1	1
91	и больше	1	1
92	науку о	1	1
93	может не	1	1
94	ничего кроме	1	1
95	примыкая к	1	1
96	и тому	1	1
97	с теми	1	1
98	чисто формальных	1	1
99	из контекста	1	1
100	грамматических категорий	1	1
101	во второй	1	1
102	общей системы	1	1
