N	4gram	Losev_Vesc	Marksizm
1	в то же время	4	15
2	бы то ни было	12	12
3	одного и того же	1	9
4	но в то же	1	9
5	на самом же деле	1	5
6	каких бы то ни	1	4
7	не может быть и	1	4
8	может быть и речи	1	4
9	в том что он	2	4
10	с одной стороны и	1	3
11	один и тот же	1	3
12	одно и то же	5	3
13	какой бы то ни	1	3
14	какого бы то ни	2	2
15	ни в коем случае	1	2
16	в ту или иную	1	2
17	с этой точки зрения	3	1
18	она так или иначе	1	1
19	не может обойтись без	1	1
20	ни в каком случае	4	1
21	не что иное как	12	1
22	взятая сама по себе	1	1
23	нужно прибавить еще и	1	1
24	до самого последнего времени	1	1
25	на этой точке зрения	1	1
26	с точки зрения этого	1	1
27	сказать что почти все	1	1
28	но что же такое	1	1
29	иначе и быть не	1	1
30	и здесь мы не	1	1
31	до сих пор мы	1	1
32	мы видим таким образом	1	1
33	дело в том что	4	1
34	указывает на то что	3	1
35	если мы скажем что	1	1
36	в нем нет ничего	1	1
37	потому в нем нет	1	1
38	что они состоят из	1	1
39	видим таким образом что	1	1
40	не есть вещь и	1	1
41	них мы не можем	1	1
42	это значит что в	1	1
43	в самом деле в	1	1
44	и более или менее	1	1
45	выражение в свою очередь	1	1
46	какое бы то ни	1	1
47	и та и другая	1	1
48	свидетельствует о том что	3	1
49	в коем случае не	1	1
50	не сможет понять и	1	1
51	в том что это	1	1
52	и не было бы	1	1
