N	3gram	Propp_Russ	Otkroven
1	для того чтобы	6	3
2	с тем что	1	2
3	не может быть	1	2
4	но и в	1	2
5	он был еще	1	2
6	и в этом	2	2
7	он должен был	1	1
8	хотя и не	1	1
9	о том что	6	1
10	в том что	27	1
11	друг с другом	1	1
12	а иногда и	4	1
13	как и в	1	1
14	в совершенно ином	1	1
15	может быть назван	1	1
16	как например в	1	1
17	то что в	1	1
18	как будто бы	1	1
19	во всяком случае	1	1
20	и остаются на	1	1
21	бросается в глаза	3	1
22	в другом месте	1	1
23	как это часто	1	1
24	на этот случай	1	1
25	который в них	1	1
26	в этом отношении	1	1
27	и все это	1	1
28	потому что в	1	1
29	на то что	2	1
30	природы и ее	1	1
31	чем в других	1	1
32	том что в	7	1
33	и в том	2	1
34	после того как	3	1
35	в россии в	1	1
36	друг к другу	2	1
