N	2gram	Losev_Prob	UchenyiS
1	и в	48	14
2	не только	28	10
3	а не	7	10
4	и не	29	8
5	прежде всего	15	8
6	то что	26	7
7	вот почему	1	7
8	в этом	31	7
9	не может	6	7
10	может быть	11	6
11	в искусстве	2	6
12	хотя бы	11	5
13	то же	6	5
14	художественного творчества	10	5
15	в художественном	2	5
16	и только	4	5
17	все это	8	5
18	с другой	8	4
19	в этой	14	4
20	в россии	2	4
21	конечно не	2	4
22	что такое	1	4
23	но и	21	4
24	в их	4	4
25	бы то	4	3
26	было бы	12	3
27	не о	2	3
28	и то	6	3
29	только к	1	3
30	этой области	1	3
31	для этого	2	3
32	произведения искусства	1	3
33	это не	8	3
34	как и	10	3
35	то ни	4	3
36	для него	2	3
37	формы в	1	3
38	в своей	29	3
39	все же	12	3
40	ни было	2	3
41	в области	3	3
42	в частности	5	3
43	в то	6	3
44	не как	3	3
45	у нас	17	3
46	другой стороны	8	3
47	но в	17	3
48	же время	1	3
49	литературы и	1	2
50	таким образом	20	2
51	в самом	7	2
52	если не	6	2
53	же не	4	2
54	могли бы	2	2
55	если бы	2	2
56	самом деле	3	2
57	могут быть	2	2
58	является в	1	2
59	не в	16	2
60	это было	2	2
61	бы и	1	2
62	для всех	2	2
63	и с	10	2
64	до сих	3	2
65	их и	1	2
66	же самое	2	2
67	думается что	1	2
68	одним из	1	2
69	крайней мере	8	2
70	но не	12	2
71	по существу	2	2
72	форму и	2	2
73	мы и	2	2
74	тем что	2	2
75	в себе	7	2
76	в его	19	2
77	роль не	1	2
78	в конце	10	2
79	даже и	11	2
80	мы не	7	2
81	сколько угодно	1	2
82	именно как	1	2
83	ничего не	3	2
84	всех этих	3	2
85	между тем	2	2
86	что она	2	2
87	не есть	3	2
88	художественного произведения	1	2
89	что он	12	2
90	на каждом	1	2
91	конце концов	7	2
92	на эту	2	2
93	этом отношении	4	2
94	о чем	2	2
95	как раз	7	2
96	а его	5	2
97	тех или	2	2
98	не могут	3	2
99	а как	2	2
100	что мы	4	2
101	сводится к	1	2
102	в буквальном	2	2
103	в том	25	2
104	представляется нам	1	2
105	это уже	4	2
106	том что	29	2
107	надо было	1	2
108	или иных	2	2
109	художественных произведений	1	2
110	нас в	5	2
111	но это	7	2
112	этом смысле	4	2
113	но даже	6	2
114	а о	1	2
115	и для	11	2
116	и является	6	2
117	что и	8	2
118	не столько	1	2
119	не случайно	1	2
120	с его	3	2
121	и у	8	2
122	превращается в	1	2
123	на первый	1	2
124	сих пор	3	2
125	по крайней	8	2
126	только в	21	2
127	по себе	5	2
128	что все	1	2
129	не все	3	2
130	вопроса о	1	2
131	нам представляется	1	2
132	настолько насколько	1	1
133	этот путь	1	1
134	первый взгляд	1	1
135	в той	5	1
136	и исторически	2	1
137	было и	1	1
138	в г	1	1
139	что было	1	1
140	все в	3	1
141	что в	12	1
142	героя не	1	1
143	не было	4	1
144	так или	3	1
145	бы только	1	1
146	и даже	24	1
147	так всегда	1	1
148	возражать против	2	1
149	более или	1	1
150	говорит он	1	1
151	всего что	1	1
152	первую очередь	1	1
153	о необходимости	1	1
154	и потому	4	1
155	и этого	2	1
156	принцип единства	1	1
157	буквальном смысле	1	1
158	но он	5	1
159	в которой	7	1
160	такое понимание	1	1
161	имеем в	1	1
162	можно сказать	10	1
163	этого не	2	1
164	и дается	1	1
165	мы можем	5	1
166	говорил в	1	1
167	же автор	1	1
168	которой все	1	1
169	или иначе	3	1
170	в данном	6	1
171	и быть	1	1
172	у кого	2	1
173	все его	1	1
174	что под	1	1
175	художественное творчество	5	1
176	что ему	1	1
177	больше чем	2	1
178	а для	1	1
179	и техники	1	1
180	нет и	3	1
181	и революция	1	1
182	как на	1	1
183	равно как	2	1
184	у толстого	1	1
185	представляется что	1	1
186	никогда и	1	1
187	только одним	1	1
188	данного произведения	1	1
189	он в	5	1
190	и все	12	1
191	которые могли	1	1
192	что этот	6	1
193	что угодно	1	1
194	из самых	1	1
195	состоит из	1	1
196	такое художественное	1	1
197	как таковое	1	1
198	к простому	1	1
199	другое произведение	1	1
200	но нам	1	1
201	сказать что	13	1
202	достаточно ясно	1	1
203	время на	1	1
204	достоевского и	1	1
205	данном случае	5	1
206	мировоззрение в	1	1
207	самыми разнообразными	1	1
208	является наиболее	2	1
209	его как	2	1
210	тезис о	1	1
211	него не	2	1
212	но для	2	1
213	думает о	1	1
214	то есть	38	1
215	об ее	1	1
216	свое место	1	1
217	от которой	1	1
218	и др	1	1
219	своем месте	1	1
220	очень часто	1	1
221	не имеется	1	1
222	того как	5	1
223	он знает	1	1
224	точном смысле	1	1
225	почти не	1	1
226	отсюда и	1	1
227	в таком	4	1
228	тех кто	1	1
229	то и	7	1
230	и свое	2	1
231	она не	1	1
232	степени и	1	1
233	смысле и	1	1
234	но именно	2	1
235	до конца	4	1
236	творчество и	1	1
237	она в	2	1
238	художественным произведением	2	1
239	поэта не	1	1
240	в своем	16	1
241	говорить не	1	1
242	тогда когда	4	1
243	с тем	7	1
244	в значительной	3	1
245	входит в	1	1
246	для себя	6	1
247	не отсутствует	1	1
248	только как	1	1
249	образы но	1	1
250	тем в	1	1
251	что только	3	1
252	его на	3	1
253	только при	1	1
254	одной стороны	5	1
255	нам думается	1	1
256	возвращается в	1	1
257	или по	1	1
258	мы имеем	3	1
259	не без	1	1
260	у тех	1	1
261	во мне	1	1
262	начала и	2	1
263	анализа в	1	1
264	творчества то	2	1
265	искусства и	1	1
266	гораздо больше	2	1
267	что по	1	1
268	их в	1	1
269	при более	1	1
270	же в	4	1
271	более точно	1	1
272	не для	2	1
273	с новой	1	1
274	в ней	4	1
275	но по	3	1
276	или даже	4	1
277	вполне верно	1	1
278	что такой	2	1
