N	2gram	Propp_Morf	EvropaiC
1	таким образом	26	34
2	в том	10	31
3	и в	17	24
4	том что	7	20
5	все эти	5	19
6	то что	10	18
7	не может	19	18
8	может быть	61	17
9	до сих	1	15
10	все же	9	15
11	сих пор	1	15
12	точки зрения	7	14
13	в этом	18	13
14	все это	2	13
15	самом деле	4	12
16	с этим	14	12
17	между тем	5	12
18	по отношению	7	11
19	но и	9	11
20	отношению к	7	11
21	все что	1	10
22	не только	8	10
23	так и	10	10
24	как и	4	10
25	во всех	6	10
26	как бы	6	10
27	что в	10	9
28	при этом	1	9
29	в результате	8	9
30	не в	3	9
31	и все	1	9
32	и не	16	9
33	с другом	1	9
34	потому что	7	9
35	и что	3	9
36	на то	3	9
37	друг с	1	9
38	с точки	6	8
39	более или	2	8
40	ясно что	5	8
41	или менее	2	8
42	к тому	5	8
43	мы говорили	1	8
44	для того	3	8
45	если бы	3	8
46	того чтобы	4	8
47	так же	4	8
48	а и	3	8
49	из этих	2	8
50	так как	20	7
51	что при	3	7
52	того что	3	7
53	что и	10	7
54	на самом	4	7
55	что он	5	7
56	не менее	7	7
57	о которых	1	7
58	о котором	1	7
59	из этого	1	7
60	о том	6	7
61	в этой	3	7
62	в силу	1	7
63	по существу	13	7
64	мы можем	5	6
65	и на	1	6
66	несмотря на	4	6
67	что с	1	6
68	только в	3	6
69	в мире	1	6
70	еще не	4	6
71	все они	1	6
72	должна быть	2	6
73	так что	1	6
74	и при	3	6
75	тогда как	2	6
76	что касается	1	6
77	как на	1	6
78	с другой	9	6
79	в то	4	6
80	лишь при	1	6
81	и для	4	6
82	и к	4	5
83	как к	1	5
84	а потому	2	5
85	ничем не	2	5
86	между собою	2	5
87	должно быть	1	5
88	в состоянии	1	5
89	в его	1	5
90	что это	3	5
91	многие из	1	5
92	пор не	1	5
93	другой стороны	5	5
94	у него	2	5
95	его в	4	5
96	в которой	3	5
97	но все	4	5
98	и с	1	5
99	именно в	1	5
100	основано на	1	5
101	по своему	2	5
102	на все	1	5
103	случае если	2	5
104	быть и	2	5
105	не будет	1	5
106	между двумя	1	5
107	и их	3	5
108	оказывается что	1	5
109	далеко не	5	5
110	в себе	1	5
111	что все	1	5
112	как будто	2	5
113	к этому	4	5
114	в целом	5	5
115	из них	4	5
116	но в	4	5
117	не так	2	4
118	и то	1	4
119	то они	2	4
120	та же	3	4
