N	2gram	Nazirov_Tv	Sotsiolo
1	все это	14	7
2	в том	13	5
3	в этом	11	5
4	не только	16	3
5	не в	3	3
6	и в	40	3
7	и только	2	3
8	но ведь	2	3
9	в его	19	3
10	о литературе	1	3
11	литературы и	1	2
12	что в	17	2
13	ведь это	1	2
14	то что	9	2
15	таким образом	14	2
16	том что	14	2
17	или даже	2	2
18	дело не	3	2
19	как бы	26	2
20	в результате	1	2
21	было бы	2	2
22	как будто	5	2
23	в смысле	1	2
24	в частности	4	2
25	и мы	1	2
26	по природе	6	2
27	но и	10	2
28	конце концов	1	2
29	может быть	11	2
30	идей и	2	2
31	главным образом	1	2
32	и что	2	2
33	это и	4	2
34	им не	1	2
35	по отношению	3	2
36	в конце	5	2
37	как только	1	2
38	отношению к	3	2
39	далеко не	3	2
40	тем более	1	2
41	только в	7	2
42	к которому	3	2
43	только как	2	2
44	то же	19	2
45	еще не	5	2
46	и стиля	1	1
47	а в	10	1
48	что он	11	1
49	образом в	1	1
50	в конечном	4	1
51	столь же	2	1
52	даже в	4	1
53	входящие в	1	1
54	в таких	2	1
55	в целом	7	1
56	вряд ли	2	1
57	и самые	1	1
58	на этот	3	1
59	это значит	1	1
60	более не	4	1
61	жизни он	2	1
62	все эти	3	1
63	не было	3	1
64	остается в	1	1
65	а вот	1	1
66	у которых	1	1
67	связи с	2	1
68	необходимости их	1	1
69	только то	1	1
70	не мешает	1	1
71	в своей	8	1
72	во всяком	2	1
73	в мире	8	1
74	и потому	4	1
75	дает нам	1	1
76	все же	9	1
77	что это	1	1
78	героя который	1	1
79	на ней	2	1
80	по крайней	4	1
81	происходящее в	1	1
82	с другой	4	1
83	ни на	3	1
84	мы понимаем	2	1
85	мы должны	1	1
86	а тем	1	1
87	это как	4	1
88	с ним	4	1
89	между тем	2	1
90	собой не	1	1
91	именно и	1	1
92	и более	2	1
93	в этой	7	1
94	время в	3	1
95	из себя	2	1
96	и его	14	1
97	опираясь на	3	1
98	ли не	3	1
99	никак не	1	1
100	в данном	2	1
101	на все	1	1
102	только для	2	1
103	в области	1	1
104	и по	5	1
105	их на	1	1
106	с помощью	1	1
107	же самое	1	1
108	один из	5	1
109	так и	5	1
110	в то	23	1
111	темы и	1	1
112	может не	2	1
113	в котором	8	1
114	между собой	2	1
115	него и	1	1
116	мы переходим	1	1
117	же это	1	1
118	отнюдь не	9	1
119	и не	12	1
120	со своими	2	1
121	но она	2	1
122	всяком случае	2	1
123	эти два	1	1
124	он ни	3	1
125	свои права	1	1
126	по самому	2	1
127	хотелось бы	1	1
128	том как	1	1
129	настоящее время	2	1
130	или нет	1	1
131	и о	2	1
132	это вовсе	1	1
133	но не	7	1
134	может служить	2	1
135	не способен	1	1
136	в него	2	1
137	она должна	1	1
138	этой области	1	1
139	для этого	1	1
140	прежде всего	10	1
141	наукой в	1	1
142	тем что	2	1
143	что она	5	1
144	литературе о	1	1
145	но сам	1	1
146	в каждом	4	1
147	он по	1	1
148	связь между	1	1
149	на тех	1	1
150	в чем	4	1
151	не из	1	1
152	что автор	1	1
153	а с	4	1
154	происходит не	1	1
155	а между	1	1
156	же не	2	1
157	но только	3	1
158	и будет	2	1
159	не дает	1	1
160	в сущности	1	1
161	в область	4	1
162	психологии и	1	1
163	конечном счете	4	1
164	он говорит	3	1
165	его в	2	1
166	не от	1	1
167	в наше	4	1
168	зависит от	4	1
169	представляется нам	1	1
170	писателя не	1	1
171	крайней мере	4	1
172	в процессе	3	1
173	строить догадки	1	1
174	я и	3	1
175	вовсе не	5	1
176	его построения	1	1
177	против этого	2	1
178	с одной	2	1
179	и наконец	3	1
180	о том	9	1
181	мы не	3	1
182	тому что	2	1
183	наше время	4	1
184	в этих	2	1
185	у него	11	1
186	по себе	2	1
187	на первый	1	1
188	без этого	1	1
189	перед нами	3	1
190	бы он	1	1
191	в любой	1	1
192	вот в	2	1
193	себя по	1	1
194	не отдельные	1	1
195	хотя бы	5	1
196	же время	18	1
197	наконец в	1	1
198	что на	3	1
199	это не	9	1
200	чуть ли	1	1
201	в серьезных	1	1
202	одной стороны	1	1
203	в связи	2	1
204	и должно	2	1
205	в виде	4	1
206	в настоящее	1	1
207	именно в	6	1
208	никогда не	13	1
209	и есть	2	1
210	не может	9	1
211	между ними	1	1
212	и как	5	1
213	что все	4	1
214	место в	6	1
215	не без	1	1
216	как и	16	1
217	ничего не	3	1
218	в них	1	1
