N	2gram	Medvedev_U	ViktorSh
1	в шкловского	2	5
2	конце концов	2	2
3	а.н веселовского	1	2
4	в шкловский	2	2
5	в конце	2	2
6	и в	14	2
7	в том	2	2
8	том что	2	2
9	формализма в	1	1
10	говоря иначе	2	1
11	но это	2	1
12	новых приемов	1	1
13	по существу	2	1
14	в самом	2	1
15	обработки словесных	1	1
16	и т.д	3	1
17	один пример	1	1
18	вся работа	2	1
19	павел медведев	1	1
20	самом деле	2	1
21	более чем	2	1
22	материалов и	1	1
23	в частности	3	1
24	чем к	1	1
25	и то	3	1
26	крайней мере	2	1
27	к созданию	1	1
28	накоплению и	1	1
29	созданию их	1	1
30	сводится к	2	1
31	даже не	1	1
32	связаны и	1	1
33	шкловского в	1	1
34	работа поэтических	1	1
35	хотя бы	5	1
36	к расположению	1	1
37	далеко не	1	1
38	тем более	1	1
39	по крайней	2	1
40	впрочем не	1	1
41	в которых	1	1
42	к этому	1	1
43	только в	2	1
44	образов чем	1	1
45	приемов расположения	1	1
46	в значительной	1	1
47	ничуть не	1	1
48	в их	4	1
49	и только	5	1
50	то же	5	1
51	и выявлению	1	1
52	поэтических школ	1	1
53	словесных материалов	1	1
54	и обработки	1	1
55	и не	8	1
56	частности гораздо	1	1
57	в этом	7	1
58	расположению образов	1	1
59	все это	5	1
60	выявлению новых	1	1
61	расположения и	1	1
62	к накоплению	1	1
