N	2gram	Voloshinov	Retstnzi
1	не может	16	4
2	и в	12	3
3	социального общения	4	2
4	общения и	2	2
5	произведения но	1	1
6	может и	1	1
7	нуждаются в	1	1
8	в особенности	2	1
9	несмотря на	1	1
10	может быть	14	1
11	не только	4	1
12	точки зрения	14	1
13	с точки	2	1
14	судебного процесса	2	1
15	для него	3	1
16	ситуации и	1	1
17	подхода к	1	1
18	в ней	6	1
19	права и	1	1
20	связи с	1	1
21	не из	1	1
22	этого общения	2	1
23	оторвано от	1	1
24	с другими	2	1
25	если бы	9	1
26	смысл и	2	1
27	художественного произведения	7	1
28	на примере	2	1
29	в его	2	1
30	социологического анализа	2	1
31	и тому	1	1
32	не менее	3	1
33	и форму	1	1
34	речь и	1	1
35	но и	3	1
36	к тому	1	1
37	и можно	1	1
38	в то	2	1
39	и больше	1	1
40	же время	1	1
41	то же	5	1
42	а не	5	1
43	которые определяют	1	1
44	и не	10	1
45	так называемая	1	1
46	о литературе	1	1
47	и все	2	1
48	и на	4	1
49	вполне понятно	1	1
50	это направление	1	1
