N	3gram	Vygotskiy_	Sotsiolo
1	по отношению к	9	2
2	в том что	24	2
3	и заключается что	1	2
4	в конце концов	1	2
5	это и есть	1	1
6	в то же	2	1
7	друг от друга	3	1
8	как бы он	1	1
9	прежде всего не	1	1
10	в конечном счете	2	1
11	между собой не	1	1
12	с одной стороны	7	1
13	то же самое	11	1
14	том и заключается	1	1
15	на первый план	1	1
16	то что в	1	1
17	главным образом в	1	1
18	о том как	1	1
19	в этой области	2	1
20	то же время	1	1
21	как то что	1	1
22	бы он ни	1	1
23	в его работах	1	1
24	сама по себе	1	1
25	благодаря тому что	2	1
26	но только в	1	1
27	во всяком случае	1	1
28	должно было бы	1	1
29	том что это	1	1
30	и в этом	2	1
31	и никак не	1	1
32	в том и	3	1
33	не может не	1	1
34	в настоящее время	1	1
35	в лучшем случае	3	1
36	что все это	1	1
37	по самому существу	1	1
38	он различает два	1	1
