N	4gram	Vygotskiy_	SlovoVZh
1	и по отношению к	1	3
2	с одной стороны и	4	2
3	одно и то же	3	2
4	мы имеем дело с	1	1
5	так как в ней	1	1
6	на самом же деле	1	1
7	в зависимости от того	1	1
8	одним и тем же	2	1
9	в том что в	2	1
10	так же как и	2	1
11	в то время как	7	1
12	если мы обратимся к	1	1
13	внутренней и внешней речи	1	1
14	можно было бы показать	1	1
15	было бы показать что	1	1
16	в нашем же случае	1	1
17	и не может быть	2	1
18	до сих пор мы	1	1
19	с другой стороны как	1	1
20	в то же время	1	1
21	внутренней речи с помощью	1	1
22	себе по аналогии с	1	1
23	одной стороны и с	1	1
24	находит свое выражение в	2	1
