N	2gram	Bakhtin_Pr	Tvorches
1	и в	38	56
2	как бы	22	41
3	в его	43	37
4	в романе	4	34
5	в то	4	30
6	то же	5	25
7	не только	9	24
8	же время	3	24
9	но в	4	24
10	как и	7	23
11	то есть	46	23
12	и не	42	23
13	а в	6	23
14	и его	16	23
15	в этом	15	22
16	и т	14	22
17	что в	7	21
18	в том	8	21
19	из подполья	1	21
20	он не	3	19
21	том что	3	19
22	может быть	26	19
23	то что	8	18
24	таким образом	10	17
25	и на	3	17
26	что он	2	17
27	т д	1	17
28	все это	3	17
29	при этом	5	16
30	но и	9	16
31	никогда не	5	16
32	как в	4	16
33	в творчестве	1	16
34	прежде всего	13	16
35	не может	27	16
36	и с	17	15
37	в мире	3	15
38	но это	3	15
39	в этой	1	15
40	с его	2	15
41	и даже	3	14
42	это не	5	14
43	о том	4	13
44	преступление и	1	13
45	творчестве достоевского	1	13
46	а не	5	13
47	в котором	2	12
48	тем самым	4	12
49	в целом	3	12
50	в своей	7	11
51	все же	6	11
52	отнюдь не	19	11
53	для него	1	11
54	в самом	7	10
55	не в	7	10
56	только в	13	10
57	так и	5	10
58	но не	12	10
59	в душе	1	9
60	в своих	2	9
61	и от	3	9
62	жизни в	1	9
63	в свою	2	9
64	человека в	2	9
65	в нем	15	9
66	именно в	1	8
67	не менее	4	8
68	так же	1	8
69	к этому	2	8
70	ивана карамазова	2	8
71	хотя и	3	8
72	это уже	1	8
73	вместе с	1	8
74	одной из	3	8
75	еще не	7	8
76	в себе	4	8
77	в их	10	8
78	вовсе не	2	8
79	человека и	1	8
80	в этих	2	7
81	например в	3	7
82	уже не	1	7
83	в дальнейшем	3	7
84	и он	2	7
85	в которой	1	7
86	в чем	2	7
87	самом деле	6	7
88	в момент	1	6
89	еще более	1	6
90	в принципе	1	6
91	и как	8	6
92	конечном счете	4	6
93	если он	1	6
94	на эту	1	6
95	хотя бы	4	6
96	одна из	2	6
97	его в	9	6
98	в конечном	4	6
99	и ее	2	6
100	с ним	5	6
101	если бы	3	6
102	и все	3	6
103	приводит к	3	6
104	все эти	5	6
105	место в	8	6
106	и другие	2	5
107	из всех	1	5
108	мысли и	1	5
109	в них	5	5
110	с другой	7	5
111	приходит к	1	5
112	по отношению	21	5
113	отметить что	7	5
114	в своем	5	5
115	во всей	1	5
116	все время	1	5
117	из них	1	5
118	что у	1	5
119	на него	3	5
120	в ее	4	5
121	что и	2	5
122	не было	2	5
123	что не	4	5
124	в таком	3	5
125	я не	2	5
126	и это	3	5
127	и у	2	5
128	что это	2	5
129	т п	13	5
130	между тем	7	5
131	однако это	1	5
132	в россии	2	5
133	не имеют	2	5
134	в истории	2	5
135	до конца	1	5
136	том же	2	5
137	но если	1	5
138	ничего не	6	5
139	бы не	2	5
140	в виде	2	5
141	но с	3	5
142	но эта	1	5
143	всего романа	1	5
144	и других	2	5
145	это как	1	5
146	как он	1	5
147	отношению к	19	5
148	в известной	3	5
149	тем что	2	4
150	но эти	1	4
151	только на	1	4
152	говорить о	3	4
153	не вполне	2	4
154	что все	2	4
155	точки зрения	8	4
156	к нему	10	4
157	и мы	1	4
158	и потому	4	4
159	с точки	6	4
160	не знает	3	4
161	который в	1	4
162	сих пор	1	4
163	в каждом	2	4
164	как это	2	4
165	и я	1	4
166	этот вопрос	1	4
167	себя в	2	4
168	однако в	1	4
169	могут быть	5	4
170	и есть	2	4
171	до сих	1	4
172	в область	3	4
173	с ними	4	4
174	в в	1	4
175	в которых	1	4
176	это и	1	4
177	его и	1	4
178	в основе	5	4
179	и более	2	4
180	в отличие	5	4
181	того что	2	4
