N	3gram	Vygotskiy_	RusskieA
1	в том что	20	49
2	состоит в том	2	29
3	и т д	6	21
4	в этом случае	1	12
5	вместе с тем	3	11
6	о том что	8	10
7	том что в	1	9
8	в том чтобы	2	9
9	для того чтобы	17	8
10	в данном случае	5	8
11	подобно тому как	1	8
12	как мы увидим	2	7
13	мы не можем	2	7
14	не может быть	3	6
15	по этому поводу	1	6
16	в это время	1	6
17	как мы видели	2	6
18	так же как	2	6
19	к тому что	5	5
20	мы видели что	2	5
21	что в этот	1	5
22	не что иное	1	4
23	том что это	1	4
24	как мы уже	1	4
25	бросается в глаза	2	4
26	в отличие от	1	4
27	что в этом	2	4
28	что иное как	1	4
29	в то время	4	4
30	можно было бы	6	4
31	во всяком случае	6	4
32	это имеет место	2	3
33	тех пор пока	2	3
34	более или менее	1	3
35	до сих пор	6	3
36	с тем и	1	3
37	же как и	1	3
38	до некоторой степени	1	3
39	и в том	1	3
40	мы не имеем	1	3
41	в свою очередь	3	3
42	на то что	16	3
43	с точки зрения	11	3
44	к выводу что	1	3
45	здесь мы имеем	1	3
46	до тех пор	2	3
47	мы уже видели	1	3
48	как это имеет	1	3
49	и что в	2	3
50	с тем что	3	3
51	может быть и	1	3
52	до того как	1	2
53	мы уже знаем	2	2
54	они представляют собой	1	2
55	о том как	3	2
56	и т п	7	2
57	мы увидим ниже	2	2
58	дело не в	1	2
59	ни одно из	2	2
60	совершенно очевидно что	3	2
61	друг с другом	2	2
62	ничего общего с	2	2
63	как это имело	1	2
64	потому что он	3	2
65	так как они	1	2
66	можно показать что	1	2
67	но все же	1	2
68	не только у	1	2
69	с другой стороны	5	2
70	но так как	1	2
71	в тех случаях	1	2
72	в евгении онегине	2	2
73	мы увидим что	9	2
74	как и в	1	2
75	можно сказать что	1	2
76	в этом и	1	2
77	одно из этих	2	2
78	во всем этом	1	2
79	на самом деле	3	2
80	ни одна из	1	2
81	себе дело так	1	2
82	и в этом	6	2
83	в таком виде	2	2
84	по его мнению	1	2
85	привело к тому	1	2
86	одна из них	2	2
87	с одной стороны	6	2
88	в этом отношении	1	2
89	не только как	1	2
90	по происхождению своему	1	2
91	можно найти в	1	1
92	о ее связи	1	1
