N	2gram	Bakhtin_Fr	Analitik
1	не только	11	71
2	тогда как	1	67
3	и в	73	66
4	в качестве	11	61
5	но и	15	57
6	в том	13	52
7	может быть	5	52
8	в этом	21	51
9	в частности	2	51
10	как и	19	50
11	и не	13	48
12	а не	2	42
13	при этом	5	40
14	том что	8	40
15	то есть	36	35
16	так и	13	35
17	в мире	3	31
18	своего рода	3	30
19	как бы	15	29
20	не может	4	29
21	а в	10	28
22	в его	18	27
23	и его	18	27
24	не в	12	26
25	но не	1	26
26	в себе	16	24
27	что в	14	22
28	и даже	4	22
29	к тому	2	22
30	в этой	18	22
31	лишь в	2	21
32	о том	13	20
33	и т.п	21	20
34	в самом	9	19
35	то же	16	19
36	в своей	4	19
37	по отношению	3	19
38	с его	5	19
39	но в	12	19
40	в данном	3	18
41	в то	14	18
42	отношению к	3	18
43	тем самым	3	17
44	с другой	3	17
45	только в	7	17
46	такого рода	1	17
47	или иной	1	17
48	в целом	1	17
49	что и	6	16
50	то что	12	16
51	в пределах	1	16
52	и на	12	15
53	не есть	2	15
54	между тем	2	15
55	уже не	2	15
56	прежде всего	18	15
57	в сущности	8	15
58	в их	5	15
59	того же	7	14
60	себя в	3	14
61	в себя	3	14
62	той или	1	14
63	мы имеем	2	14
64	же время	12	14
65	данном случае	1	14
66	отличие от	1	14
67	далеко не	2	14
68	по себе	2	13
69	точки зрения	6	13
70	тому же	1	13
71	он не	4	13
72	этого слова	1	13
73	ничего не	4	13
74	как раз	3	13
75	для него	7	13
76	а также	8	13
77	в начале	4	13
78	на уровне	1	13
79	и к	6	12
80	и сам	2	12
81	никогда не	6	12
82	как это	2	12
83	в первой	4	12
84	как в	9	12
85	еще не	3	12
86	в эпизоде	10	12
87	есть не	2	12
88	в той	8	11
89	даже в	4	11
90	по своей	1	11
91	в свою	3	11
92	той же	9	11
93	это не	7	11
94	и как	5	11
95	во второй	3	11
96	не с	1	11
97	именно в	4	10
98	все же	2	10
99	едва ли	1	10
100	с одной	3	10
101	в конце	9	10
102	было бы	5	10
103	и одновременно	1	10
104	отношения к	1	10
105	совпадает с	1	10
106	здесь не	2	10
107	со своей	1	10
108	особенно в	2	10
109	и самого	2	10
110	один из	5	10
111	говорит о	2	9
112	в результате	7	9
113	другой стороны	2	9
114	на фоне	1	9
115	художественного восприятия	1	9
116	и того	1	9
117	одной стороны	3	9
118	свою очередь	3	9
119	том чтобы	1	9
120	в своем	13	9
121	по поводу	1	9
122	таким образом	34	9
123	во всех	13	9
124	за пределы	1	9
125	вместе с	9	9
126	автора и	1	9
127	того что	5	9
128	что касается	1	9
129	дело с	1	8
130	о чем	2	8
