N	2gram	Kanaev_Sov	slovoVRo
1	и в	7	92
2	может быть	12	59
3	и его	1	59
4	в нем	3	59
5	и не	6	51
6	не только	4	44
7	не может	17	41
8	в этом	7	36
9	а не	3	34
10	во всех	1	32
11	точки зрения	12	30
12	могут быть	2	29
13	в его	2	27
14	все это	3	25
15	как бы	4	24
16	то же	3	23
17	не в	3	21
18	вовсе не	1	21
19	в процессе	1	20
20	в то	1	20
21	прежде всего	5	19
22	как мы	2	19
23	с ним	1	18
24	как и	6	18
25	же время	1	18
26	или иной	2	18
27	таким образом	11	17
28	и даже	2	17
29	все же	3	17
30	все эти	5	17
31	в большинстве	1	17
32	при этом	3	16
33	отличие от	2	16
34	но в	3	16
35	человек и	1	15
36	с точки	5	15
37	той или	1	15
38	там где	1	15
39	только в	1	14
40	в отличие	2	14
41	так сказать	2	14
42	это не	4	13
43	с другой	1	13
44	с его	1	13
45	точка зрения	1	13
46	рядом с	1	13
47	и следовательно	1	13
48	и для	1	13
49	и к	3	12
50	еще не	3	12
51	во всяком	2	12
52	никогда не	1	12
53	и потому	3	12
54	или в	1	12
55	а в	4	12
56	и наконец	5	12
57	один из	1	11
58	с одной	2	11
59	на его	2	11
60	одной стороны	1	11
61	и их	1	10
62	и все	3	10
63	уже не	2	10
64	все они	1	10
65	в своем	1	10
66	может не	3	10
67	в том	4	10
68	она не	1	10
69	в себе	3	10
70	конечно не	1	9
71	сказать что	1	9
72	этом случае	1	9
73	так как	4	9
74	здесь в	1	9
75	его в	1	9
76	одна из	3	9
77	он не	1	9
78	быть и	2	9
79	и от	1	9
80	но не	1	9
81	с ее	1	9
82	к нему	1	9
83	в самом	2	8
84	для нас	3	8
85	не могут	2	8
86	может стать	1	8
87	зависимости от	4	8
88	все время	1	8
89	с этим	2	8
90	в зависимости	4	8
91	человека в	1	8
92	всяком случае	2	8
93	человека и	1	8
94	в ней	1	8
95	еще более	2	7
96	кроме того	1	7
97	но все	2	7
98	том что	1	7
99	того же	1	7
100	по преимуществу	1	7
101	у него	2	7
102	не было	1	7
103	связи с	1	7
104	в таком	2	7
105	мы уже	1	7
106	жизни и	4	7
107	в целом	4	7
108	что в	2	6
109	в одном	3	6
110	ни в	1	6
111	по себе	1	6
112	именно в	1	6
113	роль в	2	6
114	по своим	1	6
115	в свою	2	6
116	говорить о	2	6
117	xix века	1	6
118	на этом	2	6
119	например у	1	6
120	стороны и	1	6
121	в новое	1	6
122	он в	3	6
123	точку зрения	4	6
124	которые в	1	6
125	ничего не	6	6
126	и при	1	5
127	и чисто	1	5
128	а затем	1	5
129	в результате	6	5
130	они не	1	5
131	по отношению	1	5
132	вместе с	4	5
133	своего предмета	2	5
134	не менее	2	5
135	о том	1	5
136	его и	1	5
137	не является	1	5
138	в данном	1	5
139	и более	1	5
140	мы не	9	5
141	с помощью	4	5
142	только на	1	5
143	той же	2	5
144	отношению к	1	5
145	в дальнейшем	4	5
146	уже в	3	5
147	хотя и	1	5
148	как его	1	5
149	должен быть	1	5
150	в каждом	8	5
151	не знает	1	5
152	и может	1	5
153	оно может	1	5
154	и по	2	5
155	до сих	1	4
156	по существу	1	4
157	или иные	1	4
158	в некоторых	2	4
159	те же	1	4
160	со всеми	2	4
161	если бы	1	4
162	от его	1	4
163	ли он	1	4
164	так же	1	4
165	которая не	1	4
166	зрения и	1	4
167	друг с	2	4
168	все свои	1	4
169	в другом	1	4
170	те или	1	4
171	свою очередь	2	4
172	и во	2	4
173	новое время	1	4
174	он может	3	4
175	и речи	1	4
