N	2gram	Potebnia_M	Dialekti
1	не есть	13	181
2	и не	34	120
3	и т	10	82
4	по себе	24	79
5	а не	38	78
6	и в	58	77
7	т д	6	75
8	точки зрения	8	72
9	может быть	47	71
10	не только	32	66
11	значит что	1	61
12	то что	24	59
13	и есть	4	55
14	это значит	1	54
15	ничего не	2	54
16	не может	30	53
17	и даже	4	47
18	с точки	4	46
19	что это	5	46
20	есть нечто	7	46
21	так как	29	46
22	потому что	89	45
23	стало быть	6	44
24	как бы	12	43
25	и что	13	42
26	ни в	2	42
27	не имеет	9	41
28	вовсе не	13	41
29	в том	38	40
30	в этом	18	39
31	то же	13	39
32	что такое	3	39
33	что она	3	38
34	в себе	22	38
35	что он	5	37
36	том что	21	37
37	прежде всего	8	37
38	так что	23	36
39	это не	10	36
40	она есть	3	35
41	что в	34	34
42	в нем	26	34
43	и все	6	33
44	того что	15	33
45	но и	26	32
46	все это	3	31
47	сказать что	5	30
48	и как	11	30
49	было бы	21	29
50	так и	17	29
51	как и	16	28
52	никогда не	7	27
53	в виду	2	26
54	крайней мере	6	26
55	не в	23	26
56	по крайней	6	26
57	сама по	4	26
58	и то	4	25
59	есть только	16	25
60	есть не	7	25
61	но это	7	24
62	если бы	23	24
63	есть всегда	2	24
64	таким образом	21	23
65	в то	6	23
66	что оно	5	23
67	но что	2	22
68	что не	15	21
69	в чем	6	21
70	должна быть	4	21
71	допустим что	2	21
72	она не	3	21
73	и с	3	20
74	о том	6	20
75	что и	16	20
76	что все	4	20
77	в таком	7	20
78	только в	36	20
79	в каком	7	20
80	совершенно не	1	20
81	только тогда	7	20
82	уже не	4	20
83	и вообще	5	20
84	в самом	5	19
85	не менее	10	19
86	не существует	2	19
87	в своем	3	19
88	как же	1	19
89	и притом	6	19
90	и это	3	19
91	как это	1	19
92	тогда когда	15	19
93	что мы	11	19
94	и его	7	19
95	же время	4	18
96	хотя бы	4	18
97	не что	2	18
98	с другой	13	18
99	что иное	2	18
100	ни на	1	18
101	что же	3	18
102	мифа и	1	18
103	жизни и	3	18
104	иное как	2	18
105	в особенности	1	17
106	можно сказать	1	17
107	в сущности	2	17
108	должно быть	9	17
109	он есть	3	17
110	но если	4	17
111	то это	8	16
112	одно и	1	16
113	к нему	2	16
114	только не	2	16
115	тем не	11	16
116	или не	3	16
117	сам по	5	16
118	само по	6	16
119	в своей	3	16
120	да и	1	16
121	нет ничего	2	16
122	конечно не	1	16
123	мы не	17	16
124	об этом	1	16
125	же и	1	15
126	только что	4	15
127	ровно ничего	1	15
128	все же	11	15
129	так же	7	15
130	то в	6	15
131	и мы	1	15
132	несмотря на	5	15
133	мы уже	1	15
134	но только	2	15
135	самом деле	2	15
136	хотя и	6	15
137	сознания и	2	15
138	в виде	1	15
139	и о	3	15
140	на то	5	15
141	или нет	3	14
142	а именно	1	14
143	даже и	4	14
144	с ним	7	14
145	не было	7	14
146	д и	2	14
147	и ее	1	14
148	ни с	2	14
149	таком случае	4	14
150	и потому	7	14
151	и только	6	14
152	другой стороны	7	13
153	отличается от	1	13
154	что именно	2	13
155	не то	3	13
156	что они	6	13
157	время как	2	13
158	и следовательно	4	13
159	в смысле	4	13
160	он не	4	13
161	и та	1	13
162	с ее	2	13
163	но в	12	13
164	мы находим	3	13
165	в ней	9	13
