N	2gram	Medvedev_S	EvropaiE
1	и в	3	37
2	что в	2	21
3	не только	3	18
4	в то	1	16
5	то же	2	15
6	хотя бы	1	15
7	и не	1	14
8	но и	2	14
9	же время	1	14
10	в этом	5	12
11	в том	5	11
12	в области	1	11
13	так и	1	10
14	прежде всего	1	9
15	только в	2	9
16	в смысле	2	9
17	не может	1	9
18	отнюдь не	1	9
19	с одной	1	8
20	в своей	1	8
21	одной стороны	1	8
22	между тем	1	8
23	было бы	2	8
24	как и	1	7
25	с другой	1	7
26	том что	2	6
27	вовсе не	1	6
28	может быть	2	6
29	то что	2	6
30	как бы	2	6
31	в виде	1	5
32	не в	3	5
33	но не	1	5
34	и потому	1	5
35	в частности	2	5
36	столь же	1	5
37	и по	1	5
38	мы не	1	4
39	даже в	1	4
40	для нас	3	4
41	именно в	1	4
42	в процессе	1	4
43	по себе	1	4
44	тем более	2	4
45	как совокупность	1	4
46	и мы	2	3
47	в результате	2	3
48	тем что	1	3
49	очевидно что	2	3
50	в них	1	3
51	во всяком	1	3
52	ни на	1	3
53	в данном	1	3
54	не дает	1	3
55	время в	1	3
56	место в	1	3
57	о том	1	3
58	и только	3	3
59	всяком случае	1	3
60	не из	1	3
61	никогда не	1	3
62	таким образом	2	2
63	иначе говоря	1	2
64	должна быть	2	2
65	в его	3	2
66	что это	1	2
67	это значит	1	2
68	в этих	1	2
69	как же	3	2
70	от друга	1	2
71	в свои	1	2
72	и как	1	2
73	в мире	1	2
74	между собой	1	2
75	между ними	1	2
76	друг от	1	2
77	бы о	1	2
78	что эти	1	2
79	но как	1	2
80	и более	1	2
81	в котором	1	2
82	и что	2	2
83	более чем	3	2
84	мы должны	1	2
85	на основании	1	2
86	далеко не	2	2
87	а в	1	2
88	его собственная	1	2
89	а тем	1	2
90	в этой	1	2
91	главным образом	2	2
92	но именно	1	2
93	что все	1	2
94	в силу	1	2
95	на этот	1	2
96	как будто	2	2
97	бы в	1	2
98	и наконец	1	2
99	что на	1	2
100	представить себе	1	1
101	что автор	1	1
102	любой области	1	1
103	дает нам	1	1
104	которая должна	1	1
105	один из	1	1
106	не выходит	1	1
107	выходит за	1	1
108	может не	1	1
109	же законы	1	1
110	на тех	1	1
111	его построения	1	1
112	с ним	1	1
113	понимать что	1	1
114	не способен	1	1
115	чуть ли	1	1
116	входящие в	1	1
117	не было	1	1
118	связи с	1	1
119	психологии и	1	1
120	именно и	1	1
121	будет тем	1	1
122	по природе	2	1
123	по отношению	2	1
124	же по	1	1
125	и будет	1	1
126	тому что	1	1
127	конечно не	1	1
128	в связи	1	1
129	те же	1	1
130	все эти	1	1
131	все же	1	1
132	противном случае	1	1
133	ли не	1	1
134	в любой	1	1
135	способен ни	1	1
136	мы думаем	1	1
137	это зависит	2	1
138	зависит от	1	1
139	следующий вывод	1	1
140	когда мы	1	1
141	может она	1	1
142	тех кто	1	1
143	в лучшем	1	1
144	из себя	1	1
145	только тогда	1	1
146	бы они	1	1
147	связь между	1	1
148	за пределы	2	1
149	даже не	1	1
150	и затем	1	1
151	как то	1	1
152	литературы и	2	1
153	она может	2	1
154	констатирования факта	1	1
155	к которому	2	1
156	и о	1	1
157	и его	1	1
158	их на	1	1
159	в противном	1	1
160	эти два	1	1
161	лучшем случае	1	1
162	для этого	1	1
163	пришлось бы	1	1
164	вне пределов	1	1
