N	4gram	Tiupa_Anal	Literetu
1	в то же время	7	21
2	состоит в том что	1	8
3	не говоря уже о	1	6
4	первых десятилетий хх века	1	4
5	исходит из того что	1	4
6	в полном соответствии с	1	3
7	может быть это точка	1	3
8	быть это точка безумия	1	3
9	но с другой стороны	1	3
10	субъекта объекта и адресата	2	2
11	дело в том что	3	2
12	но в отличие от	1	2
13	эстетического субъекта и эстетического	1	2
14	состоит в том чтобы	1	2
15	субъекта и эстетического адресата	1	2
16	черта ее не перейти	1	1
17	нет не тебя так	1	1
18	в принципе может быть	1	1
19	не что иное как	1	1
20	эстетическим субъектом и эстетическим	1	1
21	в этом втором случае	1	1
22	покойного ивана петровича белкина	5	1
23	мысль о том что	1	1
24	между субъектом и объектом	1	1
25	между эстетическим субъектом и	1	1
26	перейти влюбленности и страсти	1	1
27	состоит не столько в	1	1
28	в свое время от	1	1
29	погибнуть заявляя свою свободную	1	1
30	как раз в том	1	1
31	субъектом и эстетическим адресатом	1	1
32	в том что фигуры	1	1
33	состоит как раз в	1	1
34	заветная черта ее не	1	1
35	ее не перейти влюбленности	1	1
36	в войне и мире	2	1
37	не тебя так пылко	1	1
38	одного и того же	4	1
39	в пределах одной фразы	1	1
40	по два сверхсхемных ударения	1	1
41	одних и тех же	2	1
42	но дело в том	1	1
43	гегель именовал веком героев	1	1
44	в такой же мере	1	1
45	в конечном счете к	1	1
46	то же время в	2	1
47	ивана петровича белкина изданных	1	1
48	не перейти влюбленности и	1	1
49	том что лирическое я	1	1
50	в конечном счете в	1	1
51	так или иначе в	1	1
52	есть в близости людей	1	1
53	к себе самому в	1	1
54	во всех подобных случаях	1	1
55	в том что он	2	1
56	присутствия я в мире	4	1
57	той или иной мере	1	1
58	близости людей заветная черта	1	1
59	так пылко я люблю	1	1
60	заявляя свою свободную волю	1	1
61	петровича белкина изданных а.п	1	1
62	молчи скрывайся и таи	1	1
63	людей заветная черта ее	1	1
64	однако в то же	2	1
65	в одном из двух	1	1
66	в той или иной	2	1
67	тебя так пылко я	1	1
68	автора героя и читателя	1	1
69	обратим внимание лишь на	1	1
70	в чистом виде эта	1	1
71	человеческого я в мире	1	1
72	может быть определена как	1	1
73	в близости людей заветная	1	1
74	мы имеем дело с	1	1
