N	4gram	Medvedev_V	Problemy
1	в то же время	5	26
2	но в то же	1	11
3	и в то же	3	7
4	в той или иной	1	5
5	большей или меньшей степени	2	3
6	в то время как	1	3
7	одно и то же	1	3
8	в большей или меньшей	2	3
9	но с другой стороны	1	2
10	уже сама по себе	1	2
11	как если бы он	1	2
12	и по отношению к	1	2
13	и т п все	1	2
14	в зависимости от различных	1	1
15	никогда не может быть	1	1
16	именно в том что	1	1
17	по крайней мере для	1	1
18	и т д наконец	1	1
19	с одной стороны и	2	1
20	не укладывающаяся в рамки	1	1
21	но даже и не	1	1
22	и не может быть	2	1
23	а в том что	1	1
24	не может быть и	1	1
25	то это вовсе не	1	1
26	и вместе с тем	1	1
27	в зависимости от них	1	1
28	иметь в виду что	1	1
29	в том числе и	2	1
30	не чем иным как	1	1
31	и есть то что	1	1
32	т п все это	1	1
33	и так или иначе	1	1
34	и то же но	1	1
35	то что должно быть	1	1
36	одну и ту же	1	1
37	во время работы над	1	1
38	может быть и речи	1	1
39	так же как и	1	1
40	говорит в письме к	1	1
41	не в том что	2	1
42	до сих пор не	1	1
43	и т д но	1	1
44	в том или ином	1	1
45	в этом отношении очень	1	1
