N	3gram	Tiupa_Hudo	Myslijsy
1	в том что	15	47
2	по отношению к	15	26
3	не может быть	5	19
4	заключает в себе	1	19
5	тем не менее	6	18
6	и т д	5	15
7	в свою очередь	1	14
8	не в том	2	13
9	а между тем	3	13
10	то же время	11	13
11	в том смысле	1	13
12	в то же	11	13
13	более или менее	1	12
14	с другой стороны	1	12
15	и в этом	3	12
16	до сих пор	3	12
17	только в том	4	12
18	во всяком случае	1	12
19	для того чтобы	2	11
20	сами по себе	1	11
21	а в том	1	11
22	и т п	10	11
23	подобно тому как	4	11
24	но тем не	2	10
25	с одной стороны	4	10
26	то что я	2	10
27	в таком случае	1	9
28	потому что не	1	9
29	то и другое	2	9
30	на то что	2	9
31	о том что	14	9
32	так и в	1	8
33	на самом деле	1	8
34	только потому что	2	8
35	в этом случае	1	8
36	с тем что	1	8
37	в том как	1	7
38	в этом смысле	1	7
39	не только не	3	7
40	с точки зрения	5	7
41	как и в	5	7
42	можно сказать что	1	7
43	не в состоянии	1	7
44	не только в	4	7
45	друг от друга	2	6
46	может быть только	1	6
47	то же самое	3	6
48	то что мы	1	6
49	с самого начала	1	6
50	по себе а	1	5
51	в том случае	2	5
52	между тем как	1	5
53	к тому что	8	5
54	что если бы	1	5
55	и то что	1	5
56	если бы не	2	5
57	из виду что	1	4
58	мы не знаем	1	4
59	с этой точки	1	4
60	все более и	1	4
61	а не другое	1	4
62	в данном случае	3	4
63	в том и	1	4
64	и в самом	4	4
65	что не только	1	4
66	более и более	1	4
67	почти то же	1	4
68	дело в том	1	4
69	и то и	1	4
70	и что в	1	4
71	в этом отношении	4	4
72	это было бы	1	4
73	точно так же	1	3
74	что он не	3	3
75	лишь в том	1	3
76	и в жизни	1	3
77	одной стороны и	1	3
78	до известной степени	1	3
79	потому что оно	1	3
80	т с в	1	3
81	хотя бы и	1	3
82	так или иначе	3	3
83	том что он	1	3
84	ничего общего с	1	3
85	в первом случае	2	3
86	в человеке и	1	3
87	а не в	1	3
88	в связи с	3	3
89	бы то ни	1	3
90	между тем в	2	3
91	в одном из	1	3
92	не глядя на	1	3
93	заключается в том	1	3
94	столь же мало	2	3
95	можно заметить что	1	3
96	именно то что	1	3
97	потому что он	1	3
