N	2gram	Tiupa_Teor	NovoeSre
1	а не	14	17
2	не может	8	16
3	и в	24	16
4	совсем не	1	12
5	нового времени	3	12
6	и не	17	11
7	и есть	1	10
8	что в	10	9
9	в том	20	8
10	жизни и	1	8
11	он не	5	8
12	в этом	12	7
13	может быть	22	7
14	не будет	3	7
15	культуры и	1	7
16	как и	6	7
17	ни в	5	6
18	не знает	4	6
19	не в	9	6
20	лишь в	10	6
21	с его	6	6
22	никогда не	4	6
23	и к	3	5
24	не только	24	5
25	все это	2	5
26	xix века	2	5
27	в жизни	3	5
28	в нем	7	5
29	с ее	4	5
30	должен быть	2	5
31	культуры в	3	5
32	и потому	3	4
33	по своему	4	4
34	быть может	1	4
35	не во	1	4
36	со всех	1	4
37	должно быть	1	4
38	потому что	3	4
39	это не	4	4
40	прежде всего	3	4
41	в них	2	4
42	то что	6	4
43	не было	1	4
44	новое время	1	4
45	всех сторон	1	4
46	не менее	6	4
47	не имеет	1	4
48	и для	3	4
49	о том	2	4
50	во всех	3	3
51	истории не	1	3
52	вопрос о	1	3
53	не означает	1	3
54	и пр	1	3
55	она не	1	3
56	тому как	3	3
57	в ее	6	3
58	что такое	2	3
59	в прошлом	1	3
60	к реальному	1	3
61	за пределы	2	3
62	стремится к	1	3
63	подобно тому	3	3
64	в истории	1	3
65	не существует	1	3
66	в новое	1	3
67	с другой	9	3
68	в основе	6	3
69	к ним	1	3
70	сказать что	4	3
71	духа и	1	3
72	с тем	1	3
73	к жизни	2	3
74	не есть	1	3
75	в своей	8	3
76	в мире	26	3
77	как в	5	3
78	жизни в	2	3
79	но и	14	3
80	это было	2	3
81	начало нового	1	3
82	жизни не	1	3
83	к тому	4	3
84	человека и	2	3
85	еще не	6	3
86	с этим	1	2
87	все они	1	2
88	более не	2	2
89	и от	1	2
90	это и	2	2
91	ни к	3	2
92	в центре	1	2
93	и что	4	2
94	не могли	2	2
95	что она	2	2
96	личность в	1	2
97	духовной жизни	2	2
98	зависит от	1	2
99	и заключается	1	2
100	с одной	3	2
101	такого рода	13	2
102	того чтобы	5	2
103	хотя и	4	2
104	переход к	1	2
105	природе и	1	2
106	так и	14	2
107	как это	10	2
108	самой жизни	1	2
109	если нет	1	2
110	но она	2	2
111	сама жизнь	1	2
112	одной стороны	3	2
113	не могла	1	2
114	можно было	1	2
115	другой стороны	6	2
116	времени и	2	2
117	с их	2	2
118	этом смысле	3	2
119	том и	1	2
120	в русском	1	2
121	у него	2	2
122	место в	7	2
123	и общества	1	2
124	свободы и	1	2
125	а в	15	2
126	когда мы	1	2
127	и даже	2	2
128	века и	1	2
129	и формы	1	2
130	на уровне	2	2
131	мы говорим	1	2
132	связана с	1	2
133	по существу	1	2
134	жизни как	5	2
135	для этого	1	2
136	xviii века	1	2
137	могут быть	5	2
138	в себе	14	2
139	и на	2	2
140	уже не	6	2
141	мира а	1	2
142	я не	2	2
143	что все	1	2
144	времени в	2	2
145	все эти	3	2
146	есть в	3	2
147	же как	1	2
148	вместе с	2	2
149	но я	1	2
150	который в	2	2
151	одна из	1	2
152	жизнью в	1	2
153	мира и	4	2
154	роль в	3	2
155	как будто	2	2
156	должно стать	1	2
157	но не	13	2
158	в то	9	2
159	том что	11	2
160	в мировой	2	2
161	так же	2	2
162	и это	2	2
163	можно назвать	1	2
164	себя в	7	2
165	но в	12	2
166	и т.п	7	2
167	к более	2	2
168	связаны с	1	2
169	к содержанию	3	2
170	войны и	1	2
171	в той	2	1
172	своего рода	11	1
173	и мир	1	1
174	войне и	2	1
175	в самом	7	1
176	ближе к	1	1
177	к одному	2	1
178	мир все	2	1
179	особенно для	1	1
180	и пути	1	1
181	ее на	1	1
182	и того	4	1
183	до этого	1	1
184	обращена к	1	1
185	во внешних	1	1
186	заинтересована в	1	1
187	может иметь	1	1
188	том случае	1	1
189	можно сказать	5	1
190	все что	1	1
191	человек как	1	1
192	для всех	2	1
193	ночь и	1	1
194	в более	1	1
195	вступить в	1	1
196	как ни	1	1
197	и более	1	1
198	в котором	1	1
199	освобождения от	1	1
200	по преимуществу	5	1
201	и мира	2	1
202	значение в	1	1
203	тоже не	1	1
204	в статье	1	1
205	отличие от	7	1
206	рода и	2	1
207	же и	1	1
208	они не	1	1
209	из них	1	1
210	есть нарушение	1	1
211	также что	1	1
212	случае если	1	1
213	свидетельствует о	1	1
214	жизни а	2	1
215	которая в	2	1
216	своей природе	3	1
217	ее судьбы	1	1
218	для будущего	1	1
219	на ее	1	1
220	и процесс	1	1
221	в свою	4	1
222	в значительной	2	1
223	от мира	1	1
224	в состоянии	1	1
225	для себя	3	1
226	из этих	3	1
227	том числе	3	1
228	ей было	1	1
229	можно лишь	1	1
230	такой обособленности	1	1
231	не должно	1	1
232	одну из	2	1
233	но во	2	1
234	для того	5	1
235	вопросу о	1	1
236	не по	1	1
237	процессы которые	1	1
238	воспринимаются как	1	1
239	этой системе	2	1
240	не быть	1	1
241	не для	1	1
242	на всех	1	1
243	вступление в	1	1
244	думаю что	1	1
245	лишь для	1	1
246	и зло	1	1
247	не всегда	2	1
248	а блок	1	1
249	и жизненной	1	1
250	имея в	1	1
251	это уже	1	1
252	он и	2	1
253	было бы	1	1
254	в сущности	1	1
255	в формах	2	1
256	в его	12	1
257	значительной степени	2	1
258	к такой	2	1
259	мы в	2	1
260	и вся	1	1
261	значение для	1	1
262	и через	1	1
263	и их	1	1
264	в которую	1	1
265	говорить о	4	1
266	не с	3	1
267	вступает в	2	1
268	одному из	1	1
269	бытия и	1	1
270	и ему	1	1
271	теми которые	1	1
272	у нас	2	1
273	это была	1	1
274	не столько	7	1
275	с другими	6	1
276	должно будет	1	1
277	говорит что	2	1
278	ни одно	1	1
279	в виду	5	1
280	или к	1	1
281	в мир	1	1
282	политике и	1	1
283	превращается в	2	1
284	и до	1	1
285	духовной культуры	2	1
286	с собой	1	1
287	весь мир	1	1
288	добро и	1	1
289	только в	9	1
290	в xix	1	1
291	не на	4	1
292	не могут	2	1
293	которые будут	1	1
294	по своей	8	1
295	от своих	1	1
296	и означает	1	1
297	также еще	1	1
298	в зависимости	1	1
299	в большинстве	2	1
300	было и	1	1
301	оно не	2	1
302	на смену	7	1
303	их не	1	1
304	а на	3	1
305	это всегда	1	1
306	особого рода	7	1
307	всего что	1	1
308	говорим о	1	1
309	но он	4	1
310	в которой	3	1
311	этого мира	1	1
312	и а	4	1
313	заключает в	1	1
314	в этой	3	1
315	а во-вторых	1	1
316	числе и	2	1
317	к чему	2	1
318	свободу от	1	1
319	я думаю	1	1
320	внешнюю жизнь	1	1
321	человеческой жизни	3	1
322	времени его	1	1
323	а по	1	1
324	а также	7	1
325	жизнь в	1	1
326	что его	1	1
327	в отличие	7	1
328	так называемый	1	1
329	он в	1	1
330	на нее	1	1
331	себя а	1	1
332	что не	1	1
333	во внешней	1	1
334	тем что	1	1
335	творческий процесс	1	1
336	есть жизненный	1	1
337	менее чем	2	1
338	то время	1	1
339	в конце	2	1
340	или иная	1	1
341	чтобы быть	1	1
342	как того	1	1
343	так как	1	1
344	к которому	3	1
345	в своем	7	1
346	мы конечно	1	1
347	в последние	1	1
348	как я	1	1
349	системы он	1	1
350	глубже чем	1	1
351	долгое время	1	1
352	личности с	1	1
353	и вполне	1	1
354	что он	4	1
355	на себя	2	1
356	известном смысле	2	1
357	их в	3	1
358	в силу	4	1
359	времени что	1	1
360	большинстве случаев	1	1
361	всю жизнь	1	1
362	и жизни	1	1
363	в этих	4	1
364	передо мной	2	1
365	перед лицом	2	1
366	и религии	1	1
367	но если	1	1
368	перед собой	1	1
369	по себе	2	1
370	приводит к	6	1
371	в области	7	1
372	того и	1	1
373	в такой	1	1
374	нуждается в	1	1
375	с ним	1	1
376	и только	1	1
377	от всех	2	1
378	человеческого духа	1	1
379	обращения к	1	1
380	это скорее	1	1
381	зависимости от	1	1
382	она могла	1	1
383	та или	1	1
384	друг друга	1	1
385	к вопросу	1	1
386	в это	1	1
387	того же	4	1
388	в известном	2	1
389	во времени	4	1
390	явление культуры	1	1
391	на их	1	1
392	не случайно	5	1
393	в чем	2	1
394	в каком	2	1
395	таким центром	1	1
396	нет в	1	1
397	содержанию а	1	1
398	себя человек	1	1
399	есть образный	1	1
400	отказаться от	1	1
401	и его	11	1
402	и особенно	2	1
403	слова в	4	1
404	одного и	4	1
405	на это	1	1
406	себе и	1	1
407	за его	1	1
408	жизнью и	1	1
409	героя но	1	1
410	совершается в	1	1
411	истины о	1	1
412	от этого	1	1
413	мира с	2	1
414	себя и	2	1
415	к нему	2	1
416	ему не	1	1
417	на них	1	1
418	людей в	1	1
