N	4gram	Tiupa_Anal	Stilisti
1	в то же время	7	7
2	одно и то же	2	5
3	одной и той же	1	4
4	не что иное как	5	2
5	одни и те же	2	2
6	в то же самое	2	2
7	в тех случаях когда	1	2
8	но в то же	2	2
9	то же самое время	2	2
10	есть не что иное	4	2
11	он в то же	1	1
12	и в этом случае	1	1
13	мысль о том что	1	1
14	сколько бы мы ни	1	1
15	уже содержит в себе	1	1
16	во всех своих частях	1	1
17	в той же мере	1	1
18	иметь дело не с	1	1
19	и не может быть	4	1
20	одна и та же	1	1
21	мы должны помнить что	1	1
22	одним и тем же	1	1
23	нет и не может	2	1
24	одного и того же	2	1
25	в собственном смысле слова	1	1
