N	4gram	Nazirov_Tv	Mirosoze
1	не что иное как	1	4
2	переходит в свою противоположность	2	3
3	одна и та же	1	3
4	в записках из подполья	5	3
5	так же как и	1	3
6	в начале xx века	1	2
7	легенда о великом инквизиторе	3	2
8	в сне смешного человека	2	2
9	все более и более	1	2
10	ни в чем не	1	2
11	место в творчестве достоевского	2	2
12	начале xix века в	1	2
13	одну и ту же	1	2
14	в начале xix века	1	2
15	в будущую вечную а	1	1
16	с такой силой как	1	1
17	мы имеем в виду	1	1
18	и в самом последнем	1	1
19	а в здешнюю вечную	1	1
20	достоевского нет ничего кроме	1	1
21	великом инквизиторе иван карамазов	1	1
22	время вдруг останавливается и	1	1
23	преступление и наказание а	1	1
24	уже в записках из	1	1
25	и сам достоевский в	1	1
26	в то же время	18	1
27	в творчестве достоевского но	1	1
28	и не может быть	2	1
29	в свою противоположность в	1	1
30	у достоевского нет никаких	1	1
31	не в будущую вечную	1	1
32	в преступлении и наказании	9	1
33	будущую вечную а в	1	1
34	но это не значит	1	1
35	это не значит что	2	1
36	останавливается и будет вечно	1	1
37	ведет к тому что	1	1
38	записок из подполья и	1	1
39	на протяжении всего романа	1	1
40	что красота спасет мир	1	1
41	записках из подполья в	1	1
42	вдруг останавливается и будет	1	1
43	было в том что	1	1
44	и добро и зло	1	1
45	может быть понята как	1	1
46	бесы и братья карамазовы	1	1
47	о великом инквизиторе иван	1	1
48	вечную а в здешнюю	1	1
49	к человеку как к	2	1
50	не может быть назван	1	1
