N	3gram	Losev_Dial	VLabPisa
1	и т д	28	16
2	в этом отношении	2	14
3	и т п	3	9
4	не может быть	4	8
5	с другой стороны	7	8
6	более или менее	5	6
7	в том что	12	5
8	в зависимости от	2	5
9	в то же	7	5
10	то же время	8	5
11	вместе с тем	1	4
12	равно как и	1	4
13	можно сказать что	6	4
14	не было бы	2	4
15	не могут быть	1	4
16	в связи с	3	4
17	к тому что	3	4
18	бы и не	2	3
19	большей или меньшей	1	3
20	для того чтобы	1	3
21	о том что	6	3
22	подобно тому как	1	3
23	и в то	3	3
24	хотя бы в	1	3
25	та или иная	4	3
26	этих и подобных	1	3
27	это и есть	3	3
28	одной стороны и	3	2
29	в частности к	1	2
30	во всяком случае	3	2
31	от того что	1	2
32	в том чтобы	1	2
33	по крайней мере	11	2
34	в чем же	1	2
35	и в другом	1	2
36	бы не было	1	2
37	не в том	2	2
38	в этом и	1	2
39	уже по одному	1	2
40	говорить не о	1	2
41	приводит к тому	1	2
42	до сих пор	4	2
43	этом и заключается	1	2
44	иметь в виду	4	2
45	в конце концов	4	2
46	по одному тому	1	2
47	не только в	2	2
48	не рождается из	2	2
49	во всех этих	1	2
50	не может не	1	2
51	т е в	3	2
52	только в том	1	2
53	только то что	6	2
54	одному тому что	1	2
55	с одной стороны	3	2
56	можно было бы	4	2
57	и не может	1	2
58	так же как	1	1
59	это то что	1	1
60	что он не	2	1
61	и не быть	1	1
62	но ведь это	2	1
63	сих пор не	1	1
64	в той или	3	1
65	этого образа в	1	1
66	имеет ничего общего	3	1
67	время никогда не	1	1
68	все это мы	1	1
69	отнюдь не в	1	1
70	же время никогда	1	1
71	т е не	1	1
72	то это вовсе	1	1
73	как будто бы	3	1
74	той или иной	4	1
75	что даже наиболее	1	1
76	е более или	1	1
77	том смысле что	3	1
78	в какой мере	1	1
79	на то что	4	1
80	и может быть	3	1
81	но и в	1	1
82	в том смысле	4	1
83	в этом смысле	4	1
84	как это было	1	1
85	по сравнению с	2	1
86	но она не	1	1
87	один из видов	2	1
88	у гете и	2	1
89	и процессов в	1	1
90	не заметить что	1	1
91	ни в какой	3	1
92	из них и	1	1
93	а не по	1	1
94	то время как	2	1
95	мы говорим о	1	1
96	не впасть в	1	1
97	отсюда следует что	1	1
98	образом связана с	1	1
99	том или ином	1	1
100	ту или иную	1	1
101	говоря уже о	1	1
102	дело не в	1	1
103	вовсе не значит	1	1
104	в виду не	1	1
105	от обычного хода	2	1
106	не может ограничиться	1	1
107	может быть в	2	1
108	в самом деле	3	1
109	как один из	2	1
110	в братьях карамазовых	1	1
111	значит что он	3	1
112	не значит что	6	1
113	с реальной жизнью	1	1
114	к религии и	1	1
115	далеко не всегда	1	1
116	прежде всего необходимо	2	1
117	кто-то сказал что	1	1
118	в то время	2	1
119	к ним не	1	1
120	тех или иных	1	1
121	а между тем	1	1
122	идеи и образа	2	1
123	но даже и	1	1
124	и то же	8	1
125	и есть то	1	1
126	в таком случае	2	1
127	все же не	1	1
128	же в таком	1	1
129	не говоря уже	1	1
130	так или иначе	3	1
131	хотя и не	1	1
132	сами по себе	4	1
133	то прежде всего	1	1
134	и значит что	1	1
135	как это мы	2	1
136	бы все его	1	1
137	какой мере не	1	1
138	могут не быть	1	1
139	уже сама по	1	1
140	ли это что	2	1
141	того как он	1	1
142	ничего общего с	3	1
143	другой стороны в	1	1
144	по себе в	1	1
145	что для того	1	1
146	как и все	1	1
147	есть одно и	1	1
148	одно и то	8	1
149	но в то	1	1
150	выйти за пределы	1	1
151	то или иное	4	1
152	то все же	1	1
153	в нем уже	1	1
154	бросается в глаза	1	1
155	и не должна	2	1
156	и вместе с	1	1
157	если бы все	1	1
158	то же но	1	1
159	это и значит	1	1
160	в данном случае	1	1
161	есть то что	1	1
162	это значит только	1	1
163	главным образом в	1	1
164	того или другого	1	1
165	именно в том	1	1
166	а в том	1	1
167	значит ли это	2	1
168	без нее не	1	1
169	к тому же	2	1
170	в ней не	1	1
171	не имеет ничего	3	1
172	же как и	1	1
173	на себе все	1	1
174	т е более	1	1
175	можно ли считать	1	1
176	в новое время	1	1
177	то же самое	3	1
178	никогда не может	2	1
179	сама по себе	12	1
180	не созданы то	1	1
181	было бы совершенно	1	1
182	это вовсе не	2	1
183	до последних дней	1	1
184	сказал что у	1	1
185	но все же	2	1
186	все это не	1	1
187	него она не	1	1
188	т д но	2	1
189	в искусстве но	1	1
190	значит только то	1	1
191	вопрос о том	1	1
192	а не только	1	1
193	таким образом и	1	1
194	только тогда когда	4	1
195	или ином отношении	1	1
196	в поэзии и	1	1
197	в виду что	2	1
198	теснейшим образом связана	1	1
199	те или иные	1	1
200	мы имеем дело	1	1
201	может быть и	6	1
