N	4gram	Potebnia_M	Psycholo
1	заключается в том что	1	23
2	в то время как	1	13
3	одной и той же	3	12
4	указывает на то что	1	11
5	с этой точки зрения	1	10
6	в том случае если	1	7
7	в том что он	1	7
8	не что иное как	2	6
9	с психологической точки зрения	1	6
10	один и тот же	1	5
11	все более и более	2	4
12	одного и того же	6	4
13	точно так же как	1	4
14	и в том что	1	3
15	в то же время	3	3
16	что в таком случае	2	3
17	и то и другое	2	3
18	для того чтобы сделать	1	3
19	в том смысле что	2	3
20	дело в том что	3	3
21	не заключает в себе	3	3
22	привело к тому что	1	3
23	само по себе не	1	2
24	во время разговора с	1	2
25	в том что при	1	2
26	в том что по	2	2
27	с другой стороны и	1	2
28	с другой стороны он	1	2
29	в том что оно	1	2
30	и в свою очередь	3	2
31	можно было бы сказать	1	2
32	сам по себе не	1	2
33	только в том что	5	2
34	что с одной стороны	1	2
35	с одной стороны и	2	2
36	на то что в	1	2
37	и т д и	1	2
38	смысле этого слова и	1	2
39	бы то ни было	1	2
40	не в том что	3	2
41	и в этом отношении	1	2
42	д и т д	1	2
43	как можно себе представить	1	1
44	той мере в какой	1	1
45	лицом к лицу с	1	1
46	покажет нам что и	1	1
47	что же касается до	1	1
48	и независимо от этого	1	1
49	в той мере в	1	1
50	в том что вообще	1	1
51	во что бы то	1	1
52	ничего не может быть	1	1
53	и т п и	1	1
54	не для того чтобы	1	1
55	уже с самого начала	2	1
56	утверждает что у нас	1	1
57	в том смысле как	1	1
58	только в обществе и	2	1
59	в том смысле в	4	1
60	указание на то что	1	1
61	место только тогда когда	1	1
62	находятся в обратном отношении	1	1
63	потому что не может	1	1
64	всех времен и народов	1	1
65	мы не знаем но	1	1
66	это все равно как	1	1
67	это легко заметить при	1	1
68	можно смотреть как на	1	1
69	в том что все	1	1
70	не прямо а в	1	1
71	а в том как	1	1
72	что и то и	1	1
73	что бы то ни	1	1
74	всегда заключает в себе	1	1
75	то с другой стороны	1	1
76	это не так потому	1	1
77	было бы так же	1	1
78	исследование само по себе	1	1
79	слова во всяком случае	1	1
80	то есть что все	1	1
81	это не потому что	1	1
82	и в том как	1	1
83	может и не иметь	1	1
84	сама по себе и	1	1
85	то должно быть возможно	1	1
86	в том что именно	1	1
87	страха и т п	1	1
88	одном и том же	3	1
89	имеет место только тогда	1	1
90	а между тем в	2	1
91	и сами по себе	3	1
92	в том и другом	2	1
93	что само по себе	1	1
94	по тому же поводу	1	1
95	о которых мы говорим	1	1
96	что в противном случае	2	1
97	которые не могут быть	2	1
98	и т д то	1	1
99	бы то ни стало	1	1
100	не так потому что	1	1
101	могут быть сведены к	1	1
102	и в этом смысле	3	1
103	потому что в противном	2	1
104	должно быть возможно и	1	1
105	было бы если бы	1	1
106	но и в том	1	1
