N	3gram	Losev_Prob	Vladivir
1	в том что	17	29
2	о том что	8	22
3	тем не менее	23	18
4	а к толстого	2	16
5	что же касается	5	14
6	и то что	8	14
7	в то время	6	13
8	дело в том	4	13
9	необходимо сказать что	4	13
10	в те времена	1	13
11	во всяком случае	8	12
12	в связи с	9	12
13	содержит в себе	13	11
14	более или менее	2	11
15	в конце концов	4	11
16	к тому же	1	11
17	не может быть	5	10
18	в то же	10	10
19	вместе с тем	1	10
20	с точки зрения	9	10
21	в этом смысле	5	9
22	как раз и	5	9
23	на этот раз	3	9
24	на то что	2	8
25	точно так же	5	7
26	это значит что	8	7
27	на первый план	3	7
28	у нас выше	3	7
29	в свое время	1	7
30	так или иначе	2	6
31	само по себе	5	6
32	в данном случае	12	6
33	в отличие от	2	6
34	также и то	5	6
35	с другой стороны	11	6
36	и в этом	6	6
37	в настоящее время	4	6
38	в истории философии	1	6
39	никакого отношения к	3	6
40	как мы видели	2	6
41	том что он	2	6
42	иной раз даже	1	5
43	ничего не говорит	1	5
44	ни в каких	1	5
45	но даже и	7	5
46	на первом плане	1	5
47	и в то	2	5
48	и в его	3	5
49	бы то ни	5	5
50	а иной раз	2	5
51	само собой разумеется	1	5
52	и потому что	1	5
53	он не только	1	5
54	не говоря уже	1	5
55	в сравнении с	4	5
56	не только в	2	5
57	то время как	6	5
58	что и в	3	5
59	если не прямо	1	5
60	не содержит в	1	4
61	себе отчет в	2	4
62	можно сказать что	2	4
63	для того чтобы	4	4
64	сам по себе	10	4
65	сказать что в	1	4
66	что в этом	1	4
67	то это значит	3	4
68	и т д	20	4
69	в том чтобы	1	4
70	по крайней мере	9	4
71	заключается в том	5	4
72	в себе и	2	4
73	и ни в	4	4
74	не что иное	6	4
75	вовсе не есть	12	4
76	можно было бы	6	4
77	что иное как	6	4
78	с одной стороны	2	4
79	еще и потому	1	4
80	что он не	2	3
81	ни в каком	8	3
82	и больше ничего	3	3
83	по существу же	1	3
84	у него с	1	3
85	хотя бы и	2	3
86	а то что	3	3
87	в самом деле	1	3
88	в котором он	1	3
89	в том числе	1	3
90	можно сколько угодно	1	3
91	во что бы	1	3
92	то в чем	1	3
93	ничего общего с	2	3
94	свидетельствует о том	1	3
95	по себе в	2	3
96	иметь в виду	2	3
97	даже и в	3	3
98	а в том	1	3
99	не только не	5	3
100	это же самое	3	3
101	мы хотели бы	1	3
102	даже больше того	1	3
103	это вовсе не	5	3
104	к тому что	1	3
105	самом же деле	7	3
106	только то что	4	3
107	на самом же	7	3
108	но это не	1	3
109	не имеет никакого	3	3
110	собой разумеется что	1	3
111	в конце своей	1	3
112	мы должны сказать	6	3
113	только в том	2	3
114	должны сказать что	5	3
115	хотя и не	2	3
116	мы видели выше	1	3
117	что бы то	1	3
118	и в частности	4	3
119	нам представляется что	3	3
120	мы бы сказали	1	3
121	так что в	2	3
122	в первую очередь	3	3
123	между прочим и	1	3
124	мы находим у	1	3
125	также еще и	1	3
126	то ни стало	1	3
127	нам кажется что	1	3
128	ни с каким	1	3
129	так же как	3	2
130	нельзя сказать что	1	2
131	так что для	1	2
132	по разным причинам	1	2
133	но только в	2	2
134	но то что	1	2
135	в целом то	1	2
136	одной стороны и	1	2
137	имеет ничего общего	3	2
138	и тот же	1	2
139	то это есть	1	2
140	но еще и	1	2
141	то он не	1	2
142	и не в	2	2
143	для нас в	1	2
144	или как мы	1	2
145	не говорит о	1	2
146	в вопросе о	1	2
147	и в таком	1	2
148	здесь перед нами	2	2
149	а значит и	1	2
150	останавливаться только на	1	2
151	прекрасно понимает что	1	2
152	можно только при	1	2
153	в подлинном смысле	1	2
154	мы уже видели	1	2
155	имеет никакого отношения	1	2
156	ввиду того что	1	2
157	до некоторой степени	1	2
158	необходимо заметить что	1	2
159	но все дело	1	2
160	в таком случае	7	2
161	только при помощи	4	2
162	если иметь в	2	2
163	в себе не	1	2
164	так и в	2	2
165	до сих пор	4	2
166	есть не что	6	2
167	и к его	1	2
168	том и заключается	1	2
169	бросается в глаза	1	2
170	то есть о	1	2
171	не так уж	2	2
172	и прежде всего	3	2
173	но в том	2	2
174	не так просто	1	2
175	не имеет ничего	3	2
176	то ни было	4	2
177	или по крайней	6	2
178	имел в виду	1	2
179	что даже в	1	2
180	а именно к	1	2
181	ни в какие	1	2
182	но что же	1	2
183	жизни и деятельности	1	2
184	все дело в	1	2
185	для нас важно	1	2
186	и по существу	1	2
187	даже и не	6	2
188	и совсем не	2	2
189	те или иные	6	2
190	при этом в	1	2
191	то что у	3	2
192	и еще раз	1	2
193	в том и	1	2
194	и тут тоже	1	2
195	и тем не	6	2
196	за то что	1	2
197	отдавать себе отчет	1	2
198	то что его	1	2
199	этому необходимо прибавить	1	2
200	едва ли можно	2	2
201	ни в чем	2	2
202	один и тот	1	2
203	необходимо прибавить еще	1	2
204	отчет в том	3	2
205	а следовательно и	1	2
206	и есть тот	1	2
207	связи с этим	1	2
208	но и его	1	2
209	только в виде	2	2
210	будет сказать что	1	2
211	таким образом если	1	2
212	несмотря на свою	2	2
213	взятое само по	3	2
214	еще и еще	1	2
215	если исходить из	1	2
216	что мы действительно	1	2
217	и в своем	1	2
218	том что и	1	2
219	так же и	3	2
220	одно и то	4	2
221	автор настоящей работы	2	2
222	и то же	5	2
223	да и то	2	2
224	по одному тому	1	2
225	сказать что здесь	1	2
226	в этом случае	8	2
227	и заключается что	1	2
228	есть прежде всего	3	2
229	что в нем	1	2
230	с тем что	1	2
231	то обстоятельство что	1	2
232	и все же	1	2
