N	3gram	Losev_Vesc	Vvedenie
1	и т д	36	39
2	для того чтобы	2	22
3	в том что	9	15
4	о том что	4	13
5	не может быть	22	10
6	в этом смысле	2	10
7	но также и	1	10
8	тем не менее	11	9
9	до сих пор	1	7
10	в применении к	2	6
11	в самом деле	7	6
12	в то же	5	6
13	в этом случае	1	6
14	то же время	4	6
15	в том чтобы	2	5
16	не что иное	12	5
17	что иное как	12	5
18	с другой стороны	3	5
19	во всяком случае	2	5
20	вопрос о том	2	5
21	по крайней мере	10	4
22	с точки зрения	6	4
23	по сравнению с	7	4
24	и в особенности	1	4
25	в принципиальном смысле	1	4
26	на вопрос о	1	4
27	так или иначе	5	4
28	само по себе	4	4
29	можно было бы	3	4
30	не только в	5	4
31	в данном случае	2	4
32	т е в	7	4
33	но все же	2	4
34	с одной стороны	3	4
35	в этом отношении	2	4
36	и в этом	2	4
37	одной стороны и	1	3
38	и тем не	5	3
39	вместе с тем	3	3
40	заключается в том	3	3
41	в чем же	5	3
42	в собственном смысле	3	3
43	и в самом	1	3
44	в свое время	2	3
45	можно сказать что	3	3
46	дело в том	4	3
47	но в то	1	3
48	в зависимости от	1	3
49	тех или иных	2	3
50	можно говорить о	2	3
51	и то что	5	3
52	есть не что	8	3
53	с тем что	1	3
54	то же самое	1	3
55	сама по себе	7	3
56	что может быть	1	3
57	как она есть	3	2
58	ответ на вопрос	1	2
59	в свою очередь	5	2
60	т е не	5	2
61	как будто бы	1	2
62	не в том	1	2
63	и потому что	1	2
64	т д а	1	2
65	дело не с	2	2
66	и со стороны	1	2
67	этой точки зрения	3	2
68	хотя бы и	2	2
69	с этой точки	3	2
70	это не только	1	2
71	только в том	1	2
72	и то же	5	2
73	каждой из них	1	2
74	сам по себе	4	2
75	т д в	1	2
76	т д все	1	2
77	смысле этого слова	1	2
78	в первом случае	2	2
79	в конце концов	2	2
80	потому что он	1	2
81	одно и то	5	2
82	по меньшей мере	1	2
83	в том или	2	2
84	уже было сказано	1	2
85	и того же	1	2
86	подобно тому как	5	2
87	имеет дело с	1	2
88	в связи с	1	2
89	что она была	1	2
90	а так как	2	2
91	это однако не	1	2
92	одного и того	1	2
93	всего то что	2	2
94	что несмотря на	1	2
95	тем что не	3	2
96	вовсе не в	1	2
97	может быть и	1	2
98	не просто как	1	1
99	целое в котором	1	1
100	что в ней	3	1
101	в той или	2	1
102	в и в	1	1
103	и в целом	1	1
104	во внимание в	1	1
105	в одном и	2	1
106	бы и не	1	1
107	все то что	2	1
108	со стороны ее	1	1
109	как та или	1	1
110	это может быть	1	1
111	и том же	1	1
112	что это есть	3	1
113	быть и речи	1	1
114	из которых первые	1	1
115	никак не может	1	1
116	и это есть	1	1
117	е не только	1	1
118	т д таким	1	1
119	он должен быть	1	1
120	но и в	1	1
121	нисколько не мешает	1	1
122	бы сказать что	2	1
123	от того что	4	1
124	потому что это	1	1
125	т е на	2	1
126	как мы знаем	1	1
127	в том смысле	1	1
128	в которых при	1	1
129	как это было	1	1
130	виде потому что	1	1
131	по вопросу о	1	1
132	чем же отличие	1	1
133	не в этом	1	1
134	совсем другое дело	1	1
135	и в результате	1	1
136	есть только один	1	1
137	имеется в виду	1	1
138	то или иное	1	1
139	в одно целое	1	1
140	здесь как и	1	1
141	случае не есть	2	1
142	и не потому	1	1
143	в его применении	1	1
144	дело не в	1	1
145	было бы сказать	2	1
146	все же это	1	1
147	что не только	1	1
148	с большой пользой	1	1
149	не есть еще	2	1
150	какой бы то	1	1
151	и не в	3	1
152	как некая самостоятельная	1	1
153	и как оно	1	1
154	и что это	1	1
155	т д и	11	1
156	не значит что	1	1
157	когда мы говорим	1	1
158	если бы оно	1	1
159	в подлинном смысле	2	1
160	более или менее	4	1
161	и отдать себе	1	1
162	имеют в виду	1	1
163	не только вообще	1	1
164	различие между ними	1	1
165	и есть то	2	1
166	но это только	1	1
167	в одном случае	1	1
168	что также и	1	1
169	раз уж мы	1	1
170	так что мы	1	1
171	тут нет еще	1	1
172	так как она	1	1
173	нужно сказать что	2	1
174	может быть только	6	1
175	не было бы	1	1
176	потому что она	1	1
177	и в конце	1	1
178	то что можно	1	1
179	не потому что	5	1
180	но что такое	4	1
181	именно потому что	1	1
182	на то или	1	1
183	тем что она	1	1
184	нужно было бы	2	1
185	того что в	1	1
186	т д хотя	1	1
187	бы оно было	1	1
188	после этого уже	1	1
189	с этой стороны	1	1
190	вырастает на почве	2	1
191	а есть только	2	1
192	в самой себе	1	1
193	как мы видим	1	1
194	значит не только	4	1
195	стороны как это	1	1
196	т д словом	1	1
197	прежде всего к	1	1
198	как раз в	2	1
199	до бесконечности все	1	1
200	не есть и	1	1
201	так же как	2	1
202	д таким образом	1	1
203	этого метода и	1	1
204	между ними в	1	1
205	не иначе как	1	1
206	только потому что	1	1
207	и прежде всего	1	1
208	д все это	1	1
