N	4gram	Medvedev_V	Narrotol
1	в то же время	5	8
2	мы имеем дело с	1	5
3	и не может быть	2	2
4	в сумасшедшем доме или	1	2
5	и в то же	3	2
6	следует иметь в виду	2	2
7	одно и то же	1	2
8	в той или иной	1	2
9	с этой точки зрения	1	1
10	в том смысле что	1	1
11	с одной стороны и	2	1
12	с большей или меньшей	1	1
13	и т п все	1	1
14	в качестве одной из	1	1
15	может быть сведена к	1	1
16	в то время как	1	1
17	но то же самое	1	1
18	в противном случае он	1	1
19	иметь в виду что	1	1
20	в том числе и	2	1
21	и в конечном счете	1	1
22	ни одна из них	1	1
23	не следует смешивать с	1	1
24	по его собственному признанию	1	1
25	в том случае если	1	1
26	и так или иначе	1	1
27	одна из них не	1	1
28	из них не может	1	1
29	них не может быть	1	1
30	может быть определена как	1	1
31	не в том что	2	1
32	ответ на этот вопрос	1	1
33	если можно так выразиться	1	1
34	в том или ином	1	1
