N	3gram	Potebnia_M	StatiiOP
1	в том что	22	47
2	и т д	5	32
3	о том что	5	29
4	в этом отношении	2	24
5	для того чтобы	5	19
6	до сих пор	4	19
7	и т п	7	19
8	с точки зрения	2	14
9	с другой стороны	4	13
10	во всяком случае	3	13
11	не может быть	7	11
12	в самом деле	1	9
13	то же время	8	9
14	вместе с тем	5	9
15	на то что	3	9
16	в то же	8	9
17	дело в том	1	9
18	тем не менее	7	8
19	к тому что	3	8
20	на самом деле	4	8
21	не только в	4	8
22	не в том	6	7
23	в данном случае	3	7
24	по этому поводу	1	7
25	заключается в том	1	7
26	в то время	7	7
27	и в этом	1	7
28	том что он	2	7
29	по отношению к	10	6
30	в этом смысле	2	6
31	так и в	2	6
32	не только не	4	6
33	по крайней мере	8	6
34	в том смысле	6	6
35	в одном из	1	6
36	вопрос о том	1	6
37	что он не	3	5
38	то время как	3	5
39	в том же	2	5
40	с тем что	1	5
41	за то что	1	5
42	но и в	4	5
43	тем что в	1	5
44	в том чтобы	4	5
45	в свое время	1	5
46	что же касается	1	5
47	то что в	2	5
48	после того как	2	5
49	так или иначе	1	4
50	сами по себе	3	4
51	с одной стороны	4	4
52	ничего общего с	1	4
53	достаточно для того	1	4
54	в это время	1	4
55	и в самом	3	4
56	тем более что	1	4
57	и в том	3	4
58	что и в	4	4
59	каждого из них	1	3
60	только потому что	5	3
61	том смысле что	2	3
62	что в ней	2	3
63	в том как	3	3
64	себе отчет в	1	3
65	можно сказать что	3	3
66	говоря уже о	1	3
67	более или менее	6	3
68	виде в каком	1	3
69	нет сомнения что	1	3
70	потому что он	3	3
71	во многих случаях	1	3
72	таким образом в	1	3
73	к тому же	1	3
74	но все это	1	3
75	бы то ни	1	3
76	и тем же	4	3
77	и не в	1	3
78	только в том	5	3
79	состоит в том	1	3
80	не говоря уже	1	3
81	одним и тем	4	3
82	по меньшей мере	1	3
83	в этом случае	2	3
84	было бы совершенно	1	3
85	для него самого	1	2
86	может быть назван	3	2
87	но вместе с	2	2
88	не представляется возможным	1	2
89	хотя бы и	1	2
90	до недавнего времени	1	2
91	всякого внимания к	1	2
92	но и с	1	2
93	если бы и	1	2
94	ответ на это	2	2
95	все более и	1	2
96	а между тем	6	2
97	между тем как	4	2
98	если бы мы	1	2
99	нельзя сказать что	2	2
100	том что этот	1	2
101	в каждом отдельном	1	2
102	а потому что	1	2
103	и в других	1	2
104	уже после того	1	2
105	же и в	1	2
106	то ни было	1	2
107	том что она	1	2
108	а не в	1	2
109	то же самое	3	2
110	то что я	2	2
111	вряд ли можно	1	2
112	только тогда когда	11	2
113	в таком виде	1	2
114	между тем что	1	2
115	не только по	3	2
116	сам по себе	9	2
117	в свою очередь	6	2
118	в этих словах	1	2
119	вовсе не в	1	2
120	в чем же	1	2
121	в наших глазах	1	2
122	тех пор пока	2	2
123	в одно целое	3	2
124	было бы не	1	2
125	но столь же	1	2
126	более и более	1	2
127	в настоящее время	1	2
128	до тех пор	5	2
129	далеко не все	3	2
130	что если бы	3	2
131	как мы видели	1	2
132	том что и	1	2
133	или лучше сказать	3	2
134	как бы ни	4	2
135	так что в	2	2
136	и то что	3	2
137	т п но	1	2
138	без всякого внимания	1	2
139	что в нем	1	2
140	как и в	3	2
141	может быть и	1	2
142	исчерпывается тем что	1	1
143	что у нас	1	1
144	то об этом	1	1
145	а а и	1	1
146	которая связана с	1	1
147	с другой и	1	1
148	таких условиях и	1	1
149	не нуждаются в	1	1
150	не отнимает у	1	1
151	одной точки зрения	1	1
152	звуков а не	1	1
153	а может быть	2	1
154	то что называют	1	1
155	как увидим ниже	1	1
156	второй половины xix	1	1
157	заключается именно в	1	1
158	этого слова в	2	1
159	то тем самым	3	1
160	но это их	1	1
161	это с одной	1	1
162	но этого мало	1	1
163	такое же значение	1	1
164	в большинстве случаев	2	1
165	не все в	1	1
166	ж з и	1	1
167	потому что оно	2	1
168	самом деле в	1	1
169	та и другая	2	1
170	в собственном смысле	2	1
171	том что как	2	1
172	в том и	1	1
173	ни одно из	1	1
174	его отношение к	1	1
175	уже на первом	1	1
176	еще до ее	1	1
177	для себя и	1	1
178	а в том	5	1
179	смотрел на нее	1	1
180	потому что в	4	1
181	друг от друга	2	1
182	что в слове	1	1
183	из нее то	1	1
184	тогда когда мы	1	1
185	могло бы быть	1	1
186	эти слова имеют	1	1
187	и то же	7	1
188	том виде в	1	1
189	смысле в каком	3	1
190	их связь с	1	1
191	уже потому что	1	1
192	и если бы	1	1
193	в которой все	1	1
194	в том случае	2	1
195	сказать будто в	1	1
196	не потому что	1	1
197	того что в	1	1
198	может быть не	2	1
199	как в самом	1	1
200	с этой стороны	2	1
201	из которых один	1	1
202	смысле этого слова	9	1
203	и сами по	1	1
204	той и другой	1	1
205	если бы в	2	1
206	само по себе	6	1
207	не имел бы	1	1
208	не могла бы	2	1
209	и таким образом	1	1
210	каждое из них	1	1
211	как бы он	1	1
212	отношению к своему	1	1
213	по себе не	2	1
214	же значение как	1	1
215	и та и	2	1
216	но и по	2	1
217	не вдаваясь в	1	1
218	потому что не	4	1
219	что в отдельных	1	1
220	очень далеко от	1	1
221	каждой из этих	1	1
222	имеет такое же	1	1
223	есть нечто совершенно	1	1
224	при некотором внимании	1	1
225	и как он	1	1
226	там где нет	1	1
227	и говорить о	1	1
228	только то что	1	1
229	та что в	1	1
230	это значит что	1	1
231	не то что	2	1
232	имея в виду	1	1
233	сплошь да рядом	1	1
234	так же и	1	1
235	и о том	1	1
236	но так как	2	1
237	собственном смысле этого	1	1
238	и не может	1	1
239	живой речи в	1	1
240	что разница между	1	1
241	этого не было	1	1
242	быть не может	2	1
243	того что он	1	1
244	что в то	4	1
245	с нашей точки	1	1
246	и теперь еще	1	1
247	между тем в	1	1
248	столь же несомненно	1	1
249	потому что для	2	1
250	и в отдельных	1	1
251	той связи которая	1	1
252	друг к другу	1	1
253	вместе с ним	1	1
254	тем что мы	1	1
255	все связанное с	1	1
256	есть известная доля	1	1
257	в каждой из	1	1
258	которое можно назвать	1	1
259	тем фактом что	1	1
260	форма в которой	3	1
261	и может быть	2	1
262	том что слово	1	1
263	мере того как	8	1
264	от того что	7	1
265	на него как	1	1
266	она ни была	1	1
267	нее то что	1	1
268	время как в	1	1
269	знал что ему	1	1
270	к вопросу о	1	1
271	языка с другой	1	1
272	ему самому и	1	1
273	носит на себе	2	1
274	и тогда и	1	1
275	уже в прошлом	1	1
276	может быть иначе	1	1
277	можно утверждать только	1	1
278	по мере того	8	1
279	отчет в том	1	1
280	в такой форме	1	1
281	уже не к	1	1
282	во время своего	1	1
283	и той же	4	1
284	то что оно	1	1
285	именно то что	2	1
286	следует заметить что	1	1
287	чтобы найти эти	1	1
288	смотреть как на	3	1
289	так и на	1	1
290	некоторое понятие об	1	1
291	это можно утверждать	1	1
292	он может быть	1	1
293	и тем что	1	1
294	если бы она	1	1
295	мы видели выше	1	1
296	то что никогда	1	1
297	если бы эти	1	1
298	не только к	1	1
299	что в сознании	1	1
300	так что все	1	1
301	пути по которому	1	1
302	того что и	1	1
303	свое место в	1	1
304	можно сравнить с	2	1
305	и быть не	1	1
306	одно и то	7	1
307	него самого и	1	1
308	то все же	1	1
309	одной и той	4	1
310	точки зрения той	1	1
311	если бы все	1	1
