N	4gram	Propp_Isto	slovoVRo
1	с этой точки зрения	1	2
2	и не может быть	1	2
3	в то время как	2	2
4	не исключают друг друга	1	2
5	до сих пор не	1	2
6	на самом же деле	1	1
7	в этом случае в	1	1
8	несколько иначе обстоит дело	1	1
9	можно утверждать что в	1	1
10	в связи с изучением	3	1
11	в том что в	1	1
12	одной и той же	2	1
13	в связи с этим	1	1
14	в этих случаях обычно	1	1
15	мы не можем здесь	1	1
16	дело не только в	1	1
17	можем здесь входить в	1	1
18	с другой стороны и	3	1
19	во всех этих случаях	1	1
20	но все же он	1	1
21	так же как и	3	1
22	не можем здесь входить	1	1
