N	2gram	Bakhtin_KF	DiskursI
1	в качестве	2	72
2	а не	17	60
3	может быть	45	56
4	не только	5	49
5	и в	28	49
6	как и	5	47
7	при этом	4	46
8	и не	28	44
9	в том	6	44
10	то есть	1	41
11	том что	4	40
12	в этом	15	38
13	в себе	21	37
14	но и	9	35
15	и т.п	1	32
16	но не	12	31
17	со стороны	8	28
18	но в	5	28
19	так и	2	28
20	не может	29	27
21	по своей	1	26
22	как в	2	25
23	отнюдь не	7	23
24	еще не	5	23
25	в своей	11	19
26	все же	5	19
27	в нем	32	19
28	прежде всего	4	19
29	в основе	5	18
30	то же	5	17
31	в данном	2	17
32	в мире	8	17
33	по отношению	26	17
34	отношению к	22	17
35	точки зрения	13	16
36	только в	18	16
37	о том	3	15
38	то что	7	15
39	в его	42	15
40	не менее	3	14
41	можно сказать	1	14
42	не в	13	14
43	ни к	2	14
44	не является	1	14
45	это не	10	14
46	или иной	2	14
47	как бы	9	13
48	для него	13	13
49	в целом	10	13
50	в своих	4	12
51	в своем	17	12
52	того же	1	12
53	и на	3	12
54	и все	9	12
55	не было	8	11
56	столь же	1	11
57	что в	4	11
58	с его	2	11
59	и как	2	11
60	той или	3	10
61	а с	2	10
62	для себя	7	10
63	вследствие этого	2	10
64	а в	5	10
65	же время	2	10
66	также и	1	10
67	и т.д	4	10
68	уже не	7	9
69	пока еще	1	9
70	себя в	8	9
71	между тем	4	9
72	в то	3	9
73	сводится к	2	9
74	картина мира	1	9
75	тем самым	4	9
76	в этих	1	8
77	и даже	1	8
78	в соответствии	2	8
79	к тому	1	8
80	в котором	24	8
81	в одном	5	8
82	хотя и	1	8
83	в себя	8	8
84	он не	6	8
85	не следует	2	8
86	жизни в	5	8
87	совпадает с	1	8
88	потому что	2	8
89	соответствии с	2	8
90	не с	1	8
91	и о	1	8
92	лирический герой	1	8
93	одной из	1	7
94	что и	7	7
95	его в	5	7
96	к этому	2	7
97	в этой	2	7
98	я в	1	7
99	могут быть	3	7
100	ни в	12	7
101	в составе	2	7
102	в процессе	2	7
103	приводит к	1	7
104	той же	1	7
105	но это	6	7
106	и для	10	7
107	основе своей	2	7
108	нового времени	1	7
109	лишь в	8	7
110	и ее	2	7
111	и его	18	7
112	мира в	6	7
113	не как	4	6
114	одно из	1	6
115	именно в	5	6
116	конечном счете	1	6
117	и того	2	6
118	в контексте	5	6
119	одна из	1	6
120	никогда не	5	6
121	в принципе	2	6
122	сказать и	1	6
123	с точки	10	6
124	в ее	17	6
125	в конечном	1	6
126	не знает	5	6
127	во всех	11	6
128	и то	2	6
129	имеет место	1	6
130	что он	2	6
131	к его	1	6
132	в истории	1	6
133	здесь не	3	6
134	в трагедии	1	6
135	одновременно и	1	6
136	дело в	2	6
137	времени и	4	6
138	в одной	1	6
139	и может	3	6
140	отношение к	6	6
141	субъекта в	1	5
142	можно говорить	1	5
143	может служить	1	5
144	в виду	3	5
145	мысль о	1	5
146	в другом	3	5
147	говорить о	2	5
148	значительной степени	1	5
149	свою очередь	1	5
150	к ним	4	5
151	к себе	2	5
152	несмотря на	1	5
153	как раз	1	5
154	я и	5	5
155	на этом	1	5
156	эстетической деятельности	1	5
157	но при	1	5
158	подход к	1	5
159	с ее	2	5
160	тем что	3	5
161	одного и	2	5
162	во второй	1	5
163	во втором	1	5
164	один из	2	5
165	оно не	2	5
166	в свою	3	5
