N	3gram	Medvedev_S	StatiiOP
1	в том что	2	47
2	во всяком случае	1	13
3	то же время	1	9
4	в то же	1	9
5	не в том	2	7
6	в конце концов	2	7
7	в этой области	1	7
8	и в этом	1	7
9	по отношению к	2	6
10	по крайней мере	1	6
11	то что в	1	5
12	дело не в	2	4
13	с одной стороны	1	4
14	в связи с	1	4
15	о том как	1	3
16	а с другой	1	3
17	в наше время	1	3
18	в лучшем случае	1	3
19	должно было бы	1	2
20	а между тем	1	2
21	и в то	1	2
22	не может не	1	2
23	то же самое	1	2
24	чуть ли не	1	2
25	в настоящее время	1	2
26	но ведь это	2	1
27	благодаря тому что	1	1
28	в этих мелочах	1	1
29	в те же	1	1
30	как бы они	1	1
31	в том и	1	1
32	а в том	1	1
33	все это по	1	1
34	друг от друга	1	1
35	как бы он	1	1
36	что в них	1	1
37	это вовсе не	1	1
38	только то что	1	1
39	они ни были	1	1
40	бы в этом	1	1
41	но одно дело	1	1
42	на основании таких	1	1
43	ни на что	1	1
44	по существу это	1	1
45	бы они ни	1	1
46	именно в том	1	1
47	и более чем	1	1
48	стр и в	1	1
