N	2gram	Berdyaev_V	Tvorches
1	и в	16	56
2	как бы	5	41
3	в его	4	37
4	то же	1	25
5	не только	2	24
6	но в	3	24
7	как и	4	23
8	то есть	1	23
9	и не	20	23
10	а в	2	23
11	в этом	4	22
12	и т	2	22
13	что в	3	21
14	в том	3	21
15	том что	2	19
16	может быть	1	19
17	потому что	4	19
18	у него	1	18
19	то что	9	18
20	и на	1	17
21	что он	4	17
22	т д	2	17
23	все это	5	17
24	но и	5	16
25	никогда не	3	16
26	как в	1	16
27	прежде всего	2	16
28	и с	1	15
29	в мире	5	15
30	но это	3	15
31	в этой	1	15
32	с его	3	15
33	это не	2	14
34	а не	7	13
35	в котором	4	12
36	в целом	1	12
37	в своей	3	11
38	все же	1	11
39	для него	2	11
40	в самом	1	10
41	не в	3	10
42	в конце	3	10
43	только в	2	10
44	иван карамазов	1	10
45	уже в	1	10
46	так и	4	10
47	но не	2	10
48	в своих	1	9
49	в изображении	1	9
50	и от	1	9
51	один из	2	9
52	жизни в	1	9
53	человека в	1	9
54	в нем	4	9
55	в духе	2	8
56	так же	1	8
57	к этому	1	8
58	ивана карамазова	2	8
59	хотя и	5	8
60	вместе с	1	8
61	тогда как	1	8
62	еще не	8	8
63	так как	9	8
64	в их	1	8
65	вовсе не	1	8
66	человека и	6	8
67	в лице	1	8
68	в этих	3	7
69	и сам	2	7
70	уже не	2	7
71	в которой	1	7
72	в чем	3	7
73	не случайно	1	7
74	о великом	4	6
75	хотя бы	3	6
76	одна из	2	6
77	и ее	1	6
78	а потому	1	6
79	с ним	2	6
80	и все	4	6
81	все эти	3	6
82	и другие	1	5
83	что человек	1	5
84	быть может	1	5
85	в них	3	5
86	с другой	1	5
87	в своем	1	5
88	что они	7	5
89	на него	1	5
90	в ее	1	5
91	что и	3	5
92	не было	3	5
93	что не	4	5
94	я не	1	5
95	и это	2	5
96	а с	2	5
97	что это	1	5
98	если не	3	5
99	между тем	2	5
100	не так	2	5
101	в окончательном	1	5
102	не имеют	1	5
103	это все	2	5
104	в истории	8	5
105	в образе	4	5
106	тот же	3	5
107	ничего не	1	5
108	мы не	2	5
109	в виде	1	5
110	но с	1	5
111	великом инквизиторе	5	5
112	и по	1	5
113	что я	3	5
114	это как	1	5
115	человеческой души	1	4
116	с этой	1	4
117	говорит о	1	4
118	него в	1	4
119	на земле	7	4
120	тем что	2	4
121	роль в	1	4
122	в xx	1	4
123	говорить о	4	4
124	говорит что	1	4
125	превращается в	3	4
126	что все	4	4
127	это значит	1	4
128	крайней мере	1	4
129	к нему	1	4
130	мы видим	1	4
131	и мы	3	4
132	и потому	7	4
133	добра и	4	4
134	легенда о	2	4
135	не был	1	4
136	вся история	1	4
137	личности и	3	4
138	как это	1	4
139	и я	4	4
140	могут быть	2	4
141	и есть	4	4
142	ведет к	1	4
143	в человеке	1	4
144	с ними	1	4
145	несравненно более	1	4
146	в которых	1	4
147	по крайней	1	4
148	нет ничего	3	4
149	его и	2	4
150	своей личности	1	4
151	того что	5	4
152	и тут	1	4
153	отказаться от	1	4
154	к жизни	1	4
155	xx веке	1	4
156	он говорит	1	4
157	что на	1	4
158	от него	2	3
159	о свободе	2	3
160	в виду	1	3
161	другой стороны	1	3
162	во главе	2	3
163	но что	1	3
164	связь с	1	3
165	людей и	2	3
166	в мир	1	3
167	в жизни	3	3
168	давно уже	2	3
169	к тому	3	3
170	во всяком	2	3
171	вот почему	2	3
172	как она	1	3
173	в одном	1	3
174	бога и	5	3
175	к человеку	1	3
176	для того	1	3
177	на себя	5	3
178	не есть	6	3
179	в себя	2	3
180	и мир	1	3
181	на этом	1	3
182	и тем	1	3
183	и что	3	3
184	для человека	2	3
185	вот в	1	3
186	человека как	2	3
187	более всего	1	3
188	любви к	1	3
189	его к	2	3
190	в искусстве	1	3
191	и зла	2	3
192	если в	1	3
193	его с	1	3
194	живет в	1	3
195	для себя	1	3
196	от этой	1	3
197	ее и	2	3
198	других людей	1	3
199	во имя	32	3
200	в процессе	1	3
201	да и	2	3
202	и если	1	3
203	во мне	4	3
204	и тогда	2	3
205	в образах	1	3
206	в которую	1	3
207	и до	1	3
208	к людям	6	3
209	нет и	2	3
210	как мы	1	3
211	человек был	1	3
212	жизни не	1	3
213	жизни но	1	3
214	что оно	1	3
215	и вот	1	3
216	ее в	2	3
217	у нас	1	3
218	в русском	1	3
219	не существует	1	3
220	человека к	1	3
221	не по	1	3
222	нельзя не	1	3
223	в ней	4	3
224	по этому	3	3
225	не с	2	3
226	лишь в	3	3
227	отношение к	1	3
228	жизни и	3	3
229	это в	1	3
230	является в	2	2
231	все что	4	2
232	же и	1	2
233	которая в	1	2
234	он всегда	1	2
235	эта идея	1	2
236	в результате	1	2
237	вслед за	2	2
238	вот что	1	2
239	жизнь в	1	2
240	меня в	1	2
241	с тем	2	2
242	их в	3	2
243	и очень	1	2
244	в одно	1	2
245	когда в	2	2
246	для их	2	2
247	но мы	2	2
248	и нет	1	2
249	бога есть	1	2
250	не могли	2	2
251	то это	3	2
252	он был	1	2
253	нас и	3	2
254	а между	2	2
255	самого себя	2	2
256	христа на	1	2
257	восстает против	3	2
258	о чем	1	2
259	не просто	1	2
260	жизни с	1	2
261	во всех	3	2
262	заботиться о	1	2
263	зла и	1	2
264	на том	2	2
265	на этих	2	2
266	души и	1	2
267	чем у	1	2
268	верит в	2	2
269	в тот	1	2
270	это очень	1	2
271	свободы и	12	2
