N	4gram	Tiupa_Hudo	Dialekti
1	не что иное как	1	18
2	в то же время	7	14
3	одно и то же	3	12
4	есть не что иное	1	11
5	в коем случае не	2	6
6	и в то же	2	6
7	ни в коем случае	2	6
8	с этой точки зрения	2	4
9	в связи с этим	1	4
10	с одной стороны и	1	4
11	иметь в виду что	1	4
12	не сама по себе	1	3
13	но в то же	1	3
14	сама по себе а	1	2
15	всегда так или иначе	1	2
16	как более или менее	1	2
17	ни к чему не	1	2
18	как один из видов	1	2
19	не содержит в себе	1	2
20	не было и не	1	1
21	а с другой стороны	1	1
22	в том отношении что	1	1
23	личности а не ее	1	1
24	заключается в том что	1	1
25	бы то ни было	2	1
26	мы имеем в виду	3	1
27	уходит своими корнями в	1	1
28	том или ином отношении	1	1
29	точно так же как	1	1
30	но в силу своей	1	1
31	в том случае если	1	1
32	в том что она	1	1
33	в том что он	2	1
34	исходит из того что	1	1
35	то или иное логическое	1	1
36	приводит к тому что	2	1
37	а не сама жизнь	1	1
