N	3gram	Tiupa_Hudo	SlovoVZh
1	по отношению к	15	11
2	в нашем примере	1	7
3	не может быть	5	7
4	можно сказать что	1	5
5	в том что	15	4
6	дело в том	1	4
7	и по отношению	1	3
8	до сих пор	3	3
9	этой точки зрения	1	3
10	бы то ни	1	3
11	тем не менее	6	3
12	формы и содержания	1	2
13	на самом деле	1	2
14	одной стороны и	1	2
15	в жизни и	1	2
16	то же самое	3	2
17	в этих двух	1	2
18	в данном случае	3	2
19	с одной стороны	4	2
20	с другой стороны	1	2
21	до известной степени	1	2
22	с точки зрения	5	2
23	но тем не	2	2
24	в настоящее время	1	2
25	в такой же	2	2
26	автора и героя	2	2
27	все же не	2	1
28	автора героя и	2	1
29	сами по себе	1	1
30	самом деле в	2	1
31	о том что	14	1
32	как одно из	1	1
33	в самом деле	5	1
34	является для него	1	1
35	в науке о	1	1
36	в том и	1	1
37	как например в	1	1
38	все более и	1	1
39	в высшей степени	1	1
40	в свою очередь	1	1
41	ничего общего с	1	1
42	а между тем	3	1
43	что не только	1	1
44	и та же	1	1
45	как и в	5	1
46	автором и героем	1	1
47	этими словами и	1	1
48	же время не	1	1
49	во всяком случае	1	1
50	самом же деле	1	1
51	никогда не бывает	1	1
52	но в то	3	1
53	она не может	1	1
54	становится только в	1	1
55	имеем дело с	1	1
56	как на нечто	1	1
57	подобно тому как	4	1
58	и она не	1	1
59	с самого начала	1	1
60	отношению к содержанию	1	1
61	на самом же	1	1
62	в конечном счете	4	1
63	же как и	2	1
64	одна и та	1	1
65	то что я	2	1
66	то что мы	1	1
67	она в самом	1	1
68	с ним в	1	1
69	можно было бы	5	1
70	в этом отношении	4	1
71	так же как	2	1
72	с автором с	1	1
73	то же время	11	1
74	между тем как	1	1
75	более или менее	1	1
76	более и более	1	1
77	в то же	11	1
78	в чем не	1	1
79	в значительной степени	3	1
80	это прежде всего	2	1
81	и его в	1	1
82	том что в	4	1
83	отношения между людьми	1	1
84	мы имеем дело	1	1
85	и в этом	3	1
86	ни в чем	1	1
87	берет на себя	1	1
88	того чтобы не	1	1
89	от породившей его	1	1
90	в этом смысле	1	1
91	в русской литературе	3	1
92	бы не было	1	1
93	уже не может	1	1
94	но все же	2	1
95	и потому не	1	1
96	если бы не	2	1
97	без того чтобы	1	1
98	может быть только	1	1
