N	3gram	Tiupa_Anal	UchenyiS
1	в конечном счете	5	4
2	не может быть	17	4
3	то ни было	3	3
4	с другой стороны	2	3
5	бы то ни	3	3
6	в то же	9	3
7	то же время	7	3
8	и то что	1	2
9	в художественном произведении	1	2
10	в том что	13	2
11	в противном случае	1	2
12	в самом деле	3	2
13	не могут быть	2	2
14	до сих пор	1	2
15	хотя бы и	1	2
16	тех или иных	3	2
17	и в частности	1	2
18	а между тем	1	2
19	то же самое	3	2
20	в этом отношении	5	2
21	в художественном творчестве	1	2
22	по крайней мере	4	2
23	в этом смысле	3	2
24	еще ничего не	1	2
25	он может быть	1	1
26	быть не может	3	1
27	в первую очередь	1	1
28	имеем в виду	1	1
29	друг с другом	2	1
30	и т.д в	2	1
31	сам по себе	1	1
32	так или иначе	1	1
33	эстетического объекта и	1	1
34	же самое что	1	1
35	по меньшей мере	1	1
36	на первый взгляд	1	1
37	в широком смысле	2	1
38	но в то	2	1
39	между тем в	1	1
40	большей или меньшей	4	1
41	с одной стороны	6	1
42	нам представляется что	1	1
43	но прежде всего	1	1
44	конечном счете только	1	1
45	можно сказать что	1	1
46	равно как и	1	1
47	не случайно и	1	1
48	как нам представляется	1	1
49	они относятся к	1	1
50	в той же	1	1
51	или меньшей степени	1	1
52	не в том	3	1
53	а не только	2	1
54	на то что	2	1
55	по его собственному	1	1
56	не только в	3	1
57	более или менее	2	1
58	в данном случае	3	1
59	то что все	1	1
60	мы имеем в	1	1
61	в этом случае	4	1
62	о нем но	1	1
63	в большей или	1	1
64	истории литературы как	1	1
65	все же не	1	1
