N	3gram	Losev_Dial	Istorich
1	и т д	38	142
2	с другой стороны	3	46
3	мы видим что	2	30
4	до сих пор	1	30
5	с одной стороны	3	28
6	так же как	2	27
7	в том что	12	25
8	не может быть	12	24
9	тем не менее	10	23
10	точно так же	3	22
11	о том что	6	22
12	мы имеем в	1	19
13	не только в	1	19
14	в связи с	3	17
15	о том как	2	15
16	в данном случае	3	15
17	на то что	3	14
18	в некоторых случаях	1	14
19	в то время	6	13
20	то время как	6	13
21	не что иное	6	11
22	т е в	4	11
23	что иное как	6	11
24	как и в	3	10
25	что и в	1	10
26	но так как	1	9
27	более или менее	1	9
28	же как и	1	9
29	и вместе с	1	9
30	то же самое	1	8
31	и то что	1	8
32	что у него	1	8
33	подобно тому как	5	8
34	в зависимости от	3	8
35	дело не в	1	7
36	с этой стороны	1	7
37	с тем что	1	7
38	во всяком случае	3	7
39	если бы мы	1	7
40	в мифе о	1	7
41	к тому же	2	6
42	это значит что	25	6
43	но это не	2	6
44	т д все	1	6
45	этой точки зрения	4	6
46	с этой точки	4	6
47	это может быть	1	6
48	с самого начала	1	6
49	мы не можем	2	6
50	том что в	1	5
51	для того чтобы	1	5
52	мы еще не	1	5
53	т е мы	1	5
54	в отличие от	1	5
55	со всех сторон	1	5
56	мы видим в	1	5
57	и что он	1	5
58	т д и	8	5
59	есть не что	3	5
60	т д в	2	5
61	на самом деле	1	5
62	так или иначе	2	4
63	не только на	1	4
64	то это значит	4	4
65	в чистом виде	1	4
66	и может быть	1	4
67	только то что	1	4
68	с точки зрения	25	4
69	независимо от того	1	4
70	содержит в себе	2	4
71	том что они	1	4
72	вопрос о том	1	4
73	он не может	3	4
74	друг на друга	1	4
75	иметь в виду	3	4
76	по себе не	1	4
77	и тем не	2	4
78	сами по себе	3	4
79	в это время	1	4
80	можно сказать что	1	4
81	и в особенности	1	4
82	мы до сих	1	4
83	не то же	2	4
84	а иногда и	1	4
85	ничего не говорится	1	4
86	но они не	2	4
87	это и есть	4	4
88	одной стороны и	1	3
