N	2gram	Nazirov_Vr	StatiiOP
1	и в	8	103
2	в том	3	89
3	том что	3	77
4	в этом	8	76
5	что в	7	74
6	не только	9	60
7	о том	4	47
8	но и	7	46
9	то что	7	44
10	что он	4	42
11	в его	3	42
12	и не	5	41
13	может быть	4	38
14	т е	3	33
15	было бы	1	32
16	в этой	2	31
17	тем что	3	29
18	все это	4	29
19	таким образом	2	28
20	а в	2	27
21	но в	6	26
22	что это	1	25
23	так и	1	25
24	этом отношении	1	24
25	и его	3	24
26	все же	6	23
27	точки зрения	2	23
28	потому что	1	23
29	как в	1	22
30	того что	1	22
31	прежде всего	1	22
32	до сих	1	20
33	это не	4	20
34	в своей	2	19
35	сих пор	1	19
36	в то	5	19
37	в котором	6	18
38	с другой	1	18
39	он не	3	18
40	об этом	5	18
41	не может	2	18
42	в самом	1	17
43	в году	18	17
44	как на	1	17
45	между прочим	1	17
46	в русской	3	17
47	в россии	5	17
48	как бы	4	17
49	в этих	1	16
50	с этим	1	16
51	в ней	4	16
52	другой стороны	1	15
53	как и	6	15
54	у него	5	15
55	я не	3	15
56	как раз	2	15
57	для него	2	15
58	также и	1	15
59	то же	5	14
60	я думаю	1	14
61	с точки	2	14
62	между тем	5	14
63	и что	8	14
64	в той	2	13
65	именно в	1	13
66	во всяком	1	13
67	в своем	3	13
68	из них	2	13
69	в качестве	1	13
70	а с	2	13
71	в конце	3	13
72	в нем	6	13
73	вместе с	2	13
74	всяком случае	1	13
75	но это	2	13
76	жизни и	1	13
77	в своих	4	12
78	не менее	2	12
79	что у	3	12
80	в первой	1	12
81	что они	1	12
82	в них	2	11
83	никогда не	2	11
84	не было	5	11
85	ясно что	1	11
86	и с	6	11
87	своего рода	1	11
88	того как	1	11
89	это было	1	11
90	на то	3	11
91	в виду	4	10
92	речь идет	3	10
93	так же	4	10
94	в целом	1	10
95	это слово	1	10
96	но он	3	10
97	во всех	1	10
98	в каком	1	10
99	в истории	4	10
100	же время	5	10
101	в рукописи	1	10
102	ничего не	1	10
103	ответ на	2	10
104	но не	1	10
105	во второй	1	10
106	в частности	1	10
107	в начале	6	10
108	в печати	1	9
109	говорит о	1	9
110	он был	3	9
111	в одном	1	9
112	несмотря на	4	9
113	его жизни	1	9
114	письме к	4	9
115	и это	2	9
116	в чем	3	9
117	что эта	1	9
118	во время	2	9
119	вряд ли	1	9
120	что же	1	9
121	для нас	4	9
122	место в	2	9
123	но ведь	1	8
124	этого издания	1	8
125	и даже	6	8
126	по его	1	8
127	еще более	1	8
128	к которому	1	8
129	к этому	3	8
130	связи с	3	8
131	одним из	3	8
132	могут быть	1	8
133	к сожалению	1	8
134	заключается в	1	8
135	не имеет	1	8
136	тем не	1	8
137	при помощи	2	8
138	той же	1	8
139	до конца	1	8
140	в их	1	8
141	а также	2	8
142	п в	2	8
143	по мнению	2	8
144	отношение к	2	8
145	и о	3	8
146	такой же	1	8
147	это в	2	8
148	о чем	2	7
149	года в	7	7
150	представление о	1	7
151	отличается от	1	7
152	в это	2	7
153	работы над	1	7
154	не мог	2	7
155	не просто	1	7
156	того же	1	7
157	в ее	1	7
158	в эту	2	7
159	в плагиате	1	7
160	нельзя не	1	7
161	что для	1	7
162	из этого	1	7
163	то в	1	7
164	и то	2	7
165	то время	1	7
166	том как	1	7
167	еще не	2	7
168	на этот	1	7
169	связан с	1	7
170	уже в	4	7
171	мы находим	1	7
172	но с	1	7
173	что этот	1	7
174	тем более	2	7
175	не все	1	7
176	конце концов	1	7
177	вплоть до	1	7
178	что за	1	6
179	и сам	1	6
180	в жизни	1	6
181	в письме	5	6
182	говорить о	1	6
183	он писал	2	6
184	крайней мере	1	6
185	к нему	1	6
186	только не	1	6
187	же как	2	6
188	одном из	1	6
189	этом смысле	1	6
190	в себе	2	6
191	в особенности	1	6
192	из которых	1	6
193	б в	1	6
194	и все	7	6
195	в в	2	6
196	в известном	2	6
197	по крайней	1	6
198	идет о	1	6
199	в свет	1	6
200	и во	3	6
201	что я	2	6
202	с его	3	6
203	независимо от	1	6
204	но я	1	6
