N	4gram	Ircho_Kome	Dialekti
1	в то же время	11	14
2	в то время как	3	8
3	не говоря уже о	2	7
4	сама по себе не	1	6
5	и в то же	2	6
6	имеет ничего общего с	1	5
7	не имеет ничего общего	1	5
8	с этой точки зрения	1	4
9	с одной стороны и	2	4
10	с точки зрения самого	1	3
11	несмотря на то что	1	3
12	мы можем сказать что	1	3
13	одних и тех же	1	3
14	а с точки зрения	1	2
15	по крайней мере с	1	2
16	ни о чем другом	1	2
17	не с точки зрения	1	2
18	ни в чем не	2	2
19	тем не менее в	1	2
20	и с этой точки	1	2
21	и в голову не	1	1
22	и до сих пор	1	1
23	вопрос о том как	1	1
24	потому что он не	1	1
25	до тех пор пока	1	1
26	но как раз в	1	1
27	сомневаться в том что	1	1
28	в том что в	1	1
29	по самой своей природе	1	1
30	к одному и тому	1	1
31	бы то ни было	3	1
32	мы имеем в виду	2	1
33	никому и в голову	1	1
34	в каждом из них	1	1
35	одному и тому же	1	1
36	с самого начала что	1	1
37	до сих пор не	2	1
38	и в том что	1	1
39	в голову не приходит	1	1
40	все то же самое	1	1
41	в том что она	1	1
42	и о том что	1	1
43	с точки зрения одного	1	1
44	каждом из них есть	1	1
45	нечего уж говорить о	1	1
46	для того чтобы дать	1	1
47	ничем не отличаются от	1	1
48	судить о том как	1	1
49	только для того чтобы	2	1
