N	2gram	Medvedev_V	VrazhdaK
1	в этом	1	8
2	и в	2	8
3	то же	1	5
4	и не	1	5
5	все это	1	4
6	в том	2	3
7	я не	1	3
8	далеко не	1	3
9	том что	2	3
10	в конце	2	3
11	и его	1	3
12	к этому	1	3
13	и то	1	2
14	как же	1	2
15	так в	1	2
16	столь же	1	2
17	том же	1	2
18	тем более	1	2
19	но это	1	2
20	в самом	1	1
21	один пример	1	1
22	не будем	1	1
23	не хотел	1	1
24	в их	1	1
25	что слово	1	1
26	полемизируя с	1	1
27	же с	1	1
28	именно в	1	1
29	ясно что	1	1
30	да и	1	1
31	под влиянием	1	1
32	имеется в	1	1
33	потому что	1	1
34	в частности	1	1
35	одно и	1	1
36	и т.д	1	1
37	по крайней	1	1
38	ничуть не	1	1
39	конце концов	2	1
40	крайней мере	1	1
