N	2gram	Propp_Isto	ViktorSh
1	в книге	3	3
2	в конце	1	2
3	и в	44	2
4	в том	13	2
5	том что	12	2
6	в другом	2	1
7	но это	10	1
8	одно и	2	1
9	по существу	2	1
10	ведь это	1	1
11	главным образом	2	1
12	в самом	1	1
13	как же	1	1
14	образом из	1	1
15	а только	1	1
16	ни к	1	1
17	имеется в	1	1
18	они на	1	1
19	самом деле	2	1
20	более чем	1	1
21	ясно что	5	1
22	с большой	3	1
23	в частности	9	1
24	же все	1	1
25	и то	5	1
26	так в	5	1
27	не хотел	1	1
28	поэтического творчества	1	1
29	к созданию	1	1
30	стоит на	3	1
31	время в	2	1
32	то чего	2	1
33	и его	15	1
34	сводится к	1	1
35	даже не	2	1
36	теснейшим образом	1	1
37	под влиянием	2	1
38	бы уже	1	1
39	на одном	2	1
40	хотя бы	2	1
41	с головой	1	1
42	далеко не	1	1
43	тем более	1	1
44	в которых	4	1
45	говорится в	2	1
46	к этому	5	1
47	только в	8	1
48	не играет	1	1
49	потому что	18	1
50	это далеко	1	1
51	в их	1	1
52	и только	1	1
53	то же	9	1
54	по своим	1	1
55	не будем	6	1
56	и не	19	1
57	я не	1	1
58	в этом	20	1
59	так как	19	1
60	все это	4	1
61	совершенно ясно	6	1
