N	4gram	Vygotskiy_	Narrotol
1	в то же время	1	8
2	состоит в том что	3	6
3	мы имеем дело с	1	5
4	внимание на то что	2	3
5	в этом и состоит	1	3
6	той мере в какой	2	2
7	в той мере в	2	2
8	смысле можно сказать что	2	2
9	и не может быть	2	2
10	одного и того же	3	2
11	в известном смысле можно	2	2
12	одно и то же	3	2
13	известном смысле можно сказать	2	2
14	точно так же как	3	2
15	то же самое происходит	1	1
16	с этой точки зрения	4	1
17	в том смысле что	2	1
18	не что иное как	1	1
19	но для того чтобы	1	1
20	единство слова и мысли	1	1
21	что с точки зрения	1	1
22	который в свою очередь	1	1
23	с одной стороны и	4	1
24	и то же слово	1	1
25	в той же мере	2	1
26	в качестве одного из	1	1
27	в одинаковой степени и	1	1
28	в свою очередь не	1	1
29	дело здесь не в	1	1
30	состоит как раз в	1	1
31	в то время как	7	1
32	представляет собой один из	1	1
33	о том что в	1	1
34	в том числе и	2	1
35	не обращая внимания на	1	1
36	в том что он	2	1
37	представление о том что	2	1
38	только по отношению к	1	1
39	как и всякий другой	1	1
40	же как и в	1	1
41	одним и тем же	2	1
42	есть не что иное	1	1
