N	2gram	Tiupa_Narr	UchenyiS
1	и в	19	14
2	не только	32	10
3	а не	12	10
4	и не	20	8
5	прежде всего	4	8
6	то что	11	7
7	в этом	17	7
8	не может	10	7
9	может быть	25	6
10	хотя бы	4	5
11	то же	4	5
12	в художественном	1	5
13	и только	2	5
14	в конечном	3	4
15	с другой	8	4
16	в этой	5	4
17	в россии	1	4
18	конечном счете	2	4
19	но и	23	4
20	в их	1	4
21	бы то	3	3
22	было бы	4	3
23	не о	3	3
24	и то	1	3
25	и формы	1	3
26	как такового	1	3
27	и т.д	7	3
28	очевидно что	1	3
29	это не	2	3
30	как и	7	3
31	то ни	3	3
32	для него	2	3
33	формы в	1	3
34	все же	7	3
35	ни было	3	3
36	в области	2	3
37	в частности	14	3
38	в то	3	3
39	не как	2	3
40	у нас	1	3
41	другой стороны	4	3
42	но в	6	3
43	же время	4	3
44	таким образом	1	2
45	в самом	1	2
46	если не	4	2
47	же не	4	2
48	могли бы	1	2
49	его и	1	2
50	если бы	1	2
51	самом деле	2	2
52	могут быть	3	2
53	является в	1	2
54	не в	14	2
55	это было	1	2
56	и с	4	2
57	в противовес	4	2
58	до сих	1	2
59	же самое	1	2
60	одним из	2	2
61	крайней мере	1	2
62	как таковой	1	2
63	но не	6	2
64	по существу	2	2
65	мы и	1	2
66	тем что	3	2
67	в себе	8	2
68	в его	9	2
69	искусства как	1	2
70	в конце	1	2
71	должна быть	2	2
72	мы не	1	2
73	именно как	1	2
74	ничего не	2	2
75	между тем	3	2
76	не есть	3	2
77	что он	6	2
78	этом отношении	3	2
79	о чем	2	2
80	как раз	2	2
81	тех или	1	2
82	не могут	1	2
83	а как	1	2
84	что мы	2	2
85	сводится к	3	2
86	в том	18	2
87	представляется нам	1	2
88	том что	14	2
89	и через	1	2
90	надо было	1	2
91	или иных	1	2
92	нас в	1	2
93	но это	1	2
94	этом смысле	1	2
95	а о	1	2
96	и для	2	2
97	в системе	1	2
98	и является	1	2
99	что и	1	2
100	не столько	4	2
101	меньшей степени	1	2
102	не случайно	2	2
103	по композиции	1	2
104	с его	6	2
105	и у	1	2
106	на первый	2	2
107	сих пор	1	2
108	по крайней	1	2
109	только в	4	2
110	по себе	5	2
111	что все	1	2
112	не все	5	2
113	нам представляется	1	2
114	на большую	1	1
115	первый взгляд	2	1
116	в той	6	1
117	было и	1	1
118	признать что	1	1
119	что было	1	1
120	что в	3	1
121	героя не	1	1
122	с которыми	1	1
123	иначе говоря	6	1
124	не было	2	1
125	так или	2	1
126	поэтика и	1	1
127	и даже	3	1
128	она все	1	1
129	более или	2	1
130	т.д в	1	1
131	первую очередь	1	1
132	и потому	2	1
133	и формального	1	1
134	столько же	1	1
135	поэтикой и	1	1
136	но он	1	1
137	образом на	1	1
138	в не	1	1
139	в свое	1	1
140	все и	1	1
141	можно сказать	5	1
142	для второго	1	1
143	мы можем	1	1
144	говорил в	1	1
145	или иначе	3	1
146	в данном	5	1
147	и быть	1	1
148	он уже	2	1
149	быть по	1	1
150	еще раз	1	1
151	нет и	2	1
152	никогда и	1	1
153	быть не	1	1
154	только одним	1	1
155	данного произведения	1	1
156	и все	2	1
157	слова а	1	1
158	что этот	1	1
159	к изучению	1	1
160	же как	3	1
161	как таковое	1	1
162	сказать что	4	1
163	представляется не	1	1
164	как нам	1	1
165	и эта	1	1
166	претендует на	1	1
167	в процессе	1	1
168	достоевского и	1	1
169	данном случае	4	1
170	его как	2	1
171	думает о	1	1
172	то есть	19	1
173	об ее	1	1
174	от которой	1	1
175	и др	2	1
176	вспять к	1	1
177	очень часто	1	1
178	сдвиг в	1	1
179	в ноги	1	1
180	в таком	2	1
181	тех кто	1	1
182	то и	1	1
183	для изучения	1	1
184	сводятся к	1	1
185	восемь лет	1	1
186	которое мы	1	1
187	она не	2	1
188	в произведении	3	1
189	но именно	1	1
190	свой опыт	1	1
191	впрочем не	1	1
192	в своем	2	1
193	в значительной	2	1
194	входит в	1	1
195	для себя	1	1
196	в последние	2	1
197	одной стороны	7	1
198	мы имеем	2	1
199	на роль	1	1
200	для читателя	1	1
201	начала и	1	1
202	но также	1	1
203	не меньшей	1	1
204	тому чтобы	1	1
205	что по	2	1
206	их в	1	1
207	же в	4	1
208	он может	1	1
209	в ней	3	1
210	но по	1	1
211	или даже	2	1
212	даже не	3	1
213	и прежде	1	1
214	литературы а	1	1
215	идет не	1	1
216	он и	1	1
217	полагая что	1	1
218	почему в	1	1
219	строго говоря	1	1
220	для первого	1	1
221	это же	1	1
222	сам по	1	1
223	не входит	1	1
224	в которых	1	1
225	так и	9	1
226	это то	1	1
227	о нем	4	1
228	из которых	4	1
229	где бы	1	1
230	друг с	1	1
231	отнюдь не	5	1
232	детали как	1	1
233	часто бывает	1	1
234	в качестве	21	1
235	о котором	1	1
236	в нем	4	1
237	он не	3	1
238	как целого	1	1
239	ней не	1	1
240	независимо от	2	1
241	может служить	1	1
242	всего лишь	2	1
243	а.н веселовского	1	1
244	на его	1	1
245	в известном	2	1
246	одно из	2	1
247	в различных	1	1
248	с одной	7	1
249	с другом	1	1
250	в первую	1	1
251	и делает	1	1
252	они в	2	1
253	об этом	1	1
254	историю в	1	1
255	в виду	1	1
256	само по	1	1
257	эта позиция	1	1
258	присущей ему	1	1
259	или менее	2	1
260	в пределах	2	1
261	тот же	1	1
262	уже не	5	1
263	о том	6	1
264	не то	2	1
265	по его	1	1
266	произведения в	1	1
267	далеко не	5	1
268	тем более	2	1
269	того что	2	1
270	любопытно что	1	1
271	определяется не	1	1
272	у него	4	1
273	в котором	1	1
274	не существует	3	1
275	ее к	1	1
276	приводит к	2	1
277	никогда не	3	1
278	некую систему	1	1
279	этого построения	1	1
280	ориентация на	1	1
