N	2gram	Nazirov_Tr	formyVre
1	и в	18	148
2	в этом	9	73
3	то есть	3	70
4	в романе	10	58
5	в нем	4	51
6	прежде всего	4	46
7	и т	1	40
8	и не	7	37
9	в его	3	36
10	и его	6	36
11	но и	4	33
12	то же	5	32
13	т п	1	32
14	не только	8	32
15	в литературе	1	32
16	но в	6	31
17	так и	5	29
18	времени в	2	27
19	может быть	7	27
20	не в	2	26
21	как мы	1	26
22	как и	5	25
23	как бы	7	25
24	только в	1	23
25	в то	5	23
26	в том	2	22
27	то что	4	22
28	связи с	1	21
29	во всех	1	21
30	жизни в	1	21
31	же время	6	21
32	все эти	3	21
33	в своем	3	19
34	и др	1	19
35	и на	7	19
36	в основном	3	19
37	таким образом	1	18
38	у него	6	18
39	и все	4	18
40	еще не	4	18
41	при этом	3	17
42	в особенности	1	17
43	человека и	1	17
44	все же	5	16
45	в условиях	1	16
46	в связи	1	16
47	и их	1	16
48	не может	5	16
49	в одном	2	15
50	в них	1	15
51	в дальнейшем	5	15
52	никогда не	2	15
53	так сказать	1	15
54	с его	2	15
55	вместе с	1	15
56	лишь в	1	15
57	и как	3	14
58	и с	7	14
59	так же	4	14
60	в конце	3	14
61	а не	1	14
62	все это	4	14
63	в самом	2	13
64	в котором	1	13
65	с ним	3	13
66	как в	3	13
67	роль в	1	13
68	в частности	2	13
69	того чтобы	1	13
70	и до	2	12
71	не было	1	12
72	он не	2	12
73	значение и	1	12
74	отнюдь не	3	12
75	что в	4	12
76	потому что	2	12
77	в истории	1	12
78	ничего не	2	12
79	но не	1	12
80	и наконец	1	12
81	его в	2	11
82	романе в	1	11
83	романа в	1	11
84	ни в	2	11
85	в образе	6	11
86	уже в	3	11
87	в ней	1	11
88	уже не	2	10
89	в ее	2	10
90	этом мире	1	10
91	и даже	4	9
92	но все	2	9
93	наряду с	1	9
94	должно быть	3	9
95	к себе	1	9
96	и это	2	9
97	могут быть	1	9
98	том что	4	9
99	в самой	1	9
100	для него	3	9
101	есть в	1	9
102	жизнь и	3	9
103	в результате	1	8
104	в виду	1	8
105	к тому	2	8
106	с одной	1	8
107	что и	2	8
108	рядом с	1	8
109	в мире	3	8
110	героя и	1	8
111	здесь мы	1	8
112	и по	1	8
113	один из	3	8
114	до конца	2	8
115	и то	2	8
116	во всяком	1	8
117	это не	5	8
118	а также	1	8
119	и потому	1	8
120	отношение к	2	8
121	в целом	4	8
122	в той	1	7
123	не как	1	7
124	между собой	1	7
125	к ним	1	7
126	в себе	4	7
127	но он	1	7
128	в которой	1	7
129	в форме	1	7
130	с ее	3	7
131	например в	1	7
132	и он	3	7
133	в эпизоде	1	7
134	в отличие	2	7
135	в романах	1	7
136	того что	1	7
137	этого романа	2	7
138	отличие от	2	7
139	за счет	1	7
140	роман в	1	6
141	именно в	1	6
142	с тем	2	6
143	о том	2	6
144	с помощью	1	6
145	вдруг и	1	6
146	романа как	1	6
147	входят в	1	6
148	характерно что	1	6
149	xviii века	1	6
150	в таком	2	6
151	ту же	1	6
152	за пределы	1	6
153	а как	2	6
154	и ее	2	6
155	мы видим	1	6
156	не могут	2	6
157	не является	1	6
158	но эта	2	6
159	в эпоху	1	6
160	есть и	1	6
161	к смерти	1	6
162	могло быть	1	6
163	событий и	1	6
164	вообще не	1	5
165	с этой	1	5
166	о чем	3	5
167	одно из	1	5
168	тем что	2	5
169	в своей	1	5
170	в это	2	5
171	понятно что	1	5
172	хотя бы	1	5
173	только на	1	5
174	но они	2	5
175	всего этого	1	5
176	что все	2	5
177	xix века	1	5
178	эти образы	1	5
179	как его	1	5
180	так что	2	5
181	большое значение	1	5
182	по своей	1	5
183	в этой	4	5
184	и от	1	5
185	в какой-то	1	5
186	мы встречаем	1	5
187	романа и	3	5
188	с ними	1	5
189	не имеет	2	5
190	этих романов	1	5
191	той же	1	5
