N	4gram	Potebnia_M	Vvedenie
1	той мере в какой	1	6
2	в той мере в	1	6
3	в то же время	3	6
4	не что иное как	2	5
5	с одной стороны и	2	3
6	дело в том что	3	3
7	с этой точки зрения	1	2
8	заключается в том что	1	2
9	только после того как	1	2
10	во всяком случае не	1	2
11	и т д в	1	2
12	одной и той же	3	2
13	одного и того же	6	2
14	только в том что	5	1
15	не только в том	1	1
16	сама по себе не	1	1
17	одном и том же	3	1
18	не существует потому что	1	1
19	не выходя из пределов	1	1
20	и т д и	1	1
21	разница лишь в том	1	1
22	ничего не может быть	1	1
23	всегда заключает в себе	1	1
24	но во всяком случае	3	1
25	нужно обратить внимание на	1	1
26	в том что он	1	1
27	в одном и том	3	1
28	но с другой стороны	2	1
29	в том смысле что	2	1
30	бы то ни было	1	1
31	говоря уже о том	1	1
32	так а не иначе	2	1
33	одно из необходимых условий	1	1
34	том виде в каком	1	1
35	на язык как на	2	1
36	для того чтобы сделать	1	1
37	и здесь как и	1	1
38	лишь в том что	1	1
39	и в этом смысле	3	1
40	в том виде в	1	1
41	уже о том что	1	1
42	отношении его к мысли	1	1
43	не говоря уже о	1	1
44	и в этом отношении	1	1
45	еще и потому что	1	1
46	точно так же как	1	1
47	том смысле в каком	4	1
