N	2gram	Trubetskoy	Freidism
1	таким образом	22	34
2	и не	8	34
3	точки зрения	13	31
4	не может	4	30
5	и пр	1	29
6	в этом	15	28
7	может быть	10	28
8	и в	26	28
9	прежде всего	2	26
10	в его	5	25
11	и его	1	22
12	с помощью	1	20
13	мы можем	2	20
14	как бы	12	19
15	то что	7	17
16	с точки	6	15
17	все эти	6	15
18	так как	9	15
19	с ним	1	14
20	в своей	1	14
21	так и	6	14
22	самом деле	1	14
23	в душе	1	13
24	и все	2	13
25	как и	1	13
26	по отношению	1	13
27	но в	7	13
28	во всех	2	13
29	психической жизни	2	12
30	в самом	4	12
31	то же	4	12
32	ни в	1	12
33	что он	4	12
34	том что	7	12
35	для него	3	12
36	все это	6	12
37	и потому	6	12
38	и наконец	2	12
39	мы видели	2	12
40	только в	4	11
41	мы знаем	1	11
42	сказать что	2	11
43	отношению к	3	11
44	его в	1	11
45	все что	2	10
46	один из	2	10
47	не только	10	10
48	и с	10	10
49	но и	9	10
50	конечно не	2	10
51	тот же	2	10
52	никогда не	5	10
53	в том	11	10
54	мы уже	1	10
55	он не	4	10
56	все те	1	10
57	не в	2	10
58	и на	2	9
59	те же	2	9
60	уже не	3	9
61	во всяком	6	9
62	совершенно не	1	9
63	мы не	1	9
64	с его	2	9
65	к этому	3	9
66	к нему	7	9
67	в чем	1	9
68	а не	5	9
69	мы должны	6	9
70	могут быть	1	9
71	при этом	3	8
72	все же	6	8
73	еще не	2	8
74	с этим	1	8
75	было бы	1	8
76	а в	4	8
77	с другими	4	8
78	на этом	1	8
79	в ней	1	8
80	всяком случае	6	8
81	что в	9	7
82	и к	5	7
83	не могут	2	7
84	связь с	2	7
85	в жизни	1	7
86	роль в	1	7
87	так сказать	1	7
88	хотя бы	3	7
89	в каком	1	7
90	что все	4	7
91	и для	5	7
92	из них	7	7
93	того что	3	7
94	не является	1	7
95	но не	8	7
96	и у	8	7
97	с самого	3	7
98	в нем	4	7
99	быть и	2	7
100	к смерти	1	7
101	в этой	4	7
102	отношение к	5	7
103	в себе	6	7
104	жизни и	2	7
105	и прежде	1	7
106	в то	4	7
107	и ее	1	7
108	этого периода	2	6
109	учение о	4	6
110	одно из	2	6
111	если он	1	6
112	в корне	1	6
113	не менее	3	6
114	к тому	6	6
115	можно сказать	3	6
116	желаний и	1	6
117	в свою	2	6
118	для того	5	6
119	же время	2	6
120	из этих	10	6
121	мы имеем	2	6
122	как раз	1	6
123	что такое	1	6
124	во время	4	6
125	в таком	3	6
126	совсем не	1	6
127	и что	4	6
128	человека и	1	6
129	и о	3	6
130	и только	4	6
131	для этого	2	6
132	всех этих	1	6
133	не можем	1	6
134	что это	3	5
135	со всеми	2	5
136	в своих	1	5
137	в процессе	2	5
138	с ними	1	5
139	вместе с	15	5
140	того чтобы	5	5
141	душе человека	1	5
142	и до	1	5
143	и те	3	5
144	самого начала	2	5
145	что она	1	5
146	он сам	1	5
147	той же	1	5
148	это не	1	5
149	в ее	1	5
150	что и	6	5
151	с их	1	5
152	в которой	3	5
153	в этих	4	5
154	в себя	1	5
155	и по	4	5
156	не было	2	5
157	другими словами	1	5
158	далеко не	4	5
159	только то	1	5
160	заключается в	1	5
161	ничего не	1	5
162	полового влечения	1	5
163	в общем	8	5
164	а потому	1	4
165	мы и	1	4
166	как с	1	4
167	смысле слова	1	4
168	это учение	1	4
169	борьбы с	1	4
170	в виду	2	4
171	по себе	1	4
172	если бы	3	4
173	именно в	2	4
174	связанные с	7	4
175	как в	1	4
176	этот вопрос	1	4
177	из которого	3	4
178	ничего общего	2	4
179	полагают что	1	4
180	это и	1	4
181	данном случае	1	4
182	в данном	1	4
183	в котором	4	4
184	потому что	7	4
185	только как	1	4
186	не всегда	2	4
187	в этот	1	4
188	только на	1	4
189	так же	5	4
190	свою очередь	1	4
191	связанных с	2	4
192	в своем	3	4
193	только с	1	4
194	но это	1	4
195	что оно	4	4
196	этой области	1	4
197	и за	1	4
198	этом отношении	2	4
199	тем не	3	4
200	человека в	1	4
201	таком случае	1	4
202	у него	1	4
203	не существует	1	4
204	по своему	2	4
205	между собой	1	4
206	не имеющие	1	4
207	это как	1	4
208	период развития	1	4
209	то ни	2	4
210	должны быть	1	4
211	главным образом	8	4
212	болезни и	1	4
213	в области	9	4
214	его к	1	4
215	с ее	1	4
216	не так	1	3
217	во втором	1	3
218	для всех	2	3
219	до сих	5	3
220	на почве	1	3
221	и при	3	3
222	это уже	1	3
223	в результате	3	3
224	и тот	1	3
225	в них	2	3
226	и даже	3	3
227	нам в	1	3
228	их в	1	3
229	значение в	1	3
230	и чувств	1	3
231	к его	2	3
232	притом в	1	3
233	приводит к	2	3
234	другому человеку	1	3
